V1
                                                                                                                                             ARAB REPUBLIC OF EGYPT
""
""
""
"Table 4. Egypt: General Government Operations, 2017/18–2024/25   "
""
                                                     2017/18       2018/19      2019/20     2020/21     2021/22      2022/23      2023/24    2024/25
""
                                                                                    Proj.    Proj. 2/       Proj.         Proj.      Proj.      Proj.
""
""
                                                                                     (In billions of Egyptian pounds)
""
"Revenue and grants                                        918.4     1,070.8      1,169.8     1,339.5     1,531.8        1,757.6    1,999.2    2,279.9"
" Tax revenue                                              629.3      736.1         760.3       869.5     1,001.9        1,157.3    1,317.5    1,503.5"
     Income and property                                  258.6      309.0         333.0       385.3       439.8         510.5      578.8      659.6
          Personal income tax                              64.6       87.3         107.5       124.6       144.4         164.7      187.0      212.9
          Corporate income tax                            142.7      162.8         164.3       189.8       219.9         250.7      284.7      324.3
              EGPC                                         52.0       42.5          29.8        41.6        48.2          55.0       62.4       71.1
              Other                                        90.7      120.2         134.5       148.2       171.7         195.8      222.3      253.2
     Goods and services                                   294.3      350.6         357.8       417.4       483.7         551.4      626.2      713.2
          Oil excises                                      40.5       41.5          23.4        16.8        19.4          22.1       25.2       28.6
          VAT and nonoil excises                          253.8      309.1         334.4       400.7       464.3         529.3      601.1      684.5
     International trade taxes                             37.9       42.0          39.3        38.6        45.7          58.1       70.1       82.5
     Other taxes                                           38.5       34.5          30.3        28.2        32.7          37.3       42.3       48.2
 Nontax revenue                                           285.9      332.1         405.6       467.7       527.3         597.4      678.4      772.6
   Of which: Interest income                               15.0         9.4           9.6       12.6        15.2          18.0       18.0       18.0
 Grants                                                      3.2        2.6           3.9         2.2         2.6           2.9        3.3        3.8
""
"Expenditure                                              1,336.0    1,465.1      1,610.9     1,801.9     1,887.7        2,093.0    2,351.1    2,644.0"
 Wages and other remunerations                            239.1      268.5         297.1       338.1       391.8         446.7      507.2      577.7
 Purchases of goods and services                           48.3       63.2          73.9       101.3       110.0         125.3      142.2      161.9
 Interest                                                 415.1      469.7         522.2       541.3       523.1         528.1      570.7      613.4
     Domestic interest                                    392.9      439.3         493.7       509.7       478.8         479.3      514.5      546.7
     External interest                                     22.2       30.4          28.5        31.6        44.3          48.8       56.2       66.7
" Subsidies, grants, and social benefits                   455.5      442.4         435.5       470.0       515.9         562.4      619.1      675.3"
 Other current                                             72.3       77.9          90.8       105.4       122.1         139.2      158.0      181.9
 Investment                                               105.7      143.5         191.4       245.8       224.9         291.3      353.8      433.9
""
