V1
NICARAGUA
""
""
""
"                       Table 3a. Nicaragua: Operations of the Consolidated Public Sector,"
                                             2015–24 (GFSM 2001)
                                                                      (In Millions of Cordobas)
                                                                         2015       2016        2017       2018        2019        2020       2021           2022    2023      2024
                                                                                                            Prel.                                    Proj.
" Budgetary Central Gov. cash surplus/deficit                           -4,484     -4,280      -3,909 -13,529         -2,444      -5,498    -9,050 -10,103 -10,860 -11,317"
"   Revenue                                                             61,470     70,328      77,593  72,179         81,078      79,760    83,217  86,900  91,270  96,634"
"      of which: grants                                                  2,787      3,540       3,746   2,502          2,173       2,434     3,308   3,463   3,632   3,827"
"   Expenditure                                                         65,955     74,607      81,503  85,708         83,522      85,258    92,268  97,003 102,130 107,950"
"     Of which: Excluding Transfers to INSS for Hist. debt              65,955     74,607      81,503  80,825         80,700      81,934    88,858  93,524  98,568 103,888"
" Social Security Institute (INSS) cash surplus/deficit                  -979      -1,630      -2,374        104           0           0          0           0           0         0"
"    Revenue                                                            19,145     22,338      24,494     29,920      32,307      33,997     35,505      37,029      38,697    40,574"
"      Of which: Excluding Central Government Transfers                 19,145     22,338      24,494     25,038      29,484      30,673     32,095      33,550      35,135    36,512"
"      Of which: Transfers to INSS for Hist. debt                            0          0           0      4,882       2,823       3,324      3,410       3,479       3,562     4,062"
"    Expenditure                                                        20,124     23,967      26,868     29,816      32,307      33,997     35,505      37,029      38,697    40,574"
 Managua municipality (ALMA) cash surplus/deficit                         442       -556        -249       267        -364          -77      -487        -594        -537      -307
"    Revenue                                                             4,451      3,657       4,698      4,136       4,015       4,595      4,265       4,477       4,684     4,936"
        of which : grants                                                 198          7           0          1           7           7          7           8           8         8
"    Expenditure                                                         4,009      4,213       4,948      3,869       4,379       4,673      4,752       5,071       5,222     5,243"
" Public enterprises cash surplus/deficit 1/                            -1,686     -2,060      -2,124     -3,828      -5,565      -5,302    -4,409       -4,314      -4,699   -4,437"
"   Revenue                                                             15,406     16,626      18,386     15,548      15,894      17,978    20,298       21,842      22,880   24,081"
        of which: Grants (external)                                       806          6         541          0         308          72       274          317         333      351
"   Expenditure                                                         17,093     18,687      20,510     19,375      21,459      23,280    24,707       26,157      27,580   28,518"
 Non-financial public sector
"    Cash receipts from operating activities                            95,190 108,789        120,928 114,203        125,924 127,895 134,992 141,543 148,511 156,739"
"       Taxes                                                           57,323  65,078         71,989  67,417         76,359  75,153 77,660   81,475  85,570  90,628"
"       Social contributions                                            18,194  21,296         23,868  24,803         27,526  28,234 29,518   30,828  32,261  33,799"
