V1
                                                                                                                                                                                                MALAWI
"                              Table 2b. Malawi: Central Government Operations, 2018/19-25/261"
                                                        (Percent of GDP)
                                                            2018/19       2019/20     2020/21                        2021/22                        2022/23         2023/24           2024/25    2025/26
""
""
                                                                                                      RCF II       RCF II
                                                                                       Prelim.                                 Budget    Proj.                                Proj.
                                                                                                   Pre-rebase     Rebase
REVENUE                                                          14.7       14.9        14.8          21.3         15.2         16.5      14.3        14.3           14.4              14.4       14.3
    Taxes                                                        12.8       12.6        12.3           17.6         12.6        13.5      12.7        12.7           12.9              13.0       13.2
      Taxes on income profits and capital gains                  6.0        6.0          5.9           7.7          5.4         6.4       5.9         5.9             6.0               6.1        6.2
      Taxes on goods and services                                5.7        5.6          5.4           8.5          6.1         6.0       5.6         5.6             5.7               5.8        5.8
      Taxes on international trade and transaction               1.1        1.0          1.0           1.4          1.0         1.1       1.1         1.1             1.1               1.1        1.2
      Other taxes                                                0.0        0.0          0.0           0.0          0.0         0.0       0.0         0.0             0.0               0.0        0.0
""
""
    Grants                                                       1.4        1.5          1.7           2.6          1.9         2.2       1.2         1.2             1.1               0.9        0.6
      Current                                                    0.4        0.3          0.2           0.0          0.0         0.0       0.0         0.0             0.0               0.0        0.0
      Capital                                                    1.0        1.2          1.5           2.6          1.9         2.2       1.2         1.2             1.1               0.9        0.6
       Project grants                                            0.7        1.0          1.3           1.6          1.2          …        0.6         0.9             0.8               0.7        0.5
       Dedicated Grants                                          0.4        0.2          0.3           1.0          0.7          …        0.6         0.3             0.3               0.2        0.2
""
""
    Other Revenue                                                0.5        0.8          0.8           1.0          0.8         0.7       0.4         0.5             0.5               0.5        0.5
""
""
EXPENDITURE                                                      19.6       21.5        22.2           32.6         23.0        25.9      24.7        23.8           23.8              24.1       24.7
    EXPENSE                                                      15.7       17.7        18.4           25.4         17.8        18.5      19.5        19.0           19.1              19.3       19.8
      Compensation of employees                                  5.2        5.6          6.0           8.0          5.6         5.8       6.0         6.1             6.3               6.4        6.6
      Purchase of goods and services                             3.8        4.9          3.6           4.6          3.2         3.5       3.5         3.0             2.8               2.7        2.9
       Generic goods and services                                1.7        2.6          2.3           2.8          1.8         2.1       2.2         1.9             1.7               1.5        1.4
