V1
UKRAINE
""
""
""
"                     Table 2b. Ukraine: General Government Finances, 2019–2023   "
                                                                    (Percent of GDP)
""
                                                                       2019          2020         2021                2022                 2023
                                                                        Act.         Act.         Proj.         RFI Oct      Proj.         Proj.
                                                                                                                 2022
""
""
          Revenue                                                          39.4         39.7         36.3           41.9        55.4          47.5
            Tax revenue                                                    34.2         34.3         33.3           30.3        38.4          32.1
"              Tax on income, profits, and capital gains                     9.9          9.8          9.4            9.1        11.7           8.6"
                Personal income tax                                         6.9          7.0          6.4            6.7         8.8           6.6
                Corporate profit tax                                        2.9          2.8          3.0            2.3         2.9           2.0
              Social security contributions                                 7.0          7.1          6.4            7.7         9.1           6.6
              Property tax                                                  1.0          0.9          0.8            0.7         0.8           0.6
              Tax on goods and services                                    13.2         13.4         13.4           10.9        12.9          13.0
                VAT                                                         9.5          9.5          9.8            8.6        10.3          10.1
                Excise                                                      3.4          3.6          3.3            2.2         2.5           2.6
                Other                                                       0.3          0.3          0.3            0.1         0.2           0.2
              Tax on international trade                                    0.8          0.7          0.7            0.2         0.6           0.6
              Other tax                                                     2.3          2.4          2.6            1.7         3.3           2.7
            Nontax revenue                                                  5.3          5.4          3.0           11.6        17.1          15.3
              Grants                                                        0.0          0.1          0.0            8.4         9.8          12.5
""
          Expenditure                                                      41.5         45.6         40.3           61.8        75.9          56.5
            Current                                                        37.5         41.5         36.4           60.3        73.9          51.6
              Compensation of employees                                    11.1         11.0          9.3           20.3        27.4          15.5
              Goods and services                                            6.5          8.9          8.8           14.7        18.9          13.9
              Interest                                                      3.0          2.9          2.8            3.5         3.4           5.5
              Subsidies to corporations and enterprises                     2.0          3.2          2.1            2.9         3.8           1.7
              Social benefits                                              14.8         15.6         13.3           18.9        20.3          15.0
                Social programs (on budget)                                 3.3          3.1          2.8            5.4         6.4           3.9
                Pensions                                                   10.6         11.3          9.5           12.3        12.6          10.3
"                 Unemployment, disability, and accident insurance           1.0          1.2          1.0            1.2         1.2           0.8"
              Other current expenditures                                    0.1          0.0          0.0            0.0         0.2           0.0
            Capital                                                         3.9          4.0          3.8            1.0         1.5           2.8
            Net lending                                                     0.1          0.1          0.1            0.5         0.5           0.7
              Contingency reserve 2/                                        0.0          0.0          0.0            0.0         0.1           1.3
          General government overall balance                               -2.1         -5.9          -3.9         -19.8       -20.5          -9.1
"          General government overall balance, excluding grants             -2.1         -5.9          -4.0         -28.2       -30.3         -21.6"
""
          General government financing                                      2.1          5.9           3.9          17.0        19.1           9.1
           External                                                        -0.2          2.0           2.4          13.5        12.1          13.3
             Disbursements                                                  2.0          5.0           4.4          14.6        13.4          14.9
               o/w IFIs                                                     0.6          1.6           1.4           5.5         5.8          16.9
                  o/w IMF budget support                                    0.0          1.3           0.4           2.0         1.9           0.0
             Amortizations                                                 -2.3         -3.0          -2.0          -1.1        -1.2          -1.6
           Domestic (net)                                                   2.3          4.0           1.6           3.5         6.9          -4.3
             Bond financing 3/                                              2.1          4.3           1.3           2.2         5.1          -1.0
               o/w NBU                                                     -0.3         -0.3          -0.3           8.5         8.3          -0.2
               o/w Commercial banks                                         2.3          4.6           1.5          -5.2        -2.2          -0.4
             Direct bank borrowing                                          0.0          0.2           0.5           0.0         0.0           0.0
             Deposit finance                                                0.2         -0.6          -0.3           1.2         1.8          -3.3
             Privatization                                                  0.0          0.1           0.1           0.0         0.0           0.1
""
          Financing Gap/undidentified measures (-gap/+surplus)                 0.0          0.0           0.0       -2.8         -1.4              0.0
""
          Bank and DGF recapitalization                                        0.0          0.0           0.0        0.0             0.0           0.0
""
          Memorandum items:
           Primary balance                                                  1.0          -3.0         -1.1         -13.5       -17.1           -3.6
           Public and publicly-guaranteed debt                            48.7          60.6         47.6           87.8        89.4          89.9
"           Nominal GDP (billions of Ukrainian hryvnia)                   3,977         4,222        5,460          4,567       4,700         6,100"
""
""
""
            Sources: Ministry of Finance; National Bank of Ukraine; and IMF staff estimates and projections.
"            1/ National methodology, cash basis."
            2/ Includes the unallocated portion of expenditures from the COVID fund.
            3/ Domestic bonds have been adjusted to reflect discrepancy between the above-the-line and the below-the-line deficits.
""
""
""
""
38   INTERNATIONAL MONETARY FUND
