V1
GRENADA
""
""
""
"                    Table 2a. Grenada: Operations of the Central Government, 2014–2024"
                                               (In EC$ million)
                                                       2014     2015    2016    2017     2018    2019     2019     2020    2021    2022    2023    2024
                                                                                         Est.    Budget    Proj.
""
" Total revenue and grants                              602.8   658.5    751.6   778.2    849.1    964.1   857.3    894.6   931.8   978.0 1,023.6 1,064.9"
 Revenue                                               502.3   571.3    651.6   700.1    754.8    780.4   775.9    811.9   847.8   892.9   937.3   985.7
  Tax revenue                                          448.1   511.8    600.5   651.9    703.0    726.5   721.7    755.2   788.4   830.3   871.4   916.3
    Taxes on income and profits                         89.9   101.7    127.3   140.6    153.9    157.4   153.2    160.3   168.0   177.0   186.4   196.0
    Taxes on property                                   21.3    23.3     23.9    24.3     29.2     28.0    23.9     25.0    26.2    27.6    29.0    30.5
    Taxes on goods and services                        193.4   214.0    244.8   263.7    276.4    287.3   288.9    302.3   316.8   333.6   351.4   369.7
    Taxes on international trade                       143.5   172.8    204.5   223.3    243.4    253.8   255.8    267.7   277.5   292.1   304.5   320.1
  Nontax revenue                                        54.2    59.5     51.1    48.2     51.8     53.9    54.2     56.7    59.4    62.6    66.0    69.3
    Citizenship by Investment Program                    0.3    16.3      3.4     4.9      3.3      3.1     3.4      3.5     3.7     3.9     4.1     4.3
"    Fees, fines and sales                               19.0    18.5     23.1    22.8     25.4     17.7      …        …       …       …       …       …"
    Licenses                                            30.0    18.4     16.6    18.2     19.0     19.7      …        …       …       …       …       …
 Grants                                                100.5    87.2    100.0    78.1     94.3    183.7    81.5     82.7    83.9    85.1    86.2    79.2
" Total expenditure and net lending 1/                  717.6   690.6    685.6   686.6    695.3    834.3   719.1    734.6   754.7   867.7   985.9 1,126.0"
 Current expenditure                                   490.9   467.0    565.5   605.9    608.5    637.9   624.3    646.7   667.1   711.0   766.9   821.3
  Wages and salaries                                   242.4   215.3    240.4   246.9    251.6    275.4   260.6    272.2   284.7   306.7   331.3   357.9
  NIS contributions                                     11.4    10.6     11.2    18.4     12.7     13.5    13.2     13.8    14.5    15.7    17.0    18.4
  Goods and services                                    72.2    75.9    117.6   126.5    130.7    124.8   129.8    135.8   137.8   148.8   165.2   178.0
  Transfers                                             77.7    75.3    113.9   133.2    150.3    152.2   151.0    157.2   165.4   175.9   189.1   203.9
    Transfers Abroad (Contributions)                    13.1    13.8     14.3    20.8     19.6       …       …        …       …       …       …       …
    Grants & Subventions (other private sector)         24.2    23.7     41.4    48.1     56.5       …       …        …       …       …       …       …
    Public Assistance                                    0.0     0.0     16.9    20.6     21.5       …       …        …       …       …       …       …
    Pensions                                            40.3    37.8     41.4    43.7     52.6     55.6    51.1     52.1    55.4    59.4    64.0    68.8
  Interest payments                                     87.2    89.9     82.3    81.0     63.2     72.0    69.8     67.6    64.8    63.9    64.3    63.1
""
 Capital expenditure and net lending                   226.7   223.6    120.1     80.6    86.8    196.4   94.8     87.9    87.6    156.6   219.0   304.7
   o/w natural disaster                                                                                   16.8     17.5    18.4     19.4    20.4    21.4
  Grant-financed                                        90.6    87.2     74.0     64.2    74.9    178.5   76.3     77.4    78.6     79.6    80.7    73.7
  Non-grant financed                                   136.1   136.5     46.1     16.4    11.9     17.9   18.5     10.5     9.0     77.0   138.3   231.0
""
 Primary balance 2/                                    -27.6    57.8    148.3   172.6    217.0    201.8   208.0    227.6   241.9   174.3   102.0     2.0
 Overall balance                                      -114.8    -32.2    66.0     91.6   153.8    129.8   138.3    160.0   177.1   110.3    37.6   -61.1
" Public Debt                                         2,504.5 2,425.4 2,338.1 2,130.9 2,030.8 1,983.8 1,968.1 1,884.8 1,860.0 1,871.1 1,833.5 1,894.6"
 Memo items:
" Nominal GDP (EC$ millions)                                  2,461     2,692    2,866  3,043 3,202 3,352 3,352 3,508       3,677   3,873   4,080   4,289"
 Sources: Country authorities and Fund staff estimates.
 1/ The Chart of Accounts for expenditure classification was revised in 2016 from GFSM 1986 format to GFSM 2014 format.
 2/ The primary balances include non-tax revenue from the Citizenship by Investment program.
""
""
""
""
30    INTERNATIONAL MONETARY FUND
