V1
SAMOA
""
""
""
" Table 3a. Samoa: Summary of Budgetary Central Government Operations, 2016/17–2024/25"
                                                                                                                      Estimates          Revised                                         Projections
                                                                                                                                       Budget 1/
                                                                                        2016/17        2017/18         2018/19        2019/20          2019/20           2020/21       2021/22         2022/23   2023/24     2024/25
""
                                                                                                                                                       (In millions of tala)
 Total Revenue                                                                            617.4           645.4           754.6            812.1            618.2              560.0     646.1           759.8     882.9       929.5
     Revenue (excluding grants)                                                           576.6           584.3           661.8            583.1            467.3              442.7     535.2           643.9     758.2       799.3
        Tax revenue                                                                       517.5           525.8           572.5            464.7            413.1              383.8     471.1           573.7     684.5       721.8
"           Taxes on income, profits and capital gains                                     117.0           115.5           131.6            119.3              91.1              82.9     106.2           122.2     140.7       146.5"
               Payable by individuals                                                      68.7            68.0            67.8             70.2              49.9              45.8      60.4            69.5      79.0        81.7
               Payable by corporations and other enterprises                               48.3            47.5            63.8             49.1              41.2              37.1      45.8            52.7      61.7        64.8
           Taxes on property                                                                3.3             2.6             0.8                 0.8            0.8               0.8       0.9             0.9       1.0         1.0
           Taxes on goods and services                                                    342.2           348.9           376.6            300.4            275.7              258.6     313.8           390.7     476.2       502.9
               Value added tax                                                            198.1           209.1           229.4            165.5            177.8              170.1     195.4           238.6     290.5       307.8
               Excises                                                                    133.8           127.3           132.7            131.7              86.7              78.5     106.2           136.6     169.6       178.2
               Others                                                                      10.3            12.5            14.5             12.5              11.2              10.0      12.2            15.5      16.1        16.9
           Taxes on international trade and transactions                                   54.9            58.8            63.5             44.1              45.5              41.4      50.3            59.9      66.7        71.4
     Grants                                                                                40.8            61.1            92.9            229.0            150.9              117.3     110.9           115.9     124.7       130.2
     Other revenue                                                                         59.1            58.4            89.3            118.4              54.2              58.9      64.1            70.2      73.7        77.4
        Sales of goods and services                                                        41.3            40.4            67.4                  …            41.2              45.8      50.3            55.8      58.6        61.6
"        Fines, penalties and forfeits                                                      11.4            11.0             0.2                  …            10.8              10.9      11.5            12.0      12.5        13.2"
        Property income                                                                     6.4             7.0            21.7                  …             2.2               2.2       2.3             2.4       2.5         2.7
""
""
" Total Expenditure                                                                        661.5           643.9           694.2            848.0            776.0              776.1     825.2           900.4     949.8     1,000.6"
     Expense                                                                              489.0           515.5           576.7            655.6            658.1              619.2     654.3           687.0     719.5       761.2
        Compensation of employees 2/                                                      171.2           194.4           230.7            301.5            242.2              244.4     256.4           268.5     280.1       294.3
           Wages and salaries                                                             158.8           180.2           214.0                  …          223.2              225.3     236.3           247.5     258.0       271.1
           Employers' social contributions                                                 12.3            14.2            16.7                  …            19.0              19.1      20.1            21.0      22.1        23.2
        Use of goods and services 2/                                                      113.4           154.5           186.4            253.8            230.8              185.6     196.7           206.0     215.2       228.8
        Interest                                                                           17.2            17.3            16.5             17.5              17.3              19.7      23.4            26.4      28.9        30.3
           External                                                                        14.3            15.3            15.1                  …            17.0              18.8      22.5            25.5      28.0        29.4
           Domestic                                                                         2.9             2.0             1.4                  …             0.2               1.0       0.9             0.9       0.9         0.9
        Subsidies 3/                                                                        9.1             5.1             4.7             21.5              19.2              19.4      20.3            21.3      22.4        23.5
        Grants 4/ 2/                                                                      137.3           109.7           106.5             10.2            102.8              103.7     108.8           113.9     119.6       128.3
        Social benefits 5/                                                                 18.1            18.6            19.9             34.1              34.1              34.4      36.1            37.8      39.7        41.7
        Other expense 6/                                                                   22.8            15.8            12.0             17.0              11.8              11.9      12.5            13.1      13.8        14.5
     Transactions in nonfinancial assets                                                  172.4           128.4           117.5            192.4            117.8              156.9     171.0           213.4     230.3       239.3
""
 Gross operating balance                                                                  128.4           129.9           177.9            156.5             -40.0             -59.2      -8.2            72.8     163.4       168.2
 Overall balance                                                                          -44.1             1.5            60.4            -35.9            -157.8         -216.1       -179.1          -140.7     -66.9       -71.1
 Overall balance excluding grants                                                         -84.9           -59.6           -32.4           -264.9            -308.7         -333.4       -290.0          -256.6    -191.6      -201.3
 Primary balance                                                                          -26.9            18.8            76.9            -18.4            -140.6         -196.4       -155.8          -114.3     -38.0       -40.8
""
 Financing                                                                                -44.1             1.5            60.4            -35.9            -157.8         -216.1       -179.1          -140.7     -66.9       -71.1
 Net financial assets                                                                     -50.8            19.3             7.3            -74.8             -10.6              -7.3      -2.3            -1.9      -1.3        -1.2
     Domestic currency and deposits                                                       -50.8            19.3             7.3            -74.8             -11.0              -7.3      -2.3            -1.9      -1.3        -1.2
 Net incurrence of liabilities                                                             -6.8            17.8           -53.1            -38.9            147.2              208.8     176.9           138.8      65.6        69.9
     External loans (net)                                                                   2.8            27.6           -43.8            -34.8            109.5              217.5     186.5           148.3      76.1        80.4
        Disbursement                                                                         …             97.6            27.2             40.2            184.5              297.5     264.5           223.9     152.3       157.4
        Amortization                                                                         …             70.0            71.0             75.0              75.0              80.0      78.0            75.6      76.2        77.0
     Domestic loans (net)                                                                  -9.5            -9.8            -9.3             -4.1              37.7              -8.7      -9.7            -9.6     -10.5       -10.5
        Disbursement                                                                         …               …                …                 8.2           50.0               0.0       0.0             0.0       0.0         0.0
        Amortization                                                                         …               …                …             12.3              12.3               8.7       9.7             9.6      10.5        10.5
""
 Statistical discrepancy                                                                    0.0             0.0             0.0                 0.0            0.0               0.0       0.0             0.0       0.0         0.0
""
 Memorandum items:
" Nominal GDP (in millions of tala)                                                      2,109.4         2,105.7         2,227.5          2,174.9        2,174.9           2,195.1      2,302.7         2,411.1   2,532.9     2,661.4"
 Compensation of employees
     in percent of GDP                                                                      8.1             9.2            10.4             13.9              11.1              11.1      11.1            11.1      11.1        11.1
     in percent of domestic revenue                                                        29.7            33.3            34.9             51.7              51.8              55.2      47.9            41.7      36.9        36.8
     in percent of current expense                                                         35.0            37.7            40.0             46.0              36.8              39.5      39.2            39.1      38.9        38.7
" Total central government debt outstanding                                              1,047.3         1,113.8         1,058.6            976.2        1,209.4           1,434.3      1,620.3         1,772.2   1,857.5     1,948.9"
