V1
                                                                                                                                                                                 SENEGAL
""
""
""
""
"        Table 5. Senegal: Central Government Operations, GFSM 2001 Classification, 2020–271"
                                          (Percent of GDP)
                                                                         2020              2021              2022                  2023             2024       2025       2026        2027
                                                                                       IMF CR            IMF CR                IMF CR
                                                                             Act.                 Act.                Proj.                 Proj.                Projections
                                                                                       22/197            22/197                22/197
Revenue and Grants                                                          20.2         19.4     19.4     20.7       21.0       21.2       21.3      22.4       23.4       23.5        23.7
    Taxes                                                                    16.8        16.9     16.9      18.0       18.5       18.8       18.8      19.6       20.6         21.1      21.5
       Direct Taxes                                                           5.4         5.6      5.6       5.7        6.3        5.9        6.0       6.8        7.4          7.4       7.5
       Taxes on goods and services                                            8.7         8.4      8.4       9.4        9.1        9.7        9.5       9.6        9.6          9.9      10.2
       Taxes on international trade and transactions                          2.4         2.6      2.6       2.7        2.8        2.9        3.0       3.0        3.2          3.3       3.3
       Other taxes                                                               0.2      0.3      0.3       0.3        0.3        0.2        0.3       0.3        0.4          0.4       0.4
    Grants                                                                       2.3      0.9      0.9       1.6        1.4        1.5        1.7       1.4        1.3          1.2       1.2
     Budget                                                                      1.4      0.1      0.1       0.3        0.1        0.3        0.5       0.2        0.1          0.1       0.1
  Projects                                                                   0.9          0.7      0.7      1.3        1.3        1.2        1.2       1.1        1.1        1.1         1.1
 Other revenue                                                               1.1          1.7      1.7      1.1        1.1        0.8        0.8       1.4        1.6        1.1         1.0
Expenditure                                                                 26.6         25.7     25.7     26.9       27.2       25.7       26.2      26.4       26.4       26.5        26.7
    Expense                                                                  17.2        16.6     16.6      16.5       19.2       15.7       18.2      16.9       15.7         15.8      15.9
     Compensation of employees                                                5.7         5.9      5.9       6.3        6.4        6.5        6.9       6.8        6.8          6.8       6.8
       of which: youth employment program                                         …       0.1      0.1       0.2        0.2        0.2        0.2          …          …          …           …
      Use of goods and services                                                  2.0      2.3      2.3       1.9        2.1        2.1        2.1       2.1        2.1          2.1       2.1
      Interest                                                                   2.1      2.0      2.0       2.1        2.2        2.0        2.2       2.2        2.2          2.3       2.4
      Subsidies                                                                  3.3      1.5      1.5       2.4        5.0        1.3        3.2       1.9        0.5          0.5       0.6
       of which: energy subsidies                                                1.7               0.9                  4.4                   2.7       1.4        0.0          0.0       0.0
      Social benefits                                                            0.2      0.1      0.1       0.2        0.2        0.2        0.2       0.2        0.2          0.2       0.2
      Other expense                                                              1.3      1.2      1.2       0.9        0.9        1.0        1.1       1.2        1.3          1.3       1.3
    Net acquisition of nonfinancial assets                                       9.3      9.2      9.2      10.4        8.0       10.1        8.0       9.5       10.7         10.7      10.8
     Domestically financed                                                       5.4      5.1      5.1       6.0        4.3        5.8        4.5       6.2        7.5          7.7       7.8
     Externally financed                                                         4.0      4.1      4.1       4.3        3.7        4.3        3.5       3.2        3.1          3.0       2.9
