V1
                                                                                                                                             INDIA
""
""
""
"  Table 4. India: Central Government Operations 1/, 2017/18-2022/23"
                                                            2017/18   19   20   21   22   23
                                                                                               Projections
                                                                                      (In percent of GDP)
Revenue                                                   8.8          8.4        8.5        8.5                         8.7          8.9
  Taxes 2/                                                7.4          6.9        6.7        7.2                         7.2          7.3
     Income tax                                           5.9          6.0        5.2        4.7                         4.9          5.0
     GST                                                  2.6          3.1        3.0        2.8                         2.9          3.0
     Excise tax                                           1.5          1.2        1.2        2.0                         1.7          1.7
     Customs duties                                       0.8          0.6        0.5        0.7                         0.7          0.8
     Other taxes                                          0.2          0.0        0.0        0.1                         0.0          0.0
     Less: States' share                                  3.9          4.0        3.2        3.0                         3.1          3.1
  Grants                                                  0.0          0.0        0.0        0.0                         0.0          0.0
  Other revenue 3/                                        1.4          1.4        1.8        1.3                         1.5          1.6
    Property income                                       0.6          0.7        1.0        0.6                         0.7          0.8
    Sale of goods and services                            0.3          0.2        0.2        0.2                         0.2          0.2
    Miscellaneous and unidentified revenue                0.5          0.6        0.6        0.5                         0.6          0.7
Expenditure                                              12.6        12.3       13.2        17.1                        16.1         15.2
  Expense 4/                                             11.0        10.6       11.6        14.9                        13.9         13.1
    Compensation of employees 5/                          1.1          1.1        1.1        1.0                         1.1          1.1
    Interest                                              3.1          3.1        3.0        3.5                         3.6          3.6
    Subsidies 6/                                          1.1          1.0        1.1        2.7                         2.1          1.8
       Food 7/                                            0.6          0.5        0.5        1.9                         1.5          1.1
       Fertilizer                                         0.4          0.4        0.4        0.6                         0.4          0.4
       Petroleum                                          0.1          0.1        0.2        0.2                         0.2          0.2
    Grants and other expense 8/                           5.7          5.4        6.3        7.7                         7.0          6.7
      Grants                                              2.3          2.2        2.3        3.7                         3.1          2.9
      Other expense 8/                                    3.4          3.3        4.0        4.0                         4.0          3.8
  Net acquisition of nonfinancial assets                  1.5          1.6        1.6        2.2                         2.2          2.1
Gross Operating Balance                                  -2.2         -2.3       -3.1       -6.4                        -5.1         -4.1
Net lending / borrowing (overall balance)                -3.7         -3.9       -4.8       -8.6                        -7.3         -6.2
Net financial transactions                               -3.8         -3.9       -4.8       -8.6                        -7.3         -6.2
Net acquisition of financial assets                      -1.2         -1.2       -1.5       -1.2                        -1.7         -1.8
  Domestic                                               -1.2         -1.2       -1.5       -1.2                        -1.7         -1.8
    Currency and deposits                                -0.7         -0.7       -1.2       -1.8                        -1.6         -1.3
    Loans                                                 0.0          0.1        0.0        0.8                         0.4          0.1
    Share and other equity                               -0.6         -0.5       -0.2       -0.2                        -0.5         -0.5
Net incurrence of liabilities                             2.5          2.7        3.3        7.4                         5.7          4.5
  Domestic                                                2.5          2.7        3.3        7.1                         5.7          4.5
    Debt securities 9/                                    2.7          2.3        3.1        6.7                         5.2          4.0
    Other accounts payable                               -0.2          0.4        0.2        0.4                         0.5          0.4
  Foreign                                                 0.0          0.0        0.0        0.4                         0.0          0.0
    Loans                                                 0.0          0.0        0.0        0.4                         0.0          0.0
Memorandum items:
Balance under authorities' definition /10                -3.5         -3.4       -4.6       -9.2                        -7.0          -5.9
Primary balance                                          -0.6         -0.8       -1.8       -5.1                        -3.7          -2.7
Central government debt /11                              49.5        49.4       51.7        63.0                        63.5          61.5
Sources: Data provided by the Indian authorities; and Fund staff estimates and projections.
1/ Data for April - March fiscal years
"2/ Net tax revenue, defined as gross tax revenue collected by the central government minus state governments' share."
3/ Auctions for wireless spectrum are classified as non-tax revenues.
4/ Includes the surcharge on Union duties transferred to the National Calamity Contingency Fund.
5/ Pensions are included under expense not otherwise classified.
6/ Includes subsidy-related bond issuance.
"7/ Starting in FY2020/21, includes food subsidies covered by the Food Corporation of India. For FY2020/21, excludes retroactive payment"
to Food Corporation of India for previous years' food subsidy bill.
8/ Other expense includes purchases of goods and services.
"9/ Debt securities include bonds and short-term bills, as well as loans."
"10/ Includes asset sales in receipts, and excludes certain non-tax revenue items. Includes the retroactive payment to Food corporation of"
India for previous years' foof subsidy bill.
"11/ Central government debt includes SDR, and for FY2021/22 reflects the additional SDR allocation of about 0.6 percent of GDP."
""
""
""
""
                                                                                           INTERNATIONAL MONETARY FUND                         37
