V1
                                                                                                        EASTERN CARIBBEAN CURRENCY UNION
""
""
""
"     Table 3. ECCU: Selected Central Government Fiscal Indicators by Country, 2014–24   "
""
                                                                                            (In percent of GDP)
                                                                                    Prel.                            Proj.
                                                           2014     2015    2016    2017        2018      2019    2020     2021   2022    2023    2024
Total revenues and grants                                  26.7      28.4   29.3     28.1       28.0      25.9    24.9     24.5   24.3    23.9    23.8
   Anguilla                                                24.1      21.8   22.3     29.1       35.7      36.8    32.0     29.8   28.7    26.5    25.3
   Antigua and Barbuda                                     19.7      23.7   24.0     21.0       19.5      19.0    18.2     17.9   17.7    16.8    16.8
   Dominica                                                27.1      44.3   59.0     59.1       50.1      38.5    31.0     28.7   28.1    28.0    28.0
   Grenada                                                 24.5      24.5   26.2     25.6       26.0      25.7    25.6     25.5   25.4    25.2    24.9
   Montserrat                                              94.4     113.5   79.3    111.1       92.8      87.4    83.1     80.8   77.0    73.9    71.2
   St. Kitts and Nevis                                     39.0      36.3   32.2     29.3       36.2      26.9    26.1     25.6   25.4    25.2    25.0
   St. Lucia                                               22.9      23.4   23.5     22.8       23.2      23.1    23.2     23.3   23.3    23.3    23.2
   St. Vincent and the Grenadines                          29.3      27.9   29.8     30.3       27.8      28.2    28.4     28.4   28.4    28.4    28.4
Current expenditure                                        23.0      23.1   22.6    23.1        23.0      23.0    22.7     22.7   22.7    22.7    22.6
   Anguilla                                                21.2      20.6   21.9    25.7        25.2      23.5    22.3     21.3   21.6    20.8    19.7
   Antigua and Barbuda                                     20.9      24.9   20.3    20.5        22.1      20.7    20.5     20.5   20.5    20.5    20.5
   Dominica                                                24.9      24.9   28.1    34.2        30.1      27.2    26.2     25.5   24.5    24.8    24.7
   Grenada                                                 19.9      17.3   19.7    19.9        18.6      18.5    18.4     18.2   18.1    18.1    18.1
   Montserrat                                              74.0      75.5   67.3    73.9        72.4      69.7    67.9     66.3   64.6    62.8    61.2
   St. Kitts and Nevis                                     24.6      24.4   24.0    24.1        22.9      25.4    25.4     26.0   26.4    26.3    26.3
   St. Lucia                                               22.4      21.7   21.2    20.2        21.5      22.5    22.1     22.3   22.4    22.5    22.6
   St. Vincent and the Grenadines                          24.9      24.1   24.9    26.7        26.2      26.0    26.1     26.0   25.9    25.9    25.8
Capital expenditure and net lending                         5.0       4.9    4.9      4.9        5.2       5.5     4.4      4.1    3.9     4.0     4.0
   Anguilla                                                 0.4       0.8    0.8      2.8       10.7      11.6     6.2      5.7    5.4     4.9     4.5
   Antigua and Barbuda                                      1.6       1.4    3.9      1.9        3.0       3.7     2.3      1.8    1.8     1.8     1.9
   Dominica                                                 6.8       7.5   16.3     24.6       17.3      17.8    17.0     10.0    3.1     3.1     3.1
   Grenada                                                  9.2       8.3    4.2      2.6        3.1       2.9     2.9      4.7    6.7     7.0     7.6
   Montserrat                                              26.5      18.5   12.4      4.8       26.0      20.8    13.8     13.2   11.2     9.7     8.6
   St. Kitts and Nevis                                      5.6       6.6    4.2      4.7        4.4       4.2     4.1      4.0    4.0     4.0     4.0
   St. Lucia                                                3.9       4.2    3.8      4.4        4.7       5.2     3.7      3.7    3.7     3.7     3.7
   St. Vincent and the Grenadines                           6.4       4.9    3.8      4.1        3.6       3.9     3.9      3.9    3.9     3.9     3.9
Saving (current revenue less current expenditure)            0.8      2.0     3.3     2.0         1.5     -1.1     -1.0    -1.1    -1.2    -1.2    -1.2
   Anguilla                                                  1.2      0.8     0.1    -0.6        -3.1      1.2      2.6     3.5     3.1     3.8     3.7
   Antigua and Barbuda                                      -3.4     -7.0    -3.0    -2.3        -5.5     -4.1     -3.9    -3.9    -3.9    -3.8    -3.8
   Dominica                                                  0.2     17.3    29.9    20.0        11.4      4.7      3.8     2.3     2.6     2.3     2.3
   Grenada                                                   0.5      3.9     3.0     3.1         4.5      4.5      4.6     4.7     4.8     4.7     4.8
   Montserrat                                              -45.6    -47.0   -39.6   -44.8       -44.2    -40.1    -37.8   -35.7   -33.5   -31.1   -28.9
   St. Kitts and Nevis                                      11.6     10.7     5.6     3.9        11.3     -0.2     -0.9    -2.0    -2.5    -2.6    -2.6
   St. Lucia                                                -0.8      0.3     1.1     1.2         0.5     -0.5      0.0    -0.1    -0.3    -0.4    -0.5
   St. Vincent and the Grenadines                            2.3      1.3     3.6     1.3         0.1      0.7      0.8     0.9     1.0     1.0     1.1
Primary balance 2/                                          1.4       3.1    4.3      2.5        2.4      -1.3     -0.9    -0.8    -0.8    -1.0    -1.1
   Anguilla                                                 3.6       1.4    1.0      2.7        2.1       3.7      5.3     4.1     2.9     1.8     1.9
   Antigua and Barbuda                                     -0.2      -0.1    2.3      0.9       -2.4      -2.3     -1.4    -1.0    -1.0    -1.7    -1.6
   Dominica                                                -3.0      13.8   16.2      2.5        4.6      -6.1    -11.9    -6.3     0.9     0.6     0.6
   Grenada                                                 -1.1       2.1    5.2      5.7        6.3       6.3      6.1     4.2     2.0     1.6     0.8
   Montserrat                                              -6.1      19.5   -0.4     32.4       -5.6      -4.4      0.0    -0.1    -0.1     0.1     0.2
   St. Kitts and Nevis                                     11.4       7.3    5.6      2.0       10.4      -2.6     -3.1    -3.5    -3.7    -3.4    -3.1
   St. Lucia                                                0.1       0.9    1.9      1.3        0.2      -1.3      0.8     1.0     1.0     0.9     0.9
   St. Vincent and the Grenadines                           0.3       1.1    3.2      1.9        0.6       0.7      1.0     1.0     1.1     1.2     1.2
Overall balance 2/                                          -1.4      0.5    1.8      0.1        -0.2     -3.5     -3.2    -3.2    -3.3    -3.6    -3.8
   Anguilla                                                  2.5      0.4   -0.4      0.6        -0.2      1.6      3.3     2.6     1.6     0.6     0.9
   Antigua and Barbuda                                      -2.8     -2.6   -0.1     -1.3        -5.6     -5.4     -4.6    -4.4    -4.6    -5.5    -5.6
   Dominica                                                 -4.6     11.9   14.6      0.3         2.7     -8.0    -13.7    -8.2    -1.0    -1.3    -1.3
   Grenada                                                  -4.7     -1.2    2.3      3.0         4.3      4.3      4.3     2.6     0.6     0.1    -0.7
   Montserrat                                               -6.2     19.5   -0.4     32.4        -5.6     -4.4      0.0    -0.1    -0.1     0.0     0.2
   St. Kitts and Nevis                                       8.8      5.3    4.0      0.5         8.9     -4.1     -4.8    -5.8    -6.5    -6.6    -6.7
   St. Lucia                                                -3.4     -2.6   -1.5     -1.8        -3.1     -5.3     -3.2    -3.3    -3.5    -3.6    -3.7
   St. Vincent and the Grenadines                           -2.0     -1.1    1.1     -0.5        -2.0     -1.7     -1.6    -1.5    -1.4    -1.4    -1.3
""
 Sources: Country authorities; and Fund staff estimates and projections.
" 1/ Fiscal years for Dominica, Montserrat (since 2010) and St. Lucia."
 2/ Includes imputed natural disaster costs.
""
""
""
""
                                                                                                        INTERNATIONAL MONETARY FUND                 33
