V1
                                                                      KINGDOM OF THE NETHERLANDS—CURAÇAO AND ST. MAARTEN
""
""
""
"                                Table 5. Sint Maarten: Government Operations, 2016–25"
                                        (Millions of NAf unless otherwise indicated)
""
                                                           2016      2017       2018       2019        2020       2021       2022       2023       2024          2025
""
                                                                      Prel.      Prel.      Prel.                               Proj.
""
Total revenue                                               468       408        406        458         586        684        624        652        679           702
   excl. grants                                             468       408        375        434         461        490        514        537        559           582
   Taxes                                                    380       340        320        371         392        411        432        451        470           490
      Taxes on income and profits                           184       170        154        168         178        186        196        204        213           222
      Taxes on property                                      13        11         10         13          13         14         15         15         16            17
      Taxes on goods and services                           181       157        155        190         200        210        221        230        240           250
      Other taxes                                             1         1          2          1           1          1          1          1          1             1
   Grants                                                     0         0         32         24         125        194        110        115        120           120
   Other revenue                                              88        68         54         63         68         79          82         86         89            92
""
Total expenditure                                           442       473        471        487         561        586        614        657        699           727
 Current expenditure                                        431       470        454        458         475        491        508        526        545           564
   Compensation of employees                                224       218        202        206         214        219        226        234        242           251
      Of which : Wages                                      169       160        139        140         144        148        152        157        162           167
   Goods and services                                        88       120        104        101         104        106        110        115        120           125
   Social benefits 1/                                        22        34         32         34          36         38         40         41         43            45
   Subsidies                                                 85        85        104        104         107        111        114        118        122           125
   Interest                                                  13        13         13         13          15         17         17         17         17            17
 Capital expenditure                                         11         3          2          5          60         55         49         51         51            50
 Special projects                                             …         …         16         24          26         40         57         80        104           113
 Fiscal buffer                                                …         …          …          …           0          0          0          0          0             0
""
Primary balance                                              39       -52         -52        -16         39        109         21           5        -10           -14
Primary balance excl. Trust Fund operations                  39       -52         -68        -15        -60        -45        -32         -30        -26           -21
Overall balance                                              26       -65         -65        -29         24         98         10          -6        -20           -25
""
Financing transactions (+: increasing net assets)            26       -65         -65        -30         24         98         10          -6        -20          -25
   Net acquisition of financial assets                      122       -84          21        -32         99        200         58          40         21            1
     Domestic                                               122       -84          21        -32         99        200         58          40         21            1
     External                                                 0         0           0          0          0          0          0           0          0            0
   Net incurrance of liabilities                             96       -19          86         -2         74        101         48          46         42           25
     Domestic                                                 0         0           0        -50          0          0          0           0          0           -6
     External                                                96       -19          86         48         74        101         48          46         42           31
         Gross borrowing                                      0        65          86         56        134        112         59          57         47          112
         Amortization                                       -96        84           0          8         60         11         11          11          6           81
""
Memorandum Items:
Fiscal rules and sustainability indicators
   Current balance (Authorities' definition) 2/              20       -72        -90         -35        -26        -19        -13         -10          -6             0
   Current balance excl. grants                              37       -62        -80         -24        -15          -8         -1           3          8           11
   Interest rule (interest/revenue) (percent) 3/             2.9       2.9        2.9         3.1        3.4        3.6        3.0         2.7        2.6           2.7
"   Gross central government debt 4/                         854       835        930         927      1,002      1,103      1,151       1,197      1,238         1,263"
"  Government deposits (eop), incl. fiscal buffer 5/         141       126        115          64        111        171        224         259        275           282"
  Net central government debt                               714       709        814         864        891        932        926         937        963           981
  Debt service/revenue (percent)                             8.5       3.3        4.3         5.2      16.8       17.9         5.5         3.7        2.8         13.0
Reconstruction financing (millions of euros)
"  Reconstruction Fund, end-year balance                       …       481        472        459         395        297        242        185        126            69"
  Use of Reconstruction Fund                                  …        67         15         12          62         95         53         56         58            58
"  Nominal GDP, millions of NAf                             1919      1815       1708       1806        1905       1995       2092       2185       2278          2373"
Sources: Data provided by the authorities and IMF staff estimates.
"1/ Includes transfers to cover the deficit of funds not integrated into the central budget, such as those for social security/insurance."
"2/ Revenue excl. grants minus interest income, current expenditure and depreciation of fixed assets."
3/ The denominator is the average of total revenue in the previous three years.
4/ The stock in 2016 is based on financial statements. Values in subsequent years are staff's estimates and are higher than ones under authorites' definition.
5/ From the CBCS monetary survey.
""
""
""
""
                                                                                                          INTERNATIONAL MONETARY FUND                               37
