V1
PHILIPPINES
"Table 3. Philippines: General Government Operations, 2015-20   "
"(In percent of GDP, unless otherwise indicated)"
2015      2016      2017      2018      2019      2020
Proj.           Proj.
Revenue                                                                                                         19.4                19.1                 19.6               20.2                20.4               20.6
Taxes                                                                                      14.5             14.6            15.1             15./             15.9             16.2
"Taxes on income, profits, and capital gains                 6.4           6.4           6.5           5.9           6.0           6.0"
Taxes on goods and services                                    6.6           6.6           7.1           78           Ti           8.0
Taxes on international trade and transactions             04           04           o4           0.5           07           07
Taxes not elsewhere classified                                         1.2              1.2              1.2              14              1.6              1.5
Social contributions                                                 24           24           24           24           24           24
Grants                                              0.0        0.0        0.0        0.0        0.0        0.0
Other revenue                                                         2.3           2.2           2.1            2.2           2.2           2.1
Total expenditure                                                                                     18.8                19.5                20.0               21.8                21.6               22.2
Expense                                                                                15.1             14.9            15.1             15.9            16.2            16.4
Compensation of employees 2/                               5.0           5.0           5.1            5.7           5.9           6.0
Purchases/use of goods and services 2/                     3.0            2.9            2.9            3.0            3.0            3.0
Interest 2/                                                                                                 2.1                   1.6                   1?                   1/7                   1.6                   1?
Social benefits                                               2.2          ed          24          2.5          ef          2.0
Expense not elsewhere classified                                    2.8              2.9              2.9              3.0             2.8              2.8
Net acquisition of nonfinancial assets                          3.7           46           49            5.9            5.3            5.8
Net lending/borrowing                                                                           0.6                -0.4                -0.4                -1.5                 -1.1                 -1.6
Memorandum items:
Primary balance                                                      27            1.5            1.3           0.2           0.6           0.2
General government gross debt 3/                           415          33.0         39.9          38.9          38.9          38.9
Domestic                                                                         26.0            24.1            25.9            24.5            25.0            25.2
Foreign                                                                                            15.5              14.9              14.0              14.4              13.9              13.7
"GDP (in billions of pesos)                                               13,322        14,480        15,808        17,426        18,614       20,302"
Sources: Philippine authorities; and IMF staff projections.
"1/ Based on GFSM2001. General government includes the national government, social security institutions (SSIs),"
and local government units (LGUs).
2/ National government only. The expense item related to SSIs and LGUs are not separately available and included
under “Expense not elsewhere classified.”
3/ Includes national government debt held by the bond sinking tund and excludes contingent/quaranteed debt.
INTERNATIONAL MONETARY FUND 29
