V1
MALAWI
""
""
"                            Table 2a. Malawi: Central Government Operations, 2018/19-25/261"
                                                     (Billion of Kwacha)
                                                              2018/19       2019/20       2020/21                    2021/22       2022/23       2023/24       2024/25    2025/26
""
                                                                                           Prelim.      Budget                                  Proj.
""
" REVENUE                                                       1,132.6       1,263.8       1,363.8       1,271.3      1,102.4       1,637.0       1,870.6      2,085.1    2,287.5"
"     Taxes                                                        986.7      1,068.7       1,136.0       1,044.1        978.0       1,451.9       1,666.8      1,877.3    2,103.7"
       Taxes on income profits and capital gains                  460.7        506.6        539.9         495.8         455.9         677.7         778.7        878.8      986.5
       Taxes on goods and services                                437.0        476.6        502.7         464.4         434.0         644.5         739.8        831.9      930.6
       Taxes on international trade and transaction                88.3         84.7          92.5          83.1         87.4         128.6         147.0        165.2      185.0
       Other taxes                                                   0.7          0.9          0.9           0.7           0.7          1.1              1.2        1.4        1.5
""
""
     Grants                                                       109.3        126.6        157.9         170.3          91.7         132.8         137.5        133.6      101.7
       Current                                                     30.7         22.0          16.0           0.0           0.0          0.0              0.0       0.0         0.0
       Capital                                                     78.6        104.6        141.9         170.3          91.7         132.8         137.5        133.6      101.7
        Project grants                                             51.5         86.1        116.7             …          49.2          99.6         103.1        100.2       76.2
        Dedicated Grants                                           27.0         18.6          25.2            …          42.5          33.2             34.4      33.4       25.4
""
""
     Other Revenue                                                 36.7         68.5          69.9          56.9         32.7          52.3             66.4      74.1       82.1
""
""
" EXPENDITURE                                                   1,509.3       1,822.8      2,049.7        1,995.1      1,903.3       2,718.1       3,080.8      3,489.7    3,958.3"
"      EXPENSE                                                  1,204.2       1,499.5      1,695.6        1,424.3      1,507.4       2,168.1       2,477.0      2,789.9    3,170.0"
"       Compensation of employees                                  398.7        473.6        552.9         449.6         462.2         695.3         814.8        932.1    1,048.4"
       Purchase of goods and services                             292.5        418.0        329.6         269.6         272.2         346.7         368.7        386.9      461.4
        Generic goods and services                                131.5        219.6        212.2         164.8         167.1         214.9         219.4        220.3      219.2
        Health Sector                                              42.8         64.4          57.5          49.0         49.0          67.8             76.9      85.8       94.9
        Agriculture Sector                                           6.3          8.6          7.3           5.0           6.8          8.8             10.0      11.1       12.3
        Education Sector                                           26.8         27.8          34.2          29.8         29.8          39.3             44.5      49.7       54.9
        Expenditure for arrears                                      5.2        54.3           2.9           5.0           5.0          0.0              0.0       0.0        0.0
        Storage levy expenses                                        2.0          2.9          1.6           2.9           1.3          1.9              2.2       2.4        2.7
        Maize purchases                                              8.7        10.0         10.4           12.0         12.0          12.4             14.1      15.7       17.4
        Other
           p                   p                                   69.3         30.4           3.6           1.2           1.2          1.6              1.6       0.0        0.1
       Interest                                                   224.3        261.7        348.3         299.7         293.4         536.9         671.2        829.7      993.2
        To non-residents                                           15.6         15.3          17.7          14.5         92.9         151.0         166.5        168.5      134.5
        To residents other than general government                208.7        246.4        330.6         285.3         200.5         385.8         504.7        661.2      858.7
       Grants                                                     171.4        211.8        191.2         154.0         167.8         230.5         247.8        257.2      257.2
        Current                                                   124.3        164.2        168.9         141.7         147.6         205.0         220.1        229.5      238.5
          Road fund Administration                                 21.2         39.1          32.9          31.3         27.7          40.8             46.3      51.6       57.1
          Transfers to MRA                                         28.8         31.3          31.5          31.0         29.3          43.6             50.0      56.3       63.1
          Transfers to public entities                             74.3         93.8        104.4           79.4         90.6         120.6         123.8        121.5      118.3
        Capital                                                    47.1         47.6          22.3           9.0         20.2          25.5             27.7      27.7       18.7
          Rural electrification programme                          39.1         38.6          13.3            …          11.2          16.5             18.7      18.7       18.7
          Net Lending                                                8.0          9.0          9.0           9.0           9.0          9.0              9.0       9.0         0.0
       Social Benefits                                            110.9        124.8        244.4         221.8         287.2         334.6         347.0        353.4      376.0
        Social assistance benefits                                 38.6         37.9        141.2         144.2         204.0         212.1         216.3        216.4      233.6
          Fertiliser payments 2                                    28.4         30.1        121.1         129.7         189.0         196.0         200.6        201.2      217.0
          Maize seed subsidy 2                                     10.2           5.4         17.0          12.3         12.5          12.4             11.5      10.5       11.4
          Social Cash Transfer-Government                            0.0          2.5          3.0           2.3           2.5          3.7              4.2        4.7        5.2
        Pensions and gratuities                                    72.3         86.9        103.3           77.6         83.2         122.5         130.6        137.0      142.4
       Other Expenses                                                6.4          9.5         29.2          29.5         24.6          24.2             27.5      30.6       33.9
""
""
     Acquisition of Non-Financial Assets
     (Development Expenditure)                                    305.1        323.4        354.1         570.8         395.9         550.0         603.8        699.8      788.3
       Foreign (Part I)                                           189.4        210.1        261.6         351.2         201.3         329.5         358.7        385.3      405.8
       Domestic (Part II)                                         115.7        113.2          92.6        219.6         194.6         220.5         245.1        314.5      382.5
""
 Discrepancy                                                         5.3        64.8          -4.8           0.0           0.0          0.0              0.0        0.0        0.0
" Overall Balance (incl. grants and discrepancy)                   -371.3      -494.2       -690.7        -723.8        -798.5      -1,081.1      -1,210.2      -1,404.6   -1,670.8"
 Primary Balance                                                  -147.0      -231.7       -337.6        -424.1        -505.1        -544.2        -538.9       -574.9     -677.6
 Domestic Primary Balance 3                                        -66.9      -148.1       -233.9        -243.2        -395.6        -347.5        -317.8       -323.3     -373.5
""
""
" NET FINANCING (Repayment if negative)                            371.3        494.2        690.7         723.8         800.9       1,081.1       1,210.2      1,404.6    1,670.8"
""
 Net Acquisition of Financial Assets                              137.6         -94.2         68.9            …            0.0          0.0              0.0        0.0        0.0
     Domestic Creditors                                              0.0          0.0           …             …             …               …             …          …          …
       Currency and deposits                                      137.6         -94.2           …             …             …               …             …          …          …
        Deposits Monetary                                         132.1         -83.0           …             …             …               …             …          …          …
        Deposits Commercial banks                                    5.5        -11.3           …             …             …               …             …          …          …
""
" Net Incurrence of Liabilities                                    508.9        400.0        759.6         723.8         800.9       1,081.1       1,210.2      1,404.6    1,670.8"
 Total Financing                                                  508.9        400.0        759.6         723.8         738.7         433.6         397.1        318.8      576.8
     Foreign financing (net)                                       79.7         70.8        119.8         134.8          95.6         -34.1         -23.0         32.2      199.1
       Loans                                                       79.7         70.8        119.8         180.9          95.6         -34.1         -23.0         32.2      199.1
        Programme Borrowing                                          0.0          0.0         51.7           0.0        149.0           0.0              0.0        0.0        0.0
        Project Loans                                              99.6        105.4        110.1         180.9         109.5         196.7         221.2        251.6      304.1
        Other concessional loans                                   11.3           0.1          0.0            …            0.0          0.0              0.0        0.0        0.0
        Non-concessional loans                                       0.0          0.0          0.0            …            0.0          0.0              0.0        0.0        0.0
        Amortisation                                               -31.2        -34.7        -42.0         -46.2       -162.9        -230.7        -244.2       -219.4     -105.0
""
 Domestic financing (net)                                         429.3        329.1        749.3         589.1         643.1         467.6         420.1        286.6      377.7
     Debt Instruments                                             429.3        329.1        749.3             …         643.1         467.6         420.1        286.6      377.7
       Banking system                                             258.5        236.9            …             …             …               …             …          …          …
        Gross borrowing Monetary                                   52.8           9.1           …             …             …               …             …          …          …
        Gross borrowing Commercial banks                          205.8        227.8            …             …             …               …             …          …          …
       Nonbank sector                                             245.8        101.7            …             …             …               …             …          …          …
       Zero coupon promissory notes                                                         109.6             …          35.3           0.0              0.0       0.0         0.0
"       Amortization                                                -75.1         -9.4          0.0            …         -20.6        -196.1        -471.7       -798.6    -1,067.7"
""
""
" Financing Gap                                                                                                           59.8         647.5         813.1       1,085.8    1,094.1"
""
""
 Sources: Malawi Ministry of Finance and IMF staff projections.
 1
"     FY2021/22 covers 1 July 2021 to 31 March 2022, to accommodate the transition to an April - March fiscal year starting from FY2022/23"
 2
     Farm Input Subsidy Program prior to FY20/21
 3
     Domestic primary balance is calculated by subtracting current expenditures (except interest payment) and domestically-financed development expenditures from tax
 and nontax revenues.
""
""
""
""
30       INTERNATIONAL MONETARY FUND
