V1
TOGO
""
""
""
"                           Table 2b. Togo: Central Government Financial Operations, 2015–20"
                                                                          (Percent of GDP)
                                                               2015       2016                      2017                                 2018                 2019          2020
                                                                                     Rev. Budg.     Prog.           Est.         Orig. Budg.    Proj.         Proj.         Proj.
                                                                                                                 (Percent of GDP)
""
Revenue and grants                                                21.8       21.6           25.3       24.7            21.5             25.6       24.5          23.8          23.8
 Total revenue                                                    19.5       18.8           20.0       20.2            18.3             21.7       20.5          19.9          20.0
      Tax revenue                                                 17.3       16.8           18.1       18.3            16.2             19.3       17.5          17.4          17.5
       Tax administration (CI)                                      8.6        9.0            9.8          9.7             8.9          10.8       10.1          10.0          10.0
       Customs administration (CDII)                                8.7        7.8            8.3          8.6             7.3           8.4            7.5           7.4           7.5
      Nontax revenue                                                2.2        1.9            1.9       1.9                2.1           2.4            3.0           2.5           2.5
    Grants                                                          2.3        2.9            5.3       4.6                3.2           3.9            4.0           3.9           3.9
Expenditures and net lending                                      30.7       31.2           27.6       29.5            21.8             28.1       29.0          24.3          24.2
     Of which: Dom. primary expenditures                          22.7       23.2           17.8       19.7            17.5             18.2       19.5          17.0          17.1
    Current expenditures                                          17.7       17.3           16.6       17.8            15.5             17.4       17.4          17.6          17.4
     Primary current spending                                     15.3       14.9           14.5       14.9            13.7             15.0       15.0          15.1          15.1
       Wages and salaries                                           6.9        6.9            6.9       6.8                7.0           6.9            6.9           6.9           6.9
       Goods and services                                           3.6        3.8            3.5       3.6                3.0           3.9            3.9           3.9           3.9
       Transfers and subsidies                                      4.7        4.2            4.1       4.4                3.7           4.3            4.3           4.3           4.3
      Interest                                                      2.4        2.4            2.1       3.0                1.8           2.4            2.4           2.5           2.3
    Public investment                                             12.9       13.9           11.0       11.7                6.3          10.6       10.1               6.7           6.8
      Domestically financed                                         7.3        8.4            3.3          4.8             3.8           3.2            3.0           1.9           2.0
      Foreign financed                                              5.6        5.5            7.7       6.8                2.5           7.5            7.1           4.8           4.8
                  1
    Net Lending                                                     0.1        0.0            0.0          0.0             0.0           0.0            1.4           0.0           0.0
""
Domestic primary balance1                                          -3.2       -4.5            2.3          0.5             0.8           3.5            1.0           2.9           2.9
    Excluding bank recapitalization                                -3.2       -4.5            2.3          0.5             0.8           3.5            2.4           2.9           2.9
"Overall primary balance (commitment basis, incl. grants)1          -6.5       -7.2           -0.2      -1.8                1.5          -0.1        -2.1              2.0           2.0"
    Excluding bank recapitalization                                -6.5       -7.2           -0.2      -1.8                1.5          -0.1        -0.7              2.0           2.0
"Overall balance (commitment basis, incl. grants)1                  -8.9       -9.6           -2.3      -4.8            -0.3             -2.5        -4.5          -0.5          -0.3"
    Excluding bank recapitalization                                -8.9       -9.6           -2.3      -4.8            -0.3             -2.5        -3.1          -0.5          -0.3
"Overall balance (commitment basis, excl. grants)1                 -11.2     -12.4            -7.6      -9.3            -3.5             -6.4        -8.5          -4.4          -4.2"
    Excluding bank recapitalization                               -11.2     -12.4            -7.6      -9.3            -3.5             -6.4        -7.1          -4.4          -4.2
""
"Change in arrears 2,3                                               1.1        0.0           -2.5      -0.9            -1.8             -2.2        -2.2          -1.1              0.0"
"                                                     1,3"
"Overall primary balance (cash basis, incl. grants)                 -5.3       -7.2           -2.7      -2.7            -0.3             -2.2        -4.3              0.9           2.0"
    Excluding bank recapitalization                                -5.3       -7.2           -2.7      -2.7            -0.3             -2.2        -2.9              0.9           2.0
"Overall balance (cash basis, incl. grants)1,3                      -7.7       -9.6           -4.8      -5.7            -2.1             -4.6        -6.7          -1.6          -0.3"
    Excluding bank recapitalization                                -7.7       -9.6           -4.8      -5.7            -2.1             -4.6        -5.3          -1.6          -0.3
"Overall balance (cash basis, excl. grants)1,3                     -10.1     -12.4           -10.1     -10.2            -5.3             -8.6      -10.7           -5.5          -4.2"
    Excluding bank recapitalization                               -10.1     -12.4           -10.1     -10.2            -5.3             -8.6        -9.3          -5.5          -4.2
""
"Financing1,3                                                      15.0       12.2             8.7          8.8             3.8           7.2            9.3           3.6           4.2"
"    Domestic financing (net)1,3                                     9.5        7.0            1.1          1.1             1.0          -0.4            1.6       -1.8          -1.3"
      Banking system                                                6.1       -0.1           -8.8      -5.9            -0.6             -0.6            0.0           0.0           0.0
"      Nonbank financing1,3,4                                        3.5        7.1            9.9          7.0             1.6           0.2            1.6       -1.8          -1.3"
    External financing (net)                                        5.4        5.2            7.5          7.7             2.9           7.6            7.7           5.5           5.5
Financing gap/unidentified financing                               -4.9        0.2            1.5       1.4                1.5           1.4            1.4           1.9           0.0
      IMF-ECF                                                         …          …            1.5       1.4                1.5           1.4            1.4           1.9            …
Memorandum Item:
"    Nominal GDP (CFAF billions)                                2,471.8    2,643.5       2,778.9     2,811.8         2,769.5          2,957.5    2,957.5       3,179.7       3,448.7"
Sources: Togolese authorities and IMF staff estimates and projections.
1
    Reflects projected cost for the recapitalization of the two merged state owned banks.
2
    Arrears accumulations were rolled over in 2016 using 2016 revenues.
3
    2018 figures include an adjustor for arrears payment of CFAF 59.3 billion (2 percent of GDP).
4
    Includes treasury bills and bonds held by commercial banks.
""
""
""
""
24           INTERNATIONAL MONETARY FUND
