V1
CHAD
"Table 2. Chad: Fiscal Operations of the Central Government, 2017-21"
"(In billions of CFAF, unless otherwise indicated)"
2017                    2018                                  2019                                              2020                                            2021
Prel.          Prel.        Sth Rev.       Est.        Sth Rev.      Proj.      5th Rev.      Proj.
"Total revenue and grants                                                                        826                   910                   975               885                 1,230             1,015             1,316              988"
"Revenue                                                                                      620                737                 816             806              1,045            789            1,143            795"
oil’                                                                                            200                335                 359             326                531              331              569             286
Non-oil                                                                                                        420                    403                    457                480                   515                458                 574                508
Tax                                                                                          373                372                421              461                477             438              534             486
Non-tax                                                                                                                                  47                             31                              35                        19                           37                        20                        40                        22
Grants                                                                                                                               206                       173                        159                    79                       185                   226                   172                   193
Budget support                                                                                                       102                       119                         46                       7                          64                     105                     38                      58
Project grants                                                                            103                 53                  113              72                 121              121              135              135
"Expenditure                                                                                                                           871                         818                        978                   924                     1,065                1,095                1,170                1,177"
Current                                                                                                            659                    595                    655                639                   715                751                 776                793
Wages and salaries                                                                          376                  319                  357               360                 368               399               373               417
Civil Service                                                       291            238            247          248           256          286          259          301
Military                                             66          82          110       111         112       113       115       116
Goods and services                                                                               88                    100                    102                 83                    106                 97                 138                111
Transfers and subsidies”                                                           103                109                 131              133                179              191              204             204
Interest                                                                                       92                  67                   65               64                 62                64               61                61
Domestic                                                                                 34                  29                   23               21                  25                27               26               24
External                                                                                    58                  38                  42               43                  37                37               35                37
Of which: Glencore loan (after restructuring)                        51                     30                     30                 31                    26                 27                 24                 26
Investment                                                                                                                                 212                          223                          323                     285                         350                     344                     394                     384
Domestically financed                                                                                  36                       84                       118                  153                    130                  124                  149                  139
Foreign financed*                                                                                          176                     138                     205                  132                    220                 220                 245                  245
"Overall balance (incl. grants, commitment)                                      -46                   92                     -3                -39                  165               -80               146              -189"
"Non-oil primary balance (excl. grants, commitment)*                -183              -211               -251            -249             -268           -353           -290           -363"
Float from previous year”                                                            -80                -12                 -49             -49               -80             -90             -79             -79
Float at end of period”                                                      12              49               80            90              79            79            91             91
Var. of Arrears®                                                                       6                -35               -60            -64              -45            -45            -40            -40
Repayment of other arrears’                                                                           -13                      -54                        0                      0                       -10                  -10                  -40                    0
"Overall balance (incl. grants, cash)                                                -121                 40                  -32              -62                110             -146              77              -217"
"Non-oil primary balance (excl. grants,cash)                         -259           -262            -281         -272           -324         -419         -358         -391"
Financing                                                                                                                  122                      -40                       32                    62                    -110                 -24                  -78                  -97
Domestic financing                                                                45                -73                 22              35               -78             -85             -38             -65
Bank financing                                                                            9                   -81                  123              179                 19                19               -39              -29
Central Bank (BEAC)                                                                                        -11                        -74                        123                   179                       19                      19                    -39                   -29
Deposits                                                                                                                       -24                        -129                         49                      105                          -2                        -3                       -32                     -22
Advances (net)                                                          -14               0                 0               0                0               0               0               0
IMF                                                                                       27                  55                   74               74                 21                21                -7                -7
Commercial banks (deposits)                                    20             -6              ie)             ie)              ie)             0             0             0
"Other financing (net), of which:                                               -37                  -2                 -101            -143               -97             -104               1                -36"
Amortization                                                                                     -71                    -169                   -109                -74                   -142               -144                -70                 -28
Commercial banks loans                                                       117                    59                      (6)                   0                     9                  9                  10                 10
Non-bank loans (gross) ®                                                        2                      0                     32                  0                    35                 35                 39                 39
Treasury bills (net)                                                                                   -6                        108                       -25                   -70                      -64                     17                    -13                   -45
Treasury Bonds (gross)                                                     27                   0                    0                 (s)                  97                0                47                0
Bank Recapitalization                                               0                 0                 0              0                -3              -3             -2             -2
Stabilization Funds                                                                       0                       0                        0                    0                    -10                  (¢)                  -10                -10
Privatization and other exceptional receipts                     73              9               0             0              0             0             0             0
Foreign financing                                                                   77                 33                 11              27               -32              -7              -39             -33
Loans (net)                                                                                 30                  10                  -17               -1                  -58              -34              -66              -59
Disbursements                                                                                  159                   111                     73                  72                    73                  70                  72                  72
Budget borrowings                                                                                        88                          26                           13                      13                          9                         6                         0                         0
Project loans                                                             71                85                60             59               64             64             72             72
Amortization                                                                         -128               -101                 -90              -73               -131            -104            -137            -131
Of which: Glencore loan (after restructuring)                     -59                 -40                 -27              -24                -62              -35              -62              -55
Debt relief/rescheduling (HIPC)                                     30              27              28            28             26            26            26            26
External arrears”                                                                         17                  3                    0                 0                   0                 0                 0                 0
Prospective RCF                                                          ve              oe               ve            ve              oe            68            ve            0
