V1
                                                                                                                    MALI
""
""
""
"      Table 6. Mali: Central Government Consolidated Financial Operations, 2018"
                                                  (Billions of CFA franc)
""
                                                                       Mar             Jun    Sept           Dec.
""
                                                                      Prop.          Prop.    Prop.       Prop.
                                                                      Prog.          Prog.    Prog.       Prog.
""
Revenue and grants                                                    414.1          910.9   1358.8      1948.9
    Total revenue                                                     393.8          856.8    350.1      1834.4
      Budgetary revenue                                               363.0          795.2   1172.9      1711.2
        Tax revenue                                                   345.0          741.1   1095.4      1498.9
          Direct taxes                                                 98.8          239.0    342.4       459.6
Indirect taxes                                                        246.2          502.1    753.0      1039.3
            VAT                                                       136.7          275.2    411.9       562.3
            Excises on petroleum products                              22.8           47.6     71.9          95.2
            Import duties                                              47.1           97.5    145.2       192.3
            Other indirect taxes                                       57.3          115.6    174.9       257.3
            Tax refund                                                 -17.7         -33.8    -50.8        -67.8
        Nontax revenue                                                 18.0           54.1     77.5       212.3
      Special funds and annexed budgets                                30.8           61.6     92.4       123.2
    Grants                                                             20.2           54.0     93.5       114.6
      Projects                                                         20.2           40.1     59.9          81.0
      Budgetary support                                                     0.0       13.9     33.6          33.6
        General                                                             0.0        6.6     26.2          26.2
        Sectoral                                                            0.0        7.4      7.4           7.4
""
""
Total expenditure and net lending (payment orders basis)              541.9         1147.4   1691.5      2261.3
      Budgetary expenditure                                           514.6         1091.0   1607.8      2148.5
        Current expenditure                                           309.4          656.0    950.9      1251.0
          Wages and salaries                                          129.1          258.2    387.3       516.4
          Goods and services                                           80.9          161.8    242.7       323.5
          Transfers and subsidies                                      82.9          187.0    256.0       332.7
          Interest                                                     16.5           49.1     65.0          78.3
            Of which: domestic                                              8.6       33.7     42.0          47.3
        Capital expenditure                                           205.2          435.0    656.8       897.5
         Externally financed                                           45.2          115.0    176.7       257.4
         Domestically financed                                        160.0          320.0    480.1       640.1
      Special funds and annexed budgets                                30.8           61.6     92.4       123.2
      Net lending                                                       -3.5          -5.2     -8.7        -10.4
""
""
Overall fiscal balance (excl. grants)                                -148.1         -290.5   -426.2      -426.9
Overall fiscal balance (incl. grants)                                -127.8         -236.5   -332.7      -312.4
Variation of arrears                                                    -2.5          -5.0    -12.8        -12.8
Adjustment to cash basis                                               -10.5         -63.8    -63.8        -11.9
"Overall balance (cash basis, incl. grants)                           -140.8         -305.3   -409.2      -337.0"
Financing                                                             140.9          305.0    409.1       337.0
External financing (net)                                                    9.3       38.1     86.4       133.3
    Loans                                                              25.0           72.4    137.2       206.0
          Project loans                                                25.0           67.5    109.4       169.0
          Of which: non-concessional                                        0.0        0.0      0.0           0.0
        Budgetary loans                                                     0.0        4.9     27.8          37.0
      Amortization                                                     -17.1         -47.8    -65.7        -91.7
      Debt relief                                                           1.4       13.5     14.9          19.0
      Variation of External Arrears (Principal)                             0.0        0.0      0.0           0.0
""
Domestic financing (net)                                              131.6          266.9    322.7       203.7
 Banking system                                                       146.1          298.6    360.0       374.2
    Central bank                                                       23.4           18.3     40.4          66.3
        Commercial banks                                              122.7          280.3    319.6       308.0
         Adjustment 1                                                       0.0        0.0      0.0           0.0
    Privatization receipts                                              -3.8          -7.5     -7.5        -15.0
    Non-bank financing                                                 -10.7         -24.2    -29.8      -155.5
Financing gap                                                               0.0        0.3      0.1           0.0
""
""
Memorandum items
    Basic fiscal balance 2                                           -101.5         -155.5   -208.3      -124.3
Government bank and market financing                                  201.8          388.8    467.4       431.4
""
Sources: Ministry of Finance; and IMF staff estimates and projections.
1
 Adjustment to account for the difference between the definitions of the government in the fiscal table and the
monetary situation.
2
" Total revenue, plus general budgetary grants, plus revenue from HIPC debt relief, minus total expenditure"
"and net lending, excluding externally financed capital spending."
""
""
""
""
                                                                                  INTERNATIONAL MONETARY FUND        45
