V1
SENEGAL
""
""
""
"                        Table 4. Senegal: Government and FSE Financial Operations, 2015–231"
                                                                            (Billions of CFAF)
                                                                              2015          2016        2017          2018      2019        2020        2021        2022        2023        2024       2025       2026
""
                                                                                     Act.                 Prel.                              Projections
""
                                                                                                                        (CFAF billions)
""
" Revenue                                                                         2,026       2,335        2,377      2,494        2,767      3,103         3,383     3,945       4,453       4,866      5,393      5,973"
"  Taxes                                                                          1,597       1,789        1,876      2,016        2,268      2,557         2,792     3,213       3,584       3,868      4,220      4,583"
"    Taxes on income, profits, and capital gains                                    435         513          559        579          685        760           824       937       1,046       1,129      1,235      1,341"
    Taxes on payroll and workforce                                                  20          17           14         10           32         32            35        39          44          47         52         56
     Taxes on property                                                              31          30           34         52           44         48            52        57          64          69         75         81
"     Taxes on goods and services                                                   855         960          904        980        1,109      1,273         1,400     1,630       1,818       1,962      2,147      2,332"
     Taxes on international trade and transactions                                 228         235          266        298          304        334           362       412         460         496        543        589
     Other taxes                                                                    27          34           99         97           94        111           121       138         153         166        168        183
   Grants                                                                          232         244          264        274          291        318           343       374         407         439        475        514
     Budget                                                                         31          38           49         37           51         56            61        69          77          83         91         99
     Projects                                                                      201         206          215        237          240        261           282       305         329         356        384        415
   Other revenue                                                                   197         302          236        203          208        228           247       357         463         559        698        877
" Expenditure                                                                     2,413       2,704        2,739      2,946        3,197      3,573         3,907     4,525       5,113       5,569      6,108      6,727"
"   Expense                                                                       1,504       1,613        1,679      1,923        1,973      2,170         2,356     2,691       3,053       3,248      3,569      3,877"
"     Compensation of employees                                                     526         572          600        680          741        828           898     1,022       1,140       1,230      1,346      1,462"
     Use of goods and services                                                     384         322          326        314          334        398           449       511         570         615        673        731
     Interest                                                                      160         188          234        266          283        295           316       345         390         366        409        437
       Foreign                                                                     126         140          178        227          249        267           280       308         347         315        349        374
       Domestic                                                                     34          48           56         39           34         28            36        37          44          52         59         63
     Subsidies                                                                      51          52           43        129          122         79            73        85          92          72         79         86
        of which: subsidies to SENELEC financed by FSE                                0            20          0        18             12          0           0           0           0           0          0          0
        of which: SENELEC from budget                                                 0            0           0        52             50          33          25          25          25          0          0          0
      of which: Fuel subsidies                                                       0          14            0         14           16          0             0         0           0           0          0          0
    Grants (current excl. FSE)                                                     216         284          190        248          261        286           311       337         375         405        443        482
    Social benefits                                                                 60           6            7          7           15         31            50        97         113         133        153        173
    Other expense                                                                  108         189          280…       279          218        254           259       295         373         426        466        506
"  Net acquisition of nonfinancial assets                                           909       1,091        1,059      1,023        1,224      1,403         1,551     1,834       2,060       2,321      2,538      2,851"
 Net lending/borrowing (Overall balance)                                          -387        -369         -362       -453         -430       -471          -524      -581        -660        -703       -714       -754
""
 Transactions in financial assets and liabilities (Financing)                     -387        -369        -362        -453         -430       -471         -524       -581        -660        -406       -400       -382
     Net acquisition of financial assets                                          -100         -58          24         236         -236          0            0          0           0           0          0          0
      Domestic                                                                    -145         -58          24         236         -236          0            0          0           0           0          0          0
        Currency and deposits                                                     -128         -89          24         236         -236          0            0          0           0           0          0          0
        Debt securities                                                             13           0           0           0            0          0            0          0           0           0          0          0
        Loans                                                                        0           0           0           0            0          0            0          0           0           0          0          0
        Other accounts receivable                                                  -29          31           0           0            0          0            0          0           0           0          0          0
      Foreign                                                                       45           0           0           0            0          0            0          0           0           0          0          0
     Net incurrence of liabilities                                                 287         311         386         689          194        471          524        581         660         406        400        382
      Domestic                                                                     -56        -162        -334        -361         -131         80           50        101         119         118         58         69
        IMF and SDRs                                                               -19         -21         -20         -31          -22         -4            0          0           0           0          0          0
        Debt securities (net)                                                       33         125         -88        -183          -61        134           89        126         144         143         83         94
        Loans                                                                      -14         -50         -55         -48          -49        -50          -38        -25         -25         -25        -25        -25
      Other accounts payable2                                                      -56        -216        -172         -98            0          0            0          0           0           0          0          0
"     Foreign                                                                       343         473         720       1,050          326        390          474        480         541         288        342        313"
"      Debt securities (net)                                                        161         312         461       1,073          -77        115          361        200         235         208          0        -41"
         T-bills and bonds issued in WAEMU                                         161         312        -181        -112          -77        115          230        200         235         298        315        372
"         Eurobond                                                                    0           0         641       1,185            0          0          131          0           0         208          0        -41"
      Loans                                                                        181         162         259         -23          402        276          112        280         306          80        342        353
         Program loans                                                              68          73          80          63           68         74           73         73          73          73         71         70
         Project loans                                                             211         220         241         280          551        309          324        340         357         375        394        392
         Nonconcessional loans                                                       0          15          88           0            0         60           60         60          60          60         80         87
         Other                                                                     -98        -147        -150        -366         -216       -167         -345       -194        -184        -429       -203       -196
      Other accounts payable                                                         0           0           0           0            0          0            0          0           0           0          0          0
 Errors and omisions                                                                 0           0           0           0            0          0            0          0           0        -298       -315       -372
 Memorandum items:
     Total Financing (deficit +nonbudgetary additional borrowing)                    …         585          534        551          430        471         524         581         660         703        714        754
"     Net lending /borrowing (excluding grants)                                     522         722          697        571          794        932       1,027       1,254       1,400       1,618      1,824      2,097"
"     Nominal GDP                                                                10,509      11,252       12,265     13,340       14,524     15,924      17,268      19,653      21,921      23,660     25,893     28,118"
 Sources: Ministry of Finance; and IMF staff estimates and projections.
 1
     Government Finance Statistics Manual (http://www.imf.org/external/pubs/ft/gfs/manual/).
 2
"  Starting in 2016, Treasury operations to finance (i) Post office operations (Poste and Poste Finance), (ii) pensions (Fonds National de"
" Retraites), and (iii) reduction of stock of comptes de depots."
""
""
""
""
34      INTERNATIONAL MONETARY FUND
