V1
                                                                                                                                                                                                     NEPAL
""
""
""
"                             Table 4. Nepal: Central Government Operations, 2016/17–2024/251"
                                                                       2016/17 2017/18               2018/19                       2019/20             2020/21 2021/22 2022/23            2023/24    2024/25
                                                                                                      Rev.
                                                                                           Budget                Proj.        Budget       Proj.                            Projections
                                                                                                     Budget
""
                                                                                                                         (In billions of Nepalese rupees)
"Total revenue and grants                                                   645      766     1,004        907         901         1,170       1,006       1,132     1,254       1,381        1,533      1,707"
" Total revenue                                                             613      727       946        860         860         1,112         959       1,068     1,183       1,304        1,449      1,614"
"   Tax revenue                                                             554      640       838        777         759         1,009         851         951     1,052       1,157        1,280      1,432"
   Non-tax revenue                                                          59       87       107         83         101           103         108         118       132         147          169        182
 Grants                                                                     32       39        59         47          42            58          47          64        70          77           84         93
"Expenditure                                                                727      968     1,274      1,158       1,059         1,496       1,182       1,322     1,456       1,604        1,765      1,956"
" Recurrent expenditure                                                     519      697       960        885         818         1,088         898       1,004     1,111       1,226        1,363      1,522"
  Of which : Interest payments                                              10       16        26        26           21            27          23           30      36           44          53         62
             Salaries and allowances                                       119      112       117       117          100           145         116          130     145          156         173        193
             Grants & subsidies                                            244      198       171       168          121           178         132          144     148          160         177        197
             Fiscal transfer                                                 …      212       328       270          322           334         327          366     408          454         504        562
              Revenue sharing 2/                                             …        …       114       102           97           131         124          139     154          169         187        207
 Capital expenditure                                                       209      271       314       273          242           408         284          318     345          378         402        435
Operating balance                                                          126       69        45         21             84         82         108          128     143          155         170        185
Net lending/borrowing                                                      -83     -202       -269      -251        -158          -326        -176       -190      -202         -223         -232       -249
Statistical discrepancy                                                    -35      -92         0        -22             0             0           0          0        0           0            0          0
""
""
Net financial transactions                                                  48      109       269       230          158           326         176          190     202          223         232        249
 Net acquisition of financial assets                                        37      -22        97        94           59            99          62           39      43           48          53         59
  Foreign                                                                    3        4         0         0            0             0           0            0       0            0           0          0
  Domestic (net)                                                            34      -26        97        94           58            99          62           39      43           48          53         59
     Sale of equity                                                         17       45        58        56           42            63          43           26      29           32          36         40
    Lending minus repayment                                                 26       19        39        37           17            36          19           12      14           15          17         19
    Change in cash/deposit                                                  -9      -89         0
                                                                                              366       3 0            0             0
                                                                                                                                     5           0            0       0            0           0          0
 Net incurrence of liabilities                                              85       87       366       324           217        425        238         229         245          271         285        309
  Foreign                                                                   35       74       229       187            71        271         93          81          80           88          87         88
