V1
INDONESIA
"Table 5. Indonesia: Summary of Central Government Operations, 2018-23"
(In trillions of rupiah)
2018                   2019                   2020               2021                2022               2023
Proj.             Proj.             Proj.
"Revenues and grants                                                                                1,942                1,957                1,648            2,003            2,103            2,315"
"Of which: tax revenues                                                          1,521              1,545             1,285          1,547          1,716          1,926"
Oil and gas revenues                                                                                          208                      180                      102                  151                  159                  151
Tax revenues                                                                         65                 59                 33              53              70              67
Nontax revenues                                                                                 143                   120                    69                 98                 89                 84
"Non-oil and gas revenues                                                     1,720            1,771             1,527          1,848          1,943         2,161"
"Tax revenues                                                                     1,457             1,486             1,252          1,494          1,645          1,860"
Income tax                                                                                        687                  711                   561               644               676               745
VAT                                                                                                 538                  533                  450              551               614              747
Other                                                                                              232                  242                  241               299              355              367
Nontax revenues                                                                      264                285                275             354             298             301
Grants                                                                                                                            14                           7                         19                       5                       1                       oS
"Expenditure and net lending                                                                       2,202                 2,310                 2,595             2,/87             2,836             2,912"
"Current expenditure                                                                                       1,176                  1,205                  1,440              1,586              1,742              1,666"
Personnel                                                                                          347                  376                  381               388              390              408
Subsidies                                                                                                               217                      202                      196                  243                  243                  207
Of which : energy subsidies                                                                         154                      137                      109                  140                  168                  140
Fuel                                                                                                                      97                        84                        48                    62                    23                     15
Electricity                                                                                                           57                         53                         61                     79                  145                  125
Interest                                                                                              258                  276                  314              343              485              501
Other                                                                                                                       354                      352                      549                  612                  624                  550
Development expenditure                                                                           269                    303                    393                430                413                438
Capital spending                                                                               185                  190                  191               256              284              321
Social assistance spending 1/                                                                       84                     113                     203                 174                 129                 117
Transfers to local governments                                                          758                  802                  763              771               681               809
Of which: transfers for infrastructure 2/                                      248                268                284             268             209             255
Overall balance                                                              -260            -353            -948         -784         -733         -597
Financing                                                                                                260                  353                  948              784              733              597
"Net issuance of government securities                                               358               1,142               1,133              832              637              663"
Program and project loans (net)                                             63              -34               50            63              5             58
SOE recapitalization and land acquisition                                  -66               -65               -16            -65            -64            -63
Other                                                                                                                           -96                    -690                    -219                  -47                  155                  -61
Sources: Data provided by the Indonesian authorities; and IMF staff estimates and projections.
1/ Some social assistance spending was reclassified to other expenditure in 2016.
"2/ Special purpose transfers (DAK) for physical infrastructure and Village Fund transfers. Starting 2017, 25 percent of general transfer and"
revenue sharing is included.
INTERNATIONAL MONETARY FUND 39
