V1
CAMEROON
""
""
""
"                                 Table 2b. Cameroon: Central Government Operations, 2019–26"
                                                      (In percent of GDP)
                                                                                   2019          2020               2021                   2022          2023         2024         2025          2026
                                                                                                  Est.         Budget      Proj.            Proj.        Proj.         Proj.        Proj.        Proj.
""
"     Total revenue and grants                                                          15,7         13,7          13,9        14,6         15,5          15,8         16,4          16,9         17,5"
"       Total revenue                                                                   15,1         13,6          13,5        14,3         15,1          15,5         16,0          16,6         17,2"
"          Oil sector revenue                                                            2,6          1,9           1,6         2,2          2,1           1,9          1,7           1,6          1,4"
"          Non-oil sector revenue                                                       12,5         11,7          11,9        12,1         13,0          13,6         14,3          15,0         15,8"
"             Direct taxes                                                               3,2          3,2                       2,6          2,9           3,2          3,5           3,9          4,2"
"             Special tax on petroleum products                                          0,6          0,6                       0,6          0,6           0,6          0,6           0,6          0,6"
"             Other taxes on goods and services                                          6,3          5,6            7,7        6,0          6,5           6,8          7,0           7,3          7,5"
"             Taxes on international trade                                               1,7          1,5            3,3        2,1          2,2           2,1          2,1           2,3          2,5"
"             Non-tax revenue                                                            0,7          0,8            0,9        0,8          0,8           0,9          1,0           1,0          1,0"
"       Total grants                                                                     0,6          0,2            0,4        0,3          0,4           0,4          0,4           0,3          0,3"
"          Projects                                                                      0,2          0,1            0,1        0,1          0,1           0,1          0,1           0,1          0,1"
"          Other                                                                         0,4          0,1            0,3        0,1          0,3           0,3          0,2           0,2          0,2"
"     Total expenditure                                                                 19,0         17,0          16,8        17,9         18,0          17,7         18,0          17,9         18,6"
"       Current expenditure                                                             11,8         11,0          10,6        11,4         11,0          11,0         11,1          11,1         11,2"
"          Wages and salaries                                                            4,4          4,4            4,4         4,4          4,4           4,4          4,4          4,3          4,3"
"          Goods and services                                                            3,1          3,2            2,9         3,2          3,1           3,1          3,2          3,3          3,3"
"          Subsidies and transfers                                                       3,2          2,5            2,2         2,6          2,7           2,7          2,8          2,8          2,9"
"          Interest                                                                      1,0          0,9            1,1         1,2          0,9           0,7          0,7          0,7          0,7"
"             External                                                                   0,8          0,6            0,8         0,9          0,6           0,5          0,5          0,5          0,5"
"             Domestic                                                                   0,2          0,3            0,3         0,3          0,3           0,2          0,2          0,2          0,2"
"       Capital expenditure                                                              7,0          5,1            5,6         5,6          6,1           6,3          6,6          6,8          7,4"
"          Domestically financed investment                                              2,7          2,7            2,4         2,4          2,8           3,1          3,3          3,5          4,1"
"          Foreign-financed investment                                                   4,1          2,2            3,0         3,0          3,1           3,1          3,1          3,2          3,2"
"          Rehabilitation and participation                                              0,2          0,1            0,1         0,1          0,1           0,1          0,1          0,1          0,1"
"       Net lending                                                                      0,2          0,2           -0,1        -0,1         -0,1          -0,1         -0,1          0,0          0,0"
"       COVID-19-related spending                                                        0,0          0,7            0,4         0,5          0,3           0,0          0,0          0,0          0,0"
