V1
                                                                                                                                                              CEMAC
""
""
""
"                                                   Table 2. CEMAC: National Accounts, 2016–25"
""
"                                                           2016        2017    2018    2019       ""2020""      2020       ""2021""    2021    2022    2023    2024    2025"
""
                                                                                                        1                      1
                                                             Est.       Est.    Est.     Est.   CR 21/21        Est.   CR 21/21    Proj.   Proj.   Proj.   Proj.   Proj.
""
"                                                                                       (Annual change, in percent)"
Real GDP
Cameroon                                                     4.6         3.5     4.1     3.7         -2.8      -1.5          3.4    3.6     4.6     4.9     5.3     5.4
Central African Republic                                     4.7         4.5     3.8     3.0          0.0       1.0          3.5   -1.0     4.0     5.0     5.0     5.0
Chad                                                        -5.6        -2.4     2.3     3.0         -0.9      -0.9          1.4    1.4     2.3     2.6     4.3     4.4
"Congo, Republic of                                         -10.7        -4.4    -6.4    -0.6         -6.8      -7.8          1.2    0.2     1.0     5.2     2.0     2.7"
Equatorial Guinea                                           -8.8        -5.7    -6.2    -6.0         -4.6      -4.9          3.1    4.1    -5.6    -1.5    -1.0    -2.8
Gabon                                                        2.1         0.5     0.8     3.9         -1.7      -1.8          1.8    1.5     3.9     3.1     3.3     3.5
CEMAC                                                       -1.6         0.5     0.8     1.9         -3.0      -2.6          2.7    2.6     2.6     3.7     3.7     3.8
""
Nominal GDP
Cameroon                                                     5.8        5.1     5.7      6.3         -1.5       0.4          5.9    5.7     6.6     7.0     7.2     7.6
Central African Republic                                     7.9       11.3     5.2      5.4          1.9       2.8          6.1    1.5     6.7     7.6     7.6     7.6
Chad                                                        -6.6       -3.2     4.7      4.6         -3.8      -2.9          4.8    9.4     3.7     4.5     6.4     6.8
"Congo, Republic of                                         -14.3        7.2    15.3     -1.2        -19.6     -20.3          4.7   13.1     0.8     6.4     3.2     4.5"
Equatorial Guinea                                          -14.5        6.4     2.7     -8.0        -14.4     -13.8          8.4   16.9    -4.9     0.6     2.3     1.3
Gabon                                                       -2.3        4.3     8.1      5.5        -11.7     -10.8          3.2    8.5     4.4     2.8     3.6     4.8
CEMAC                                                       -3.3        4.5     6.8      2.9         -7.6      -6.5          5.4    8.6     3.8     5.2     5.5     6.0
""
Real non-oil GDP
Cameroon                                                     5.3         5.0     4.4     3.5         -2.8      -1.8          3.5    3.8     4.8     5.2     5.5     5.6
Central African Republic                                     4.7         4.5     3.8     3.0          0.0       1.0          3.5   -1.0     4.0     5.0     5.0     5.0
Chad                                                        -6.0        -0.5     0.3     2.0         -1.6      -1.6          1.0    0.7     2.8     3.3     3.8     3.9
"Congo, Republic of                                         -11.3        -8.6   -10.1    -1.7         -8.0      -8.0         -1.5   -1.5     1.5     2.0     2.5     3.5"
Equatorial Guinea                                           -4.7         0.8    -2.7    -6.0         -7.8      -7.0         10.3   10.2    -2.0     0.4     0.7    -0.3
Gabon                                                        3.3         2.5     1.5     3.3         -1.5      -1.7          2.4    2.6     3.0     3.8     4.0     4.1
CEMAC                                                        0.0         1.8     1.1     1.7         -3.3      -2.8          3.2    3.3     3.3     4.0     4.4     4.5
""
Consumer price inflation (period average)
