V1
REPUBLIC OF MADAGASCAR
"Table 2. Madagascar: National Accounts, 2016-2025"
2016       2017          2018                2019              2020     2021     2022     2023     2024     2025
"Actuals — Prel. Est. EBS 19/73’ Prel. Est. EBS 19/73""         Proj.                                          Projections"
(Percent change)
Real supply side growth
Primary sector                                                        13              13              48           3.7              2.5           28              3.5           3.5           3.5           3.1           3.2           3.2
Agriculture                                                             0.9              0.7              9.2           TA              3.3           3.2              4.0           4.0           4.0           3.5           3.5           3.5
"Cattle and fishing                                                      2.5               24               19          “4,5               2.0            2.0               2.5            2.5            2.5            2.5            2.5            2.5"
Forestry                                                                                                        1.0                       2.8                     -0.9                -0.9                       1.0                  1.0                       1.0                  1.0                  1.0                  1.0                  1.0                  1.0
Secondary sector                                                   48              5.8              5.5           8.1              7.1           7.3              TA           7.6           78           8.0          8.0           77
Food and drink                                                   44              3.5              6.4          24              5.9          4.6              5.3           6.1           6.4          6.4           6.4           6.1
Manufacturing                                                                               7.6                    9.5                                          3.4                                          7.6                  10.5              11.5              11.7              11.7              11.7              11.3
Energy                                                                                                     7.1                     -7.2                      84              20.0                   11.5                 9.6                      97                 9.8               10.4              12.8               12.8               12.5
Extractive industry                                                   3.6             10.0               5.4           9.8              6.5          10.2              94           9.1            9.1            9.2           9.2           8.9
"Other                                                                                                          4,2                              43"
Tertiary sector                                                       4.6              5.1              5.4          2.1              5.8          47              5.1           5.4           5.9           5.9           5.9           5.8
Transportation                                                                                           -2.4                     21.5                        5.8                 -1.7                        7.6                  48                        49                  49                   77                   77                   77                   77
Services                                                                 9.6              2.8              6.6          -0.4               5.8           2.8              3.0           3.7           3.9           3.9           3.9           3.9
Trade                                                                     3.2             -0.6              45           2.9              3.0           27              2.0           2.1            2.3           2.3           2.3           2.3
"Banks, Insurance                                        7.6          14.6                      -0.4                      4.2           43         5.2         5.3         5.3         5.3         5.3"
Public administration                                                 -1.1                2.2                1.1           -2.1                1.1             1.0                1.0            1.0            1.0            1.0            1.0            1.0
Indirect taxes                                                                                                   10.2                       4.1                        5.4               13.5                       5.7                  5.7                       7.2                  6.5                  5.6                  5.5                  5.5                  5.4
Real GDP at market prices                                          4.0             3.9             5.2          4.6             5.2          48             5.2          5.4          5.6          5.6          5.6          5.5
Nominal demand side composition                                                                                             (Percent of GDP)
"Resource balance                                                  -1.9            -3.3            -3.9         -3.4            -6.2         -3.6            -4.7         -4,.2         “4.5         -4.9         -5.1         -5.2"
"Imports of goods and nonfactor services                    30.2           34,2           40.0        34.9           40.9         33.5           33.9        34.4        34.4        34.1         33.9         33.7"
Exports of goods and nonfactor services                   28.3           30.9           36.0        31.5           34.7        29.9           29.2        30.2        29.9        29.1         28.8        28.5
Current account balance (including grants) = (S-!)           0.5            -0.4             0.8          0.7            -1.9         -0.1            -1.5         -1.5         -1.8         -2.1         -2.4         -2.4
Consumption                                                              86.3             87.7             83.5          85.5             83.8         86.2             84.3          82.8         82.4         82.6         83.0         83.2
Government                                     14.8        16.1         9.8      14.3         94      14.4        13.7      13.8      14.1      14.5      14.7      14.8
Private                                                                                                                   715                     71.6                     737                71.2                     T44                71.8                     70.6                69.0                68.3                68.1                68.2                68.4
Investment (I)                                                              19.0             18.1             20.4          18.8             22.4          19.1             22.0         23.0         23.7         23.9         23.7         23.4
Government                                                              44              47               5.7           5.0              8.3           5.0              7.6           8.3           8.5           8.4           8.0           7.6
Private                                                                                                                14.6                     13.4                     14.8                13.9                     14.2                14.0                     144                14.7                15.2                15.4                15.7                15.8
"of which: foreign direct investment                                  3.8                 27                 4,1             2.6                 3.2             2.6                 27             27             2.8             2.8             2.8             2.8"
National savings (S)                                                                16.8                15.4               21.2           20.3               20.9            19.0               20.5           21.5           21.9           21.8           21.3            21.0
"Government                                                                                                        2.6                        19                        4,1                   2.9                        6.0                   28                        41                   3.4                   3.3                   2.9                   3.0                   3.3"
Private                                          14.3        13.4        17.1      17.5        14.9      16.2        16.4      18.1      18.6      18.9      18.3      17.7
Memoranda items:                                                                                                                                          (Billions of Ariary)
"Nominal GDP (at market prices)                             37,638        41,059        40,318 46,189        45,247 51,229        57,786 64860 72,335 80552 89657 99,675"
Sources: Malagasy authorities; and IMF staff estimates and projections.
"* For EBS 19/73, non rebased GDP was still in use."
INTERNATIONAL MONETARY FUND 33
