V1
                                                                                                                                                                                       RWANDA
""
""
""
"Table 2a. Rwanda: Budgetary Central Government Flows, GFSM 2014 Presentation,"
                               FY19/20–25/261
                                                                    (billions of Rwandan Francs)
""
                                                          2019/20           2020/21              2021/22               2022/23                2023/24              2024/25           2025/26
                                                                          3rd                   3rd                  3rd                    3rd                   3rd
                                                            Prel.                  Proj.                 Proj.                 Proj.                 Proj.                 Proj.      Proj.
                                                                        Review                Review               Review                 Review                Review
"Revenue                                                     2,193        2,423      2,525      2,607     2,688      2,963       3,081      3,336      3,533      3,807     4,021      4,555"
"Taxes                                                        1,476        1,560      1,594      1,687     1,760      1,957       2,066      2,249      2,406      2,588     2,744      3,179"
"  Taxes on income, profits, and capital gains                  641          655        678        679       740        816         843        925        966      1,045     1,099      1,256"
  Taxes on property                                               5            4        22          --       28          --         31          --        37          --       39         44
"  Taxes on goods and services                                  712          777        769        870       848        985       1,022      1,145      1,172      1,330     1,327      1,493"
  Taxes on international trade and transactions                117          124        125        137       145        156         171        179        231        213       279        387
Grants                                                         427          592        572        604       612        696         677        734        748        802       847        883
    Current                                                    168          300        276        327       274        411         385        432        435        455       481        498
    Capital                                                    260          292        295        277       338        285         292        301        313        348       366        386
     of which Vaccine                                            --           --         4         --        59         --           --         --         --         --        --         --
Other revenue                                                  290          271        360        316       315        309         337        354        380        417       430        492
    of which PKO                                               142          143        214        145       177          --        184          --       198          --      206        213
    of which CCRT                                               10           16         28          --        9          --          --         --         --         --        --         --
"Expense (Current exp.)                                      1,901        1,936      2,054      2,231     2,267      2,460       2,496      2,678      2,612      2,782     2,900      3,184"
  Compensation of employees                                   266          304        302        236       354        256         425        283        474        305       542        609
     of which: Covid-19 spending                                --           --        28          --        --         --          --         --         --         --        --         --
  Use of goods and services                                   572          470        621        694       532        736         620        850        622        797       713        813
     of which: Covid-19 spending                               65           60         29         11       119          --          --         --         --         --        --         --
        of which: Covid-19 Vaccine                              --           --        17          --      109          --          --         --         --         --        --         --
     of which: PKO                                            188          136        214        145       177          --        188          --       198          --      206        213
  Interest                                                    139          197        163        206       257        224         299        203        322        213       332        339
      To nonresidents                                          61           60         60         67        94         77         106         53        105         62       117        130
      To residents other than general government               78          137        104        139       162        147         193        150        217        151       215        209
  Subsidies                                                   252          269        264        259       357        339         290        367        300        396       312        321
     of which: Covid-19 spending (Public Transport)            12            --        12          --        --         --          --         --         --         --        --         --
  Grants                                                      500          502        528        623       615        665         680        704        691        764       767        830
    To EBUs                                                    31           42         56         52        64         55          71         58         78         63        85         94
      Current                                                  17           31         33         42        42         43          44         45         45         49        49         54
       of which compensation of employees                      16           26         26         32        36         34          34         36         34         39        35         35
      Capital                                                  14           10         22         10        22         12          27         13         32         14        37         40
    To Local Government                                       469          460        472        571       551        610         610        646        614        701       682        736
      Current                                                 279          298        300        420       400        431         443        446        446        480       495        534
       of which compensation of employees                     171          229        233        284       291        304         304        322        322        349       349        352
      Capital                                                 128          162        173        151       151        179         167        201        168        221       187        202
       of which: Covid-19 spending                              --          11          --          5        --          5           5         --         --         --        --         --
  Social benefits                                              27           33         46         36        46         41          52         46         60         52        67         76
     of which: Covid-19 spending                                 5           --         --         --        --         --           5         --         --         --        --         --
  Other expense                                               144          161        130        177       107        199         130        225        143        254       167        196
""
Net Operating Balance (Current balance)
"  including grants                                            292          487        470       377        421        503         585        658        922      1,025     1,122      1,371"
  excluding grants                                            -136         -105       -101      -227       -191       -194         -93        -75       174        223       274        488
""
"Net acquisition of nonfin. assets (Capital exp.)             1,033        1,143       1,271     1,135     1,195      1,262       1,370      1,390      1,512      1,540     1,761      1,909"
  Foreign financed                                             548          601         708       631       574        662         660        719        711        801       865        915
   of which: Covid-19 spending                                   0            --         90         --       30          --          --         --         --         --        --         --
  Domestically financed                                        485          541         563       505       621        600         710        671        801        739       897        994
   of which: Covid-19 spending                                  27           40         121       127       100        100         100          --         --         --        --         --
""
Net lending (+) / borrowing (-) (Overall balance)
