V1
ISRAEL
"Table 4. Israel: Summary of Central Government Operations, 2017-27   "
"(In percent of GDP, unless otherwise indicated)"
2017        2018      2019      2020      2071       2027      2025      2024      2025       2076 32027
Projections
"Revenue and grants                                                           26.3          25,2        245        227        26.6        24,4        242        24.1         24,1         24,1        24,1"
On income and profits                                                     13.1           12.1         11.9        11.9        13.9        12.5        12.3        12.2        12.2         12.2       12.2
VAT and customs                                                            10.3          10.3        10.0          3.3        10.4          5.6          9.6          9.6          9.6          9.6         5.6
Fees                                                                       0.5          0.5        0.5        05         04         04         04         04         04         04        04
VAT on defense imports                                               0.1           0.2         0.1         01         01         0.1         0.1         0.1         0.1          0.1        01
Interest                                                                   0.1           0.1         0.0        0.0         0.0         0.0         0.0         0.0         0.0         0.0        0.0
Loans from Nil                                                                  1.7            1.8          1.6          0.1           1.3          1.3          1.3          1.3          1.3          1.3         1.3
Grants 2/                                                                         0.0            0.0         0.0          0.0          0.0          0.0          0.0          0.0          0.0          0.0         0.0
Other                                                                     04          0.5        04        03         05         05         0.5         0.5         0.5         0.5        05
"Expenditure 3/                                                                   28.2          28.1        28.2        34.1         31.0        28.0        275        272        27.0        26,9       26.9"
"Administrative Departments                                            4,1           42         42         44         40         4,0         4,0         4,0         3.9         3.9        3.9"
"Social Departments                                                                   12.5            12.6         12.7         15.8          14.5          11.1          10,7          10.6          10.5          10.4        10.4"
Economic Departments                                               23          24        25        3.3         24         29         29         29         28         28        2.8
"Defense Expenditure 2/                                                     5.2            5.0         49          5.1          4.8          4,9          4,9          4,8          438          4,8         43"
Other Expenditures                                                                  03             0.2           02           1.9           1.3           1.3           1.3           1.3           1.3            1.3          1.3
Reserve                                                                   0.0          0.0        0.0        0.0         0.0         0.0         0.0         0.0         0.0         0.0        0.0
Interest                                                                   2.3          2.2        2.1         2.1         2.1         22         2.3         2.3         23         2.3        23
Repayment of Principal to Nl                                        1.6          1.5        1.5         1.5         1.4         1.4         14         14         14         14        1.4
"Budget deficit                                                             -1.9         -2.5       -3.7      114        4        -3.6        3.2        -3.1        -2.9        -2.3       -2,9"
Unsettled Payment Orders                                                -0.5            0.0         0.0          0.0          0.0          0.0          0.0          0.0          0.0          0.0         0.0
"Financing                                                                                        1.4              2,9           37         11.4           44           3.6           3.2           3.1            29            2,9          25"
Foreign (net)                                                                                   07              0.8            03            43           -0.2            0.5            0.5            0.5            0.5            0.5           05
"Domestic (net)                                                                                 0.6               1.9            3.3            71             3.8            2,6            2.2            24            24            2.3           23"
Loans                                                                                     6.9             6.5           a7         12.0           1.9           3.3           7.1           +43          -3.0           OF 6-107
Repayment                                                           6.3         4.6       -5.4       49        2        6.3        -6.4        6.5        -6.6        -6.7       6.8
Sale of assets (net)                                                            0.1            0.2         0.1          0.0          09          0.6          0.6          0.3          0.1           0.1         01
Memorandum items:
"Structural balance (percent of potential GDP)                   2,9          -3,1        3,9      -10.4        44        3.8        -3.3        “3.2        -2,9        -2,9       2,9"
"Primary balance (PB}                                                       03          0.8        -1.6        -9,3        -2.3        -1.4        -1.0        -0.8        0.6        0.6       -0.5"
"Cyclically adjusted PB (percent of potential GDP)                0.2         -0.9       -18       3.4        -2.2        -1.6       -1.1        -0.9        -0,6        -0.6       -0.5"
Real expenditure growth (in percent}                              3.5          3.8        5.0       20.4        0.8        49         2.1         29         3.0         3.6        3.F
Public debt to GDP                                                                   60.2            60.4         59.5         Ti?         69.0         67.1          66.4         65.8         65.2          647        64.2
"Nominal GDP {in billions of NIS)                                 1,279        1,342 1,418      1,401      1,554      1,683      1,786      1,392 2,000      2,115 2,236"
Sources: Ministry of Finance: IMF Staff estimates and projections.
"1/ Data as per the MoF definition, on a cash basis, covering the budgetary sector and the National Insurance Institute."
"2/ Starting from 2017, grants provided by the United States and associated spending are excluded from the MOF's budget"
presentation.
"3/ Registered spending but for which the equivalent cash has not yet been disbursed, hence it does not appear in financing,"
INTERNATIONAL MONETARY FUND 31
