V1
                                                          Table 2b. Kenya: Central Government Financial Operations 2018/19–2024/251
                                                                                                                        (in percent of GDP)
                                                                                                     2018/19          2019/20                  2020/21            2021/22                  2022/23            2023/24          2024/25
""
                                                                                                      Prel.    BPS    Supp II   Proj.   BPS         Proj.      BPS      Proj.      BPS          Proj.   BPS       Proj.         Proj.
"                                                                                                                                             (in percent of GDP, unless otherwise indicated)"
"                              Revenues, grants, and unidentified tax policy measures                  18.2     19.8    18.6     18.5    18.7       17.6        18.9      17.8       18.8        17.9     18.7           18.2      18.2"
                              Revenues and grants                                                     18.2     19.8    18.6     18.5    18.7       17.6        18.9      17.8       18.8        17.9     18.7           18.2      18.2
                              Revenue                                                                 18.0     19.4    18.2     18.0    18.3        17.2       18.5     17.4       18.4         17.6     18.4           17.9      17.9
                              Tax revenue                                                             15.1     15.3    13.8     13.9    15.0        13.7       15.5     14.2       15.5         14.5     15.5           14.8      14.8
                              Income tax                                                              7.4      7.6     7.1       6.8    7.4          6.6       7.6       7.0       7.8          7.3       7.7            7.6       7.6
                                 Personal income                                                      4.2      4.2     3.8       3.7    4.1          3.5       4.4       3.9       4.5          4.2       4.5            4.4       4.4
                                 Corporate income                                                     3.1      3.5     3.2       3.1    3.3          3.1       3.3       3.1       3.3          3.1       3.3            3.1       3.1
                              Import duty (net)                                                       1.2      1.1     0.9       1.0    1.1          0.9       1.1       1.0       1.1          1.0       1.1            1.0       1.0
                              Excise duty                                                             2.1      2.3     1.9       2.2    2.2          2.3       2.1       2.3       2.1          2.3       2.1            2.3       2.3
                              Value-added tax                                                         4.4      4.3     4.0       3.9    4.3          3.9       4.6       3.9       4.6          3.9       4.6            3.9       3.9
                                  Domestic                                                            2.5      2.4     2.3       2.2    2.4          2.2       2.5       2.2       2.5          2.2       2.4            2.2       2.2
                                  Imports                                                             2.0      1.9     1.7       1.7    1.8          1.6       2.2       1.6       2.1          1.6       2.2            1.6       1.6
                              Nontax revenue                                                          2.9      4.1     4.3       4.1    3.4          3.5       3.1       3.2       2.9          3.1       2.9            3.1       3.1
                                 Investment income                                                    0.3      0.2     1.2       1.0    0.2          0.2       0.2       0.2       0.2          0.2       0.1            0.1       0.1
                                 Other                                                                0.8      1.5     0.7       0.7    0.8          0.8       0.8       0.8       0.8          0.8       0.8            0.8       0.8
                                 Ministerial and Departmental Fees (AIA)                              1.9      2.0     2.2       2.2    2.1          2.2       1.9       1.9       1.7          1.8       1.8            1.9       1.9
                                 Railway Levy                                                         0.0      0.3     0.2       0.2    0.2          0.2       0.2       0.2       0.2          0.2       0.2            0.2       0.2
                              Grants                                                                   0.2     0.4     0.4      0.4     0.4          0.4        0.4      0.4        0.3          0.3      0.3            0.3       0.3
                              Expenditure and net lending                                             25.9     27.7    26.3     27.1    23.6        25.5       22.8     24.6       21.9         23.7     21.8           23.0      22.0
                              Recurrent expenditure                                                   20.0     20.6    20.2     21.7    18.6        20.4       17.9     19.4       16.8         18.3     17.0           17.8      17.2
                              Transfer to counties                                                    3.9      3.6     3.2       3.7    3.2          3.1       2.9       3.2       2.7          2.9       2.4            2.8       2.4
