V1
                                                                                                                                           PANAMA
""
""
""
                   Table 3. Panama: Summary Operations of the Central Government1/
                                         (In percent of GDP)
                                                                                                                   Projection
                                                       2015        2016       2017            2018      2019     2020     2021     2022     2023
Revenues and grants                                    13.0        13.2       13.8            13.4     13.6     13.6     13.4     13.2     13.1
 Current revenue                                       12.9        13.1       13.7            13.4     13.6     13.6     13.4     13.2     13.1
   Taxes                                               9.3         9.7        9.2               9.2      9.3      9.4      9.4      9.4      9.4
     Direct taxes                                      4.7         5.1        4.9               4.9      5.0      5.1      5.1      5.1      5.1
         Income tax                                    4.2         4.6        4.4               4.4      4.4      4.3      4.3      4.3      4.3
         Tax on wealth                                 0.5         0.5        0.5               0.5      0.6      0.8      0.8      0.8      0.8
     Indirect taxes                                    4.5         4.6        4.3               4.3      4.3      4.3      4.3      4.3      4.3
         Import tax                                    0.7         0.6        0.6               0.6      0.6      0.6      0.6      0.6      0.6
         ITBMS                                         2.4         2.6        2.4               2.4      2.4      2.4      2.4      2.4      2.4
         Petroleum products                            0.4         0.5        0.4               0.4      0.4      0.4      0.4      0.4      0.4
         Other tax on domestic transactions            0.9         0.9        0.9               0.9      0.9      0.9      0.9      0.9      0.9
   Nontax revenue                                      3.7         3.4        4.5               4.3      4.3      4.2      4.0      3.9      3.7
     Dividends                                         3.4         3.4        5.0               4.8      4.9      4.7      4.4      4.1      3.9
         Of which : Panama Canal Authority             1.1         1.2        1.9               1.8      1.9      1.8      1.7      1.6      1.5
     Panama Canal Authority: fees per ton 1/           0.7         0.7        0.7               0.7      0.7      0.7      0.7      0.6      0.6
     Transfers from decentralized agencies             0.5         0.5        0.5               0.4      0.4      0.4      0.4      0.4      0.4
     Other                                             -1.0        -1.1       -1.8             -1.7     -1.7     -1.6     -1.4     -1.3     -1.2
 Capital revenue                                       0.1         0.1        0.1               0.0      0.0      0.0      0.0      0.0      0.0
 Grants                                                0.0         0.0        0.0               0.0      0.0      0.0      0.0      0.0      0.0
Total expenditure                                      17.0        17.2       16.9            16.7     16.9     16.7     16.4     16.0     15.8
 Current                                               11.0        10.7       10.9            11.1     11.0     11.1     10.9     10.8     10.9
   Wages and salaries                                  4.0         4.3        4.6              4.6      4.6      4.6      4.6      4.6      4.6
   Goods and services                                  1.4         1.3        1.4              1.4      1.4      1.4      1.4      1.4      1.4
   Current expenditure of CSS                          0.7         0.5        0.6              0.3      0.2      0.2      0.2      0.2      0.2
   Transfers to public and private entities            3.2         2.8        2.6              3.1      3.1      3.1      3.1      3.1      3.1
   Interest                                            1.7         1.7        1.7              1.7      1.7      1.7      1.6      1.6      1.6
     Domestic                                          0.3         0.3        0.4              0.4      0.4      0.5      0.7      0.7      0.7
     External                                          1.4         1.4        1.4              1.4      1.3      1.2      0.9      0.8      0.9
 Capital                                               6.0         6.5        6.0              5.6      5.9      5.6      5.5      5.1      4.9
Savings 2/                                             1.9         2.4        2.8              2.4      2.6      2.5      2.5      2.4      2.3
Overall balance 3/                                     -4.0        -4.0       -3.1            -3.2     -3.4     -3.1     -3.0     -2.7     -2.7
""
Financing (net)                                        3.3         1.8        2.9              3.0      3.1      2.9      2.8      2.5      2.4
  External                                             2.4         2.1        2.4              2.0      0.1     -1.5     -0.7     -0.4     -0.6
  Domestic                                             1.0         -0.3       0.5              1.0      3.1      4.4      3.5      2.9      3.0
Memorandum items:
 Primary balance                                       -2.3        -2.3       -1.4           -1.5       -1.7     -1.4     -1.4     -1.2     -1.0
" GDP (in millions of US$)                              54,316      57,821     61,838      65,465       70,981   76,706   82,632   88,926   95,704"
""
 Sources: Comptroller General; Ministry of Economy and Finance; and IMF staff calculations.
 1/ Includes public service fees.
 2/ Current revenues and grants less current expenditure.
" 3/ Starting from 2015, includes overspending allowed under Article 34 of Law 38 of 2012."
""
""
""
""
                                                                                                      INTERNATIONAL MONETARY FUND                   33
