V1
CABO VERDE
"Table 3b. Cabo Verde: Statement of Operations of the Central Government, 2019-27’"
(Percent of GDP)
2019               2020               2021                                               2022                                                                            2023                                              2024               2025                 2026                2027
CR
Budget CR 22/235 Proj.        Budget 22/235       Proj.         Proj.         Proj.         Proj.          Proj.
Revenue                                                                             26.8        24.7        22.6          25.0          25.4         23.7          27.8          24.8        25.6        25.8        26.1          26.4         26.6
Taxes                                                                                                                                           19.6               18.2               17.0                 17.7                  17.9                18.7                 19.2                  18.8               18.1                19.3               19.7                20.1                 20.4
Taxes on income and profit                                             5.9         5.5         4.6          5.1           45          44          48           49         45         4.6         47          5.0          5.4
Taxes on goods and services                                           9.7         8.6         8.0          8.7           8.8          9.6          10.0          9.3         9.1          9.7         9.9         10.0         10.0
Taxes on international trade                                               3.7          3.6          4.0           3.6            4.2          4.3           4.0            4.3          4.1          47          47          47           4.6
Other taxes                                                                                0.3            0.4           0.3             0.3              0.3            0.4             0.4             0.4            0.4           0.4           0.4            0.4            0.4
Grants                                                                               2.9          3.2          2.0           1.7            1.9           1.7           1.2            1.2          2.1           1.3          1.3           1.2           1.1
Other revenue                                                                    43          3.2          3.6           5.6            5.6          3.3           6.3            47          5.5          5.1          5.1           5.1           5.1
Fees and penalties                                                           0.2          0.1          0.1           0.1            0.2          0.2           0.2           0.2          0.1          0.1          0.1           0.1           0.1
Property Income                                                           1.1          0.6         0.6          2.3           24          0.4          24           1.6         1.9         1.5         1.5          1.5          1.4
Sale of Goods and Services                                                    2.8          2.1           2.2           2.6            2.4           2.2            2.9            2.4          2.6          2.5          2.5           2.6           2.7
Other (inc. social contributions)                                        0.2         0.4         0.7          0.6           0.6          0.6          0.9           0.6         0.9         0.9         0.9          0.9          0.8
Expenditure                                                                                                                          28.5              33.8              29.9                31.1                  31.7               28.2                 33.4                 30.4              30.4              29.3              28.0                27.3               274
Expense 2/                                                                        24.9        30.5        27.7          26.7          28.4         26.2          28.6          27.3        26.0        25.3        24.0         23.7         23.6
Compensation of employees                                                          9.6           12.1           11.3            10.5             10.9           10.0            10.6            10.3           9.6            9.6            9.3             9.3             9.3
Use of goods and services                                                   3.7          6.1          5.1            5.3            5.3          49           6.4            4.8          5.8          47          45           43           44
Interest                                                                                                                            2.3                2.7                2.2                  24                    2.7                 2.5                   2.5                   3.0                2.3                2.5                 1.9                  1.9                  1.8
Domestic                                                                       1.4          1.7          1.6           1.5            1.7           1.6           1.5            1.8          1.4          1.7          1.1           1.1           1.0
