V1
INDONESIA
"Table 7. Indonesia: Summary of General Government Operations, 2015-21"
2015                  2016                  2017                  2018                  2019                  2020                  2021
Est.              Proj.
(In trillions of rupiah)
"Total revenue and grants                                                   1,715             1,778             1,910             2,208             2,241             1,916             2,047"
"Taxes                                                                            1,379             1,434             1,506             1,699             1,735             1,473             1,635"
"Taxes on income, profits, and capital gains                       602             666             647             752             770             594             684"
Taxes on goods and services                                          568              556              634              698              705              625              676
VAT and luxury taxes                                                       424                412                481                538                533                448                504
Excise                                                                                                145                    144                    153                    160                    172                    176                    172
Taxes on international trade and transactions                        35                35                39                46                41                36                45
Taxes not elsewhere classified                                            173               176               186               204               219               218               230
Grants                                                                                                       12                        9                      12                      14                        7                      12                      13
Other revenue                                                                   324               335               392               495               499               431                399
"Total expenditure                                                                                  2,015                 2,086                 2,251                 2,468                 2,594                 2,821                  3,053"
"Expense                                                                                               1,605                 1,645                 1,735                 1,938                 2,024                 2,159                 2,233"
Of which :
Compensation of employees                                          630               681               724               796               856               860               894
Purchases/use of goods and services                              233              260              291              337              334              402              466
Interest                                                                                              156                    183                    217                    258                    276                    314                    331
Energy subsidies                                                                                            119                        107                          98                        154                        137                        109                        102
Social benefit                                                                                      112                       68                       79                     112                     147                     235                     170
Net acquisition of nonfinancial assets                                 410              441               516               530               570              662              820
"Net lending/borrowing                                                     -300             -308             -341              -260             -353             -906           -1,006"
Net acquisition of financial assets                                        82                89                61                41               755             -105               124
Of which : policy lending                                                        3                   5                   0                   0                   0                   0                   0
"Net incurrence of liabilities                                                               382                   397                   402                   300                 1,108                   801                 1,130"
(In percent of GDP)
Total revenue and grants                                               14.9             14.3             14.1             14.9             14.2             12.1             12.1
Taxes                                                                                                          12.0                    11.6                    11.1                     11.5                    11.0                      9.3                      9.7
"Taxes on income, profits, and capital gains                       5.2              5.4             4.8              5.1              4.9              3.7             4.0"
Taxes on goods and services                                          49               45               47               4.7               4.5               3.9               4.0
VAT and luxury taxes                                                        3.7                 3.3                 3.5                 3.6                 3.4                 2.8                 3.0
Excise                                                                           1.3                1.2                1.1                 1.1                 1.1                 1.1                 1.0
Taxes on international trade and transactions                       0.3               0.3               0.3               0.3               0.3               0.2               0.3
Taxes not elsewhere classified                                           1.5                1.4                1.4                1.4                1.4                1.4                1.4
Grants                                                                              0.1                 0.1                 0.1                 0.1                 0.0                0.1                 0.1
Other revenue                                                                    2.8                2.7                2.9                3.3                3.2                2.7                2.4
Total expenditure                                                                                                     17.5                       16.8                       16.6                       16.6                       16.4                       17.8                       18.0
Expense                                                13.9         13.3          12.8         13.1          12.8         13.6         13.2
Of which :
Compensation of employees                                           5.5                5.5                5.3                5.4                5.4                5.4                5.3
Purchases/use of goods and services                               2.0               2.1               2.1               2.3               2.1               2.5               2.8
Interest                                                                                                               1.4                         1.5                         1.6                         1.7                         1.7                         2.0                         2.0
Energy subsidies                                                                1.0                 0.9                 0.7                 1.0                 0.9                 0.7                 0.6
Social benefit                                                    1.0             0.6             0.6             0.8             0.9             1.5             1.0
Net acquisition of nonfinancial assets                                  3.6               3.6               3.8               3.6               3.6               4.2               48
Net lending/borrowing                                                      -2.6              -2.5              -2.5              -1.8              -2.2              -5.7              -5.9
Net acquisition of financial assets                                       0.7               0.7               0.4               0.3               4.8              -0.7               0.7
Of which : policy lending                                                    0.0                0.0                0.0                0.0                0.0                0.0                0.0
Net incurrence of liabilities                                                3.3               3.2               3.0               2.0               7.0               5.1                6.7
Memorandum items:
General government debt (In percent of GDP)                       27.0              28.0              29.4              30.4              30.6              35.7              40.1
"Nominal GDP (In trillions of rupiah)                                            11,526              12,402               13,590               14,838               15,834              15,841               16,939"
Sources: Data provided by the Indonesian authorities; and IMF staff estimates and projections.
INTERNATIONAL MONETARY FUND 41
