V1
ANGOLA
""
""
""
"                       Table 2c. Angola: Statement of Central Government Operations, 2019–23"
"                                   (Percent of non-oil GDP, unless otherwise indicated)"
""
""
                                                                                        2019                     2020                      2021                      2022           2023
                                                                                2nd Rev.         Prel.    2nd Rev.        Proj.    2nd Rev.        Proj.     2nd Rev.       Proj.     Proj.
Revenue                                                                              28.5       28.7          30.2        23.7          27.3       26.9          30.8       27.7     27.2
 Taxes                                                                               26.6       26.7          28.7        22.2          25.6       25.4          29.3       26.1     25.6
   Oil                                                                               17.9       17.4          19.4        13.5          15.5       15.6          17.9       15.6     14.9
   Non-oil                                                                            8.7        9.3           9.3         8.7          10.1        9.8          11.4       10.6     10.7
 Social contributions                                                                 1.0        1.4           1.0         0.9           0.8        0.9           1.0        0.9      0.9
 Grants                                                                               0.0        0.0           0.0         0.0           0.0        0.0           0.0        0.0      0.0
 Other revenue                                                                        0.8        0.7           0.5         0.6           0.9        0.6           0.5        0.6      0.6
""
Expenditure                                                                          27.1       27.6          29.0        27.4          26.9       27.1          28.2       26.3     24.9
  Expense                                                                            23.0       22.6          24.6        23.7          22.4       23.0          23.6       21.8     20.3
    Compensation of employees                                                         8.6        8.8           7.8         8.3           7.8        8.0           7.9        7.5      7.1
    Use of goods and services                                                         3.3        3.7           4.2         3.7           4.1        4.0           4.1        4.0      4.0
    Interest                                                                          7.7        7.5           9.6         8.9           7.3        8.4           8.4        7.7      6.7
      Domestic                                                                        3.5        3.5           4.3         3.9           3.5        3.2           3.7        2.7      2.0
      Foreign                                                                         4.2        4.0           5.3         5.0           3.7        5.2           4.8        5.1      4.7
    Subsidies                                                                         0.7        0.3           0.9         0.9           0.7        0.6           0.6        0.6      0.6
    Other expense                                                                     2.7        2.3           2.2         1.9           2.6        2.0           2.6        2.0      2.0
  Net acquisition of nonfinancial assets                                              4.1        5.0           4.5         3.7           4.5        4.1           4.6        4.5      4.6
""
Net lending (+) / Net borrowing (-)                                                   1.4         1.1           1.2       -3.7           0.4        -0.2           2.6       1.3       2.2
""
Statistical discrepancy                                                                0.0        0.6           0.0         0.0           0.0        0.0           0.0        0.0      0.0
""
Net acquisition of financial assets (+: increase)                                     0.1        -3.1          -4.2       -9.1          -0.2        -3.4          -1.5      -0.9       0.9
 Domestic                                                                             0.9        -3.0          -3.0       -8.5           0.0        -2.0          -1.4       0.6      -0.1
                            1
       Cash and deposits                                                               0.0       -3.0          -3.6        -9.3           0.0       -2.0          -1.4        0.6     -0.1
       Equity and investment fund shares                                               0.9        0.0           0.5         0.8           0.0        0.0           0.0        0.0      0.0
       Other accounts receivable                                                       0.0        0.0           0.0         0.0           0.0        0.0           0.0        0.0      0.0
     Foreign                                                                          -0.8       -0.1          -1.1        -0.6          -0.2       -1.4          -0.1       -1.5      1.0
""
Net incurrence of liabilities (+: increase)                                          -1.3        -3.7          -5.3       -5.4          -0.6        -3.2          -4.1      -2.2      -1.4
 Domestic                                                                            -6.2        -7.9          -8.2       -9.6          -1.0        -3.2          -4.2      -2.7      -0.9
   Debt securities                                                                    0.3        -0.5          -5.2       -9.0           1.3        -2.6          -2.7      -2.4      -0.9
      Disbursements                                                                   8.4         7.0           7.3        5.3           9.1         4.3           4.9       6.4       6.4
      Amortizations                                                                  -8.0        -7.5         -12.4      -14.3          -7.8        -6.9          -7.5      -8.8      -7.4
   Loans                                                                              0.0        -1.2           0.0        0.0           0.0         0.0           0.0       0.0       0.0
       Other accounts payable2                                                       -6.5        -6.1          -3.1        -0.7          -2.3       -0.6          -1.6       -0.4      0.0
     Foreign                                                                          4.8         4.2           2.9         4.2           0.5        0.0           0.1        0.5     -0.5
       Disbursements                                                                 13.5        13.2          14.1         9.6           6.3        8.2           7.4        4.8      5.9
         Of which : Budget support under the program                                  2.3         1.9           3.8         5.4           2.5        4.4           0.0        0.0      0.0
       Amortizations                                                                 -8.7        -8.9         -11.2        -5.4          -5.8       -8.2          -7.3       -4.3     -6.4
""
Memorandum items:
Non-oil primary fiscal balance                                                       -8.1        -8.2          -8.1       -7.9          -7.3        -6.9          -6.3       -6.0     -5.5
"Angola oil price (average, U.S. dollars per barrel)                                  64.0        65.2          55.0       39.8          59.0        44.9          55.0       46.9     48.5"
Social expenditures3                                                                   4.9        7.6           5.1         5.4           5.4        5.5           6.4        6.2      6.8
Public sector debt (gross)4                                                         159.9      156.8         147.7       159.1         107.0      147.1          122.3      128.2    113.1
                                                        5
     Of which: Central Government and Sonangol                                      159.8      156.4         147.4       158.6         106.7      146.7          122.0      127.8    112.8
     Of which : Central Government6                                                 154.5      151.5         140.5       153.2         102.7      141.9          112.4      122.8    109.1
Sources: Angolan authorities; and IMF staff estimates and projections.
1
    Historical figures may include valuation effects related to foreign-currency denominated deposits. Projections for 2020-23 include deposit withdrawals from FSDEA.
2
    Includes repayment of debt owed to Sonangol related to the National Urbanization and Housing Plan (PNUH).
3
"    Spending on education, health, social protection, and housing and community services. For 2020 onwards are projected floors."
4
"    Includes debt of the Central Government, external debt of state oil company Sonangol and state airline company TAAG, and guaranteed debt."
5
    Includes debt guaranteed and excludes debt owed by the Central Government to Sonangol related to the National Urbanization and Housing Plan (PNUH).
6
    Excludes debt guaranteed and includes debt owed by the Central Government to Sonangol related to the National Urbanization and Housing Plan (PNUH).
""
""
""
""
12        INTERNATIONAL MONETARY FUND
