V1
                                                                                    KINGDOM OF THE NETHERLANDS—NETHERLANDS
""
""
""
"          Table 2b. Netherlands: General Government Statement of Operations, 2016–24"
                                         (Billions of euros)
                                                            2016       2017       2018      2019       2020       2021      2022    2023    2024
                                                                                   Est.     Proj.      Proj.      Proj.     Proj.   Proj.   Proj.
""
Revenue                                                     303.2      322.2     336.2      354.6     365.8      378.9      391.5   407.2   424.0
 Taxes                                                      165.0      180.2     188.3      202.3     204.4      211.8      218.7   227.5   236.9
   Taxes on production and imports                           81.6       85.1      90.1       97.7     101.7      105.7      108.9   113.3   117.9
"   Current taxes on income, wealth, etc.                     81.6       93.6      96.4      102.7     101.4      103.9      107.5   111.8   116.4"
   Capital taxes                                              1.8        1.4       1.7        1.8       2.2        2.3        2.4     2.5     2.6
 Social contributions                                       107.5      105.5     111.9      115.2     122.5      127.5      131.6   136.9   142.6
 Grants                                                       0.9        0.9       1.0        1.0       1.1        1.1        1.2     1.2     1.3
 Other revenue                                               29.8       35.5      35.0       36.1      37.8       38.4       39.9    41.6    43.3
Expenditure                                                 303.1      313.7     328.0      346.5     359.1      371.9      384.2   399.6   416.1
 Expense                                                    302.8      313.2     324.3      337.3     350.4      363.4      376.8   391.9   408.0
   Compensation of employees                                 57.6       58.7      61.2       64.5      68.2       70.0       72.5    75.4    78.5
   Use of goods and services                                 39.4       39.7      40.8       42.8      43.2       44.5       45.8    47.6    49.6
   Consumption of fixed capital                              22.3       22.9      23.6       24.4      24.6       25.1       25.8    26.8    27.9
   Interest                                                   9.7        8.8       7.3        6.6       6.6        6.6        7.2     7.5     7.8
   Subsidies                                                  7.9        8.9       9.7        9.9      10.0       10.1       10.2    10.6    11.0
   Grants                                                     6.5        6.7       7.0        7.3       7.6        8.0        8.3     8.6     9.0
   Social benefits                                          152.5      155.5     160.4      167.5     175.0      182.7      191.6   199.3   207.5
   Other expense                                              7.0       12.1      14.3       14.5      15.2       16.3       15.5    16.1    16.8
 Net acquisition of nonfinancial assets                       0.3        0.4       3.7        9.2       8.7        8.5        7.4     7.7     8.0
Net operating balance                                         0.4        8.9      11.9       17.3       15.4      15.5       14.7    15.3    15.9
Net lending/borrowing                                         0.1        8.5       8.2        8.1        6.7       7.0        7.3     7.6     7.9
Net acquisition of financial assets                          -4.7       -9.1         …          …         …             …      …       …       …
 Currency and deposits                                        1.8        2.3         …          …         …             …      …       …       …
 Securities other than shares                                -0.6       -0.9         …          …         …             …      …       …       …
 Loans                                                       -1.5        1.2         …          …         …             …      …       …       …
 Shares and other equity                                     -3.1       -5.7         …          …         …             …      …       …       …
 Insurance technical reserves                                 0.0        0.0         …          …         …             …      …       …       …
 Financial derivatives                                       -6.5       -3.1         …          …         …             …      …       …       …
 Other accounts receivable                                    5.2       -2.9         …          …         …             …      …       …       …
Net incurrence of liabilities                                -5.6      -17.6         …          …         …             …      …       …       …
 Special Drawing Rights (SDRs)                                0.0        0.0         …          …         …             …      …       …       …
 Currency and deposits                                        2.0       -1.8         …          …         …             …      …       …       …
 Securities other than shares                                -3.8       -8.5         …          …         …             …      …       …       …
 Loans                                                       -2.7       -7.8         …          …         …             …      …       …       …
 Shares and other equity                                      0.0        0.0         …          …         …             …      …       …       …
 Insurance technical reserves                                 0.0        0.0         …          …         …             …      …       …       …
 Financial derivatives                                        0.0        0.0         …          …         …             …      …       …       …
 Other accounts payable                                      -1.0        0.5         …          …         …             …      …       …       …
Memorandum items
Primary balance                                               8.1       15.6      14.0       13.1      11.7       12.0       12.8    13.3    13.8
Gross Debt                                                  438.4      419.8     420.6      416.0     412.0      404.9      396.1   387.0   376.9
Nominal GDP (Euro bill.)                                    708.3      737.0     770.9      806.5     839.0      873.2      907.9   944.4   983.2
""
"Sources: The Netherlands’ Bureau for Economic Policy Analysis (CPB), Ministry of Finance, and IMF staff calculations."
""
""
""
""
                                                                                                    INTERNATIONAL MONETARY FUND               27
