V1
GUINEA
""
""
""
"                                         Table 3b. Guinea: Fiscal Operations of the Central Government,1 2017–25"
"                                                       (Percent of GDP, unless otherwise indicated)"
                                                                       2017              2018                                                               2019                                                               2020                    2021     2022    2023    2024     2025
""
                                                                                                Suppl.                                        Mar. Cum. Jun. Cum. Sep. Cum.              Budget     Suppl.                               Budget
                                                                         Act.    Act.                          3rd Rev.   4th Rev.    Prel.                                                                  3     3rd Rev.   4th Rev.                  Proj.   Proj.   Proj.    Proj.   Proj.
                                                                                              Budget 3                                              Prel.     Prel.     Prel.             2019      Budget                                2020
""
""
 Total revenue and grants                                               15.3       14.5             15.6          15.8       15.2     14.1          3.2            7.4         10.8          15.6       15.8          15.5       15.2        15.0       15.7    16.0    16.6     17.2    17.3
  Revenue                                                               13.7       13.1             14.4          14.7       14.1     13.7          3.0            7.2         10.5          14.4       14.7          14.4       14.1        14.0       14.7    15.2    15.7     16.3    16.4
    Tax revenue                                                         13.2       12.4             13.5          13.5       12.8     12.5          2.9            6.6          9.6          13.9       13.5          13.9       13.5        13.3       13.9    14.3    14.7     15.1    15.1
      Mining sector                                                      2.3        2.6              2.9           2.5        2.1      1.9          0.5            1.1          1.5           2.7        2.5           2.7        2.5         2.5        2.5     2.7     2.8      2.9     2.9
      Non-mining sector                                                 11.0        9.8             10.6          11.0       10.7     10.7          2.4            5.5          8.1          11.2       11.0          11.2       11.0        10.8       11.3    11.6    11.9     12.2    12.2
        Direct taxes                                                     2.4        2.1              2.1           2.5        2.2      2.0          0.3            1.2          1.7           2.6        2.5           2.6        2.2         2.6        2.4     2.4     2.4      2.5     2.5
        Indirect taxes                                                   8.6        7.7              8.4           8.5        8.5      8.6          2.1            4.3          6.4           8.6        8.5           8.6        8.8         8.2        9.0     9.2     9.5      9.8     9.8
          Taxes on goods and services                                    5.8        5.3              6.5           6.1        5.9      6.0          1.5            3.0          4.4           6.1        6.1           6.2        6.2         6.0        6.2     6.4     6.5      6.7     6.7
          Taxes on international trade                                   2.8        2.3              2.0           2.3        2.5      2.6          0.6            1.3          2.0           2.5        2.3           2.4        2.6         2.3        2.7     2.8     2.9      3.0     3.1
        Non-tax revenue                                                  0.5        0.7              0.9           1.2        1.3      1.1          0.1            0.6          0.9           0.5        1.2           0.6        0.7         0.6        0.8     0.9     1.0      1.2     1.2
  Grants                                                                 1.5        1.4              1.2           1.1        1.1      0.5          0.1            0.3          0.3           1.1        1.1           1.1        1.1         1.0        1.0     0.8     0.9      0.9     0.9
    Project grants                                                       1.0        1.0              0.8           0.7        0.7      0.3          0.1            0.2          0.2           0.7        0.7           0.7        0.6         0.7        0.6     0.5     0.5      0.5     0.5
    Budget support                                                       0.5        0.4              0.5           0.4        0.4      0.2          0.0            0.1          0.1           0.4        0.4           0.3        0.4         0.3        0.5     0.4     0.5      0.4     0.5
    Other earmarked grants                                               0.0        0.0               …             …          …        …            …              …            …             …          …             …          …           …          …       …       …        …       …
 Expenditures and net lending                                           17.3       15.6             17.7          18.4       17.0     14.6          3.4            6.9         11.4          17.8       18.3          17.5       18.2        18.3       19.7    19.4    19.2     19.3    19.4
  Current expenditures                                                  11.5       10.6             11.5          11.3       11.1     10.9          2.0            5.0          8.2          10.2       11.2          11.2       11.3        11.4       11.5    11.5    11.4     11.5    11.5
    Primary current expenditures                                        10.6        9.8             10.4          10.5       10.3     10.5          1.9            4.7          7.9           9.4       10.4          10.5       10.7        10.6       10.6    10.5    10.4     10.4    10.5
      Wages and salaries                                                 3.6        3.8              3.7           3.6        3.5      3.5          0.8            1.7          2.6           3.5        3.5           3.6        3.6         3.7        3.6     3.6     3.6      3.6     3.6
      Goods and services                                                 3.6        3.1              3.6           3.3        3.2      3.4          0.5            1.4          2.5           3.3        3.3           3.3        3.4         3.3        3.4     3.4     3.4      3.4     3.4
      Subsides and transfers                                             3.3        2.9              3.1           3.6        3.6      3.6          0.6            1.7          2.8           2.6        3.6           3.6        3.7         3.6        3.6     3.5     3.4      3.5     3.5
            EDG                                                           …         0.8                ...         1.7        1.7      1.7          0.3            0.8          1.3           0.7        1.7           1.3        1.7         1.7        1.3     1.0     0.8      0.6     0.5
              Subsidies                                                    …             …               ...        1.6        1.6     1.6          0.3             0.8          1.3          0.7            1.6        1.3        1.4         1.4       1.3     1.0      0.8     0.6
              Gurantee Fund                                               …              …              ...         0.1        0.1     0.1            ...             ...          ...         …             0.1         …         0.3         0.3        …       …        …       …
            other subsidies and transfers                                 …             2.0             ...         1.9        1.9     1.9          0.3             0.9          1.5          1.9            1.9        2.3        2.0         1.9       2.3     2.5      2.6     2.8     3.0
      Interest on debt                                                   0.9            0.8           1.1           0.8        0.8     0.5          0.1             0.3          0.4          0.8            0.8        0.7        0.7         0.8       0.9     1.0      1.0     1.0     1.0
        Domestic debt                                                    0.7            0.5           0.8           0.6        0.6     0.3          0.1             0.2          0.2          0.6            0.6        0.5        0.6         0.6       0.7     0.7      0.7     0.7     0.7
        External debt                                                    0.2            0.3           0.2           0.2        0.2     0.1          0.1             0.1          0.1          0.2            0.2        0.2        0.1         0.2       0.2     0.3      0.3     0.3     0.3
     Capital expenditure                                                 5.7            4.9           6.1           7.0        5.8     3.6          1.3             1.9          3.1          7.6            7.0        6.3        6.8         6.8       8.1     7.8      7.8     7.8     7.9
        Domestically financed                                            3.4            1.9           2.2           3.0        2.6     2.2          0.9             1.0          1.9          3.5            3.0        2.4        2.2         2.0       2.4     3.0      3.7     4.3     4.5
          Investment (central budget exec.)                              3.4            1.9           2.1           3.0        2.5     2.2          0.9             1.0          1.9          3.4            3.0        2.4        2.1         1.7       2.4     3.0      3.7     4.3     4.5
