V1
NEPAL
""
""
""
"                                        Table 4. Central Government Operations, 2017/18–2024/251"
                                                                                     2017/18      2018/19                    2019/20                           2020/21              2021/22    2022/23    2023/24        2024/25
                                                                                                                            2020                        2020
                                                                                                                            Article IV    Current       Article IV    Current
                                                                                                                            Baseline      Baseline      Baseline      Baseline
                                                                                                       Est.    Budget       Proj.         Proj.         Proj.         Proj.                       Projections
""
                                                                                                                                             (In billions of Nepalese rupees)
" Total revenue and grants                                                                  766         901         1,170         1,006           895         1,132         1,037      1,169      1,297          1,441      1,598"
"  Total revenue                                                                            727         860         1,112           959           850         1,068           976      1,101      1,222          1,360      1,508"
"    Tax revenue                                                                            640         759         1,009           851           747           951           864        975      1,082          1,198      1,336"
    Non-tax revenue                                                                         87         101           103           108           104           118           111        126        140            161        172
  Grants                                                                                    39          42            58            47            45            64            61         68         75             82         90
" Expenditure                                                                               968       1,059         1,496         1,182         1,165         1,322         1,307      1,388      1,528          1,685      1,863"
"  Recurrent expenditure                                                                    697         818         1,088           898           938         1,004         1,019      1,073      1,177          1,308      1,451"
    Of which: Fiscal transfer                                                              212         322           334           327           327           366           360        406        452            501        555
                Revenue sharing 2/                                                           …          97           131           124           112           139           127        141        156            173        191
   Capital expenditure                                                                     271         242           408           284           228           318           288        315        351            378        412
 Operating balance                                                                          69          84            82           108           -42           128            18         96        120            134        146
 Net lending/borrowing                                                                    -202        -158          -326          -176          -270          -190          -271       -219       -231           -244       -266
 Statistical discrepancy                                                                   -92           0             0             0             0             0             0          0          0              0          0
""
 Net financial transactions                                                                109         158           326           176           270           190          271        219        231            244        266
  Net acquisition of financial assets                                                      -22          59            99            62            59            39           37         41         46             51         56
   Foreign                                                                                   4           0             0             0             0             0            0          0          0              0          0
   Domestic (net)                                                                          -26          58            99            62            59            39           36         41         46             51         56
      Sale of equity                                                                        45          42            63            43            41            26           25         28         31             34         38
      Lending minus repayment                                                               19          17            36            19            18            12           12         13         15             16         18
      Change in cash/deposit                                                               -89           0             0
                                                                                                                       5             0             0             0            0          0          0              0          0
  Net incurrence of liabilities                                                             87         217           425            238        329          229         307            261        277            295        322
   Foreign 3/                                                                               74          71           277             93        135            81         64             73         84             80         80
   Domestic                                                                                 13         146           148            145        194          148         243            188        193            215        242
"                                                                                                                                   (In percent of GDP, unless otherwise indicated)"
 Total revenue and grants                                                                 25.3        26.0          31.3           25.8         24.0           26.0         25.2       25.2       25.1           25.2       25.2
  Total revenue                                                                           24.0        24.8          29.8           24.6         22.8           24.5         23.7       23.7       23.7           23.8       23.8
    Tax revenue                                                                           21.1        21.9          27.0           21.9         20.0           21.8         21.0       21.0       21.0           20.9       21.1
    Non-tax revenue                                                                        2.9         2.9           2.8            2.8          2.8            2.7          2.7        2.7        2.7            2.8        2.7
  Grants                                                                                   1.3         1.2           1.6            1.2          1.2            1.5          1.5        1.5        1.4            1.4        1.4
 Expenditure                                                                              31.9        30.6          40.1           30.4         31.2           30.4         31.8       29.9       29.6           29.5       29.4
  Recurrent expenditure                                                                   23.0        23.6          29.1           23.1         25.1           23.1         24.8       23.1       22.8           22.9       22.9
    Of which: Fiscal transfer                                                              7.0         9.3           8.9            8.4          8.8            8.4          8.8        8.8        8.8            8.8        8.8
                Revenue sharing                                                             …          2.8           3.5            3.2          3.0            3.2          3.1        3.0        3.0            3.0        3.0
   Capital expenditure                                                                     8.9         7.0          10.9            7.3          6.1            7.3          7.0        6.8        6.8            6.6        6.5
 Operating balance                                                                         2.3         2.4           2.2            2.8         -1.1            2.9          0.4        2.1        2.3            2.3        2.3
 Net lending/borrowing                                                                    -6.7        -4.6          -8.7           -4.5         -7.2           -4.4         -6.6       -4.7       -4.5           -4.3       -4.2
 Statistical discrepancy                                                                  -3.0           0             0              0            0              0            0          0          0              0          0
""
 Net financial transactions                                                                3.6         4.6           8.7            4.5          7.2            4.4          6.6        4.7        4.5            4.3        4.2
  Net acquisition of financial assets                                                     -0.7         1.7           2.7            1.6          1.6            0.9          0.9        0.9        0.9            0.9        0.9
   Foreign                                                                                 0.1         0.0           0.0            0.0          0.0            0.0          0.0        0.0        0.0            0.0        0.0
   Domestic (net)                                                                         -0.8         1.7           2.7            1.6          1.6            0.9          0.9        0.9        0.9            0.9        0.9
      Sale of equity                                                                       1.5         1.2           1.7            1.1          1.1            0.6          0.6        0.6        0.6            0.6        0.6
      Lending minus repayment                                                              0.6         0.5           1.0            0.5          0.5            0.3          0.3        0.3        0.3            0.3        0.3
      Change in cash/deposit                                                              -3.0         0.0           0.0            0.0          0.0            0.0          0.0        0.0        0.0            0.0        0.0
  Net incurrence of liabilities                                                            2.9         6.3          11.4            6.1          8.8            5.3          7.5        5.6        5.4            5.2        5.1
    Foreign 3/                                                                             2.4         2.1           7.4            2.4          3.6            1.9          1.5        1.6        1.6            1.4        1.3
    Domestic                                                                               0.4         4.2           4.0            3.7          5.2            3.4          5.9        4.0        3.7            3.7        3.8
 Memorandum items
 Primary balance                                                                           -6.1        -4.0          -8.0          -3.9          -6.6          -3.7          -5.8       -3.8       -3.5           -3.2       -3.1
 Public debt                                                                              30.2        30.1             …          33.7          38.0          35.7          42.4       43.8       45.3           46.7       47.8
  External                                                                                17.3        17.0             …          18.3          20.6          18.6          20.8       20.6       20.7           20.7       20.5
  Domestic                                                                                12.9        13.1             …          15.4          17.3          17.1          21.6       23.3       24.6           26.0       27.3
 Resources for sub-national governments (billions of Nepalese Rupees)                        …         420           465           451           439           505           488        547        608            674        746
  (in percent of GDP)                                                                        …        12.1          12.4          11.6          11.7          11.6          11.8       11.8       11.8           11.8       11.8
" Nominal GDP (billions of Nepalese Rupees)                                               3,031       3,464         3,735         3,892         3,735         4,354         4,117      4,638      5,163          5,721      6,338"
 Sources: Nepali authorities; and IMF staff estimates and projections.
" Note: The size of COVID-19-related measures is 2.3 percent in FY19/20, 1.7 percent in FY20/21."
 1/ Fiscal year ends in mid-July.
 2/ 30 percent of VAT and domestic excise revenues are shared with sub-national governments.
" 3/ Net incurrence of foreign liabilities reflects pre-COVID identified financing and new financing (identified as of April 15) to support the COVID-response, including the IMF-RCF (US$214 million), Asian Development"
" Bank (US$250 million), and World Bank (US$29 million)."
" Note: 2020 Article IV Baseline is based on data as of end-Jan 2020, while current baseline forecast is as of April 15, 2020."
""
