V1
MONTENEGRO
""
""
""
" Table 8. Montenegro: Consolidated General Government Fiscal Operations, 2013-23 1/"
                                 (in percent of GDP)
""
                                                      2013     2014     2015     2016      2017     2017   2018     2018     2019     2020    2021     2022   2023
                                                                                         Last SR Prelim. Last SR                         Projections
""
  Total revenues and grants                            41.3    43.5     40.4     41.3      43.5     40.9    45.1     43.4     42.4     42.3   42.2     42.1   42.0
    Total revenues                                     41.0    43.2     40.0     40.9      43.0     40.2    44.7     43.0     42.1     42.0   42.0     41.9   41.7
      Current revenues                                 40.8    43.0     39.8     40.8      42.9     40.0    44.6     42.8     42.0     41.9   41.8     41.7   41.6
         Taxes                                         25.7    27.5     25.3     25.6      27.9     26.1    29.3     27.9     28.4     28.3   28.3     28.2   28.0
           Personal income tax                          3.7     4.0      3.7      4.0       4.3      3.4     4.3      3.5      3.6      3.4    3.4      3.4    3.4
           Corporate income tax                         1.2     1.3      1.2      1.1       1.3      1.2     1.3      1.3      1.2      1.2    1.2      1.2    1.2
           Taxes on turnover of real estate             0.4     0.4      0.4      0.3       0.3      0.4     0.3      0.4      0.4      0.4    0.4      0.4    0.4
           Value added tax                             12.8    14.4     12.5     12.7      13.6     13.0    14.7     14.2     14.3     14.3   14.3     14.2   14.2
           Excises                                      4.8     4.5      4.7      4.6       5.4      5.3     5.7      5.7      6.0      6.1    6.1      6.1    6.1
           Taxes on international trade                 0.7     0.6      0.6      0.6       0.6      0.6     0.6      0.6      0.6      0.6    0.6      0.6    0.6
           Local government taxes                       2.0     2.1      2.1      2.0       2.0      2.0     2.0      2.0      2.0      2.0    2.0      2.0    2.0
           Other taxes                                  0.2     0.2      0.2      0.2       0.3      0.2     0.3      0.2      0.3      0.3    0.3      0.3    0.2
         Social security contributions                 10.6    11.6     10.7     10.5      11.4     10.4    11.5     10.5     10.0     10.0   10.0     10.0   10.0
         Nontax revenues                                4.5     4.0      3.8      4.7       3.6      3.5     3.8      4.5      3.6      3.6    3.6      3.6    3.6
      Capital revenues                                  0.3     0.2      0.2      0.1       0.1      0.1     0.1      0.1      0.1      0.1    0.1      0.1    0.1
    Grants                                              0.3     0.3      0.4      0.4       0.5      0.7     0.4      0.5      0.3      0.2    0.3      0.2    0.2
""
  Total expenditures and net lending                   45.8    44.2     46.6     47.5      50.0     47.8    50.7     46.1     44.4     39.8   40.0     40.0   40.1
    Total expenditures                                 45.7    44.5     46.5     47.4      50.0     47.7    50.7     46.0     44.3     39.7   39.9     39.9   40.0
      Current expenditures                             41.8    39.0     40.5     41.1      40.9     38.1    40.1     36.6     35.6     35.3   35.0     34.9   34.8
         Gross salaries                                10.9    11.0     10.5     10.6      10.8     10.4    10.3      9.8      9.5      9.6    9.6      9.6    9.6
         Other personal income                          0.4     0.4      0.5      0.4       0.4      0.3     0.4      0.3      0.3      0.3    0.3      0.3    0.3
         Goods and services                             3.5     3.3      4.5      4.1       3.7      3.5     3.6      3.4      3.3      3.2    3.3      3.4    3.5
         Current maintenance                            0.7     0.7      0.7      0.7       0.7      0.6     0.7      0.6      0.6      0.6    0.7      0.8    0.8
         Interest payments                              2.1     2.3      2.4      2.2       2.5      2.4     2.6      2.1      2.1      2.0    1.7      1.5    1.4
         Rent                                           0.2     0.2      0.2      0.3       0.3      0.2     0.3      0.2      0.2      0.2    0.2      0.2    0.2
         Subsidies to enterprises                       0.5     0.5      0.6      0.7       0.7      0.7     0.7      0.6      0.6      0.6    0.6      0.6    0.6
         Other outflows 2/                              0.8     0.8      1.0      1.0       1.0      1.0     1.2      1.1      0.9      0.9    0.9      0.9    0.9
         Social security transfers                     14.4    14.2     13.3     14.1      14.2     12.7    13.9     12.1     12.0     11.8   11.7     11.5   11.4
         Other transfers                                4.6     4.4      6.3      6.6       6.0      5.7     6.0      5.9      5.6      5.6    5.5      5.5    5.5
