V1
                                                                                                                                           MONTENEGRO
""
""
""
"    Table 5. Montenegro: Consolidated General Government Fiscal Operations, 2013-23   "
"                                (Millions of euro, GFSM 2014)"
""
                                                  2013     2014     2015    2016     2017    2017      2018    2018     2019     2020     2021    2022    2023
                                                                                   Last SR           Last SR                     Projections
""
"1. Revenue                                       1,381    1,497    1,469   1,630    1,724    1,726    1,886    1,944   1,982    2,071    2,175    2,285   2,391"
"   Taxes                                           864      950      926   1,013    1,107    1,104    1,226    1,253   1,331    1,393    1,461    1,533   1,603"
     Personal income tax                           124      137      136     160      170      146      179      157     168      169      177      185     192
     Corporate income tax                           41       45       42      45       50       49       53       58      58       60       63       65      67
     Property taxes                                 14       15       15      13       14       15       15       16      17       18       19       20      21
     Value added tax                               429      498      457     501      540      549      615      637     672      704      739      776     811
     Excises                                       161      156      170     183      214      225      240      256     280      299      314      331     347
     Taxes on international trade                   22       22       23      24       25       25       27       27      28       29       30       32      34
     Local government taxes                         67       71       76      77       81       86       86       92      95      100      105      110     116
     Other taxes                                     5        6        7       9       12        9       12       11      14       14       15       15      14
   Social security contributions                   357      401      392     414      453      442      481      470     470      491      516      544     572
   Nontax revenues                                 152      137      138     186      143      149      161      201     167      175      184      194     204
   Grants                                           10        9       14      17       21       30       17       20      14       12       13       13      13
""
"2. Expense                                       1,404    1,350    1,479   1,624    1,622    1,615    1,681    1,646   1,673    1,734    1,810    1,902   1,988"
   Gross salaries and other personal income        380      395      403     434      445      453      446      454     462      488      512      540     568
   Use of goods and services                       140      140      188     187      175      173      180      180     182      188      209      231     248
   Interest payments                                71       78       86      85      100      103      111       92      99       96       86       82      80
   Subsidies to enterprises                         18       19       20      28       28       29       29       28      29       30       32       34      35
   Other current outflows                           35       37       45      51       50       54       60       59      53       56       58       61      64
   Social security transfers                       483      492      488     556      565      539      581      544     562      579      603      627     653
   Other transfers                                 153      154      230     263      240      243      250      267     263      273      286      300     314
   Repayment of guarantees                         107       18        0       0        0        0        0        0       0        0        0        0       0
   Reserves                                         16       16       19      21       19       22       23       22      23       24       25       26      28
""
3. Gross operating balance (= 1 - 2)               -23      147      -10       6      102      111      205     298      310      337      365     383     403
""
4. Net acquisition of nonfinancial assets          124      181      212     247      360      398      438     415      398      209      243     261     289
   Capital revenue                                  -9       -7       -8      -4       -4       -6       -5      -7       -7       -7       -8      -8      -8
   Capital expenditure                             132      189      220     251      364      405      442     421      405      217      250     268     297
""
5. Net lending (+) / borrowing (-) (= 3 - 4)      -147      -34     -221    -241     -258     -288     -233     -117      -88     128      122     122     114
""
6. Net acquisition of financial assets             -34        9       32     -11      -15       32      -11     366       -39    -209         2     11       7
   Domestic                                        -34        9       32     -11      -15       32      -11     366       -39    -209         2     11       7
     Currency and deposits                         -11       31       37      -3       -7       34       -5     296        30    -209        -4      5       1
     Loans                                           4      -10        4       4       -2        7        1       5         6       6         6      6       6
     Equity and investment fund shares             -27      -12      -10     -11       -6       -9       -7      65       -75      -5         0      0       0
""
7. Net incurrence of liabilities                   196      117      186     200      240      293      186     483       49     -336     -120    -112    -108
   Domestic                                         58       19      -43      76      -19       37        1     -54       23       43       46      51      22
   Foreign                                         139       98      229     123      258      256      185     537       26     -379     -166    -163    -130
""
8. Discrepancy (= 5 - 6 + 7) 2/                     83       74      -67     -31        -4     -26      -36        0        0       0        0       0       0
""
Memorandum items:
 Primary balance                                   -76       44     -135    -155     -158     -185     -122      -24      11      224      208      204     194
 Nonhighway primary balance                        -76       44      -50     -37       75       62      149      240     215      224      208      204     194
 Current balance                                   -33      138      -23     -11       81       80      188      278     296      325      351      370     390
" Nominal general government debt                 1,972    2,191    2,513   2,625        …    2,848        …    3,258   3,329    3,003    2,920    2,821   2,711"
" Nominal gen. gov. debt, with guarantees         2,241    2,473    2,784   2,923        …    3,160        …    3,598   3,668    3,343    3,260    3,161   3,051"
" Nominal GDP                                     3,362    3,458    3,655   3,954    3,970    4,237    4,187    4,492   4,692    4,917    5,165    5,444   5,718"
""
Sources: Ministry of Finance; and Fund staff estimates and projections.
1/ Includes central government budget and local governments.
2/ Historical discrepancy refers to differences between reported financing and that derived from monetary and debt data. Projected discrepancy
refers to unidentified future financing needs.
""
""
""
""
                                                                                                      INTERNATIONAL MONETARY FUND 35
