V1
                                                                                                                                                                                           DOMINICAN REPUBLIC
""
""
""
"                                      Table 3. Dominican Republic: Public Sector Accounts, 2015-25"
                                                     (In Billions of Dominican Pesos)
                                                                                                                                                                                  Projection

                                                                                                                                                COVID       COVID change
                                                                                        2015        2016      2017        2018         2019                 2020                2021     2022        2023     2024     2025
                                                                                                                                               A. Central Government 1/
Revenue                                                                                  534         484       533         600          657        721      635      -86          710          779     854      944     1025
 Tax revenues                                                                            410         449       493         550          605        663      585      -78          656          720     790      875      948
"   Taxes on income, profits, and capital gains                                           118         135       153         168          192        210      191      -18          193          229     251      289      316"
   Tax on property                                                                         6           6         7           8            9         10        9       -1           10           11      12       13       14
   Taxes on goods and services                                                           255         275       298         334          365        400      346      -54          408          431     474      514      555
     Value-added taxes                                                                   147         159       170         195          214        237      211      -26          254          257     287      310      332
     Excises                                                                              73          76        87          94           99        107       82      -25           98          112     120      131      143
   Taxes on international trade and transactions                                          31          33        35          39           40         44       39       -5           45           49      54       58       64
Social security contriutions                                                               1           2         3           3            3          3        3        0            3            3       3        4        4
Grants 2/                                                                                 96           1         2           1            1          2        1       -1            1            1       1        1        2
Other revenues                                                                            26          32        35          46           48         53       46       -7           50           54      59       65       71
""
Expenditure                                                                              535         592       650         691          757           838      841         3      854       931       1015     1105     1202
 Current spending (expense)                                                              464         531       592         635          694           747      777        30      761       829        903      983     1069
   Compensation of employees                                                             153         151       166         189          204           226      210       -16      226       247        270      295      322
   Use of goods and services                                                              49          49        70          72           85            99      111        12       87       100        109      119      130
   Interest                                                                               74          88        97         110          125           132      140         9      156       165        179      193      207
   Subsidies                                                                              33          29        26          26           32            27       27        -1       32        35         38       41       45
       Electricity                                                                        25          21        18          17           22            19       14        -5       18        20         22       24       26
       Other                                                                               8           8         9           9           10             8       12         4       13        15         16       17       19
   Grants                                                                                 74         106       103         112          124           130      131         1      141       154        169      184      201
   Social benefits                                                                        42          43        49          53           57            63       89        27       57        62         68       74       81
   Other transfers                                                                        39          64        82          74           68            69       68        -1       61        66         71       77       83
 Net acquisition of nonfinancial assets                                                   69          58        68          64           69            91       70       -21      100       109        119      130      142
Primary balance                                                                           73         -20       -21          18           25           -14      -66       -52       11        13         18       33       30
Overall balance                                                                           -1        -108      -117         -92         -100          -117     -206       -89     -145      -152       -161     -161     -177
""
                                                                                                                                    B. Rest of the Non-Financial Public Sector
Overall balance rest of NFPS                                                             -10           10         6         -10         -7      -10       -22      -11       -19               -15     -13       -7       -9
""
                                                                                                                                           C. Non-Financial Public Sector
Overall balance NFPS                                                                     -11          -98     -111        -102         -107    -154      -228       -74          -163      -167       -174     -167     -186
  Primary balance                                                                         69           -7      -11          11           26     -18        -80       -62            0         7         14       37       33
  Interest                                                                                74           88       97         110          125     132       140          9          156       165        179      193      207
""
                                                                                                                                                       D. Central Bank
Quasi-fiscal balance of the central bank                                                 -42          -44       -44         -47         -44          -56       -51          4     -54          -58     -61      -62      -63
  Primary balance                                                                         15           18        25          25          28           31         24        -7      27           32      38       41       45
  Interest                                                                                58           63        69          72          72           87         75       -12      81           90      99      103      108
""
                                                                                                                                              E. Consolidated Public Sector
Overall balance of the Consolidated public sector                                        -54        -142      -155        -149         -150       -183      -279       -96       -218      -225       -236     -229     -249
  Primary balance                                                                         67          -5        -3          19           37         -3       -73       -70         10        22         35       61       61
  Interest                                                                               121         137       152         168          188        206       206         0        228       247        271      290      310
""
Memorandum items:
"  Consolidated Public Sector Debt                                                      1,433       1,625     1,860        2,137       2,445     2664         2,847        183    2,935     3,168      3,435    3,700    3,993"
"     NFPS                                                                              1,148       1,292     1,477        1,679       1,956     2020         2,354        334    2,405     2,602      2,809    3,011    3,234"
     Central Bank                                                                        417         466       515          590         621       776          625       -151      663       698        759      822      891
  Overall balance of the electricity sector 3/                                           -46         -48       -67          -73         -71       -59          -63         -4      -54       -52        -53      -49      -55
"  Nominal GDP                                                                          3,206       3,487     3,803        4,236       4,562     4,988        4,679       -310    5,041     5,503      6,008    6,559    7,162"
Sources: National authorities and IMF staff calculations.
1/ Based on Government Financial Statistics Manual (GFSM) 2014.
2/ Outcome in 2015 reflects the grant element of a debt buy back operation with Venezuela's state owned-oil company (PDVSA) of 3.1 percent of GDP.
3/ Before government transers; it covers the Dominican Corporation of State Electricity Companies (CDEEE).
""
""
""
""
                                                                                                                                                            INTERNATIONAL MONETARY FUND                                         17
