V1
SURINAME
""
""
""
"                      Table 4. Suriname: Central Government Operations, Restructuring Scenario"
                                                   (Percent of GDP)
                                                                                                                                                                          Proj.
                                                                                                       2016         2017        2018    2019    2020    2021    2022    2023      2024    2025    2026
 Revenues                                                                                               17.7         20.1       20.9    20.4    18.4    24.1    26.6    27.6      26.3    25.6    24.9
  Taxes                                                                                                 12.4         13.3       14.6    15.0    13.4    16.5    17.6    18.4      17.4    17.0    16.7
   Direct taxes                                                                                          5.9          7.7        8.0     8.1     7.6     9.6     9.8     9.9       9.3     8.9     8.5
     Of which: mineral taxes                                                                             2.0          2.8        3.5     2.9     3.8     5.8     5.8     5.6       5.2     4.7     4.3
   Indirect taxes                                                                                        6.5          5.6        6.7     6.9     5.8     6.8     7.8     8.5       8.1     8.1     8.2
  Grants                                                                                                 0.0          0.0        0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0     0.0
  Non-tax revenues                                                                                       5.3          6.8        6.3     5.5     5.0     7.6     9.1     9.3       8.9     8.6     8.2
   Of which:
     Mineral resource revenues                                                                            2.8            3.9      3.7     3.3     2.8     5.4     6.8     7.0       6.7     6.3     5.9
     Interest receipts                                                                                    0.0            0.7      0.3     0.0     0.0     0.0     0.0     0.0       0.0     0.0     0.0
""
 Expenditures                                                                                           27.1         27.2       26.2    42.3    31.8    32.0    30.8    27.4      24.8    24.0    23.6
  Primary expenditures                                                                                  24.6         24.0       23.1    39.4    28.1    25.4    24.9    24.1      21.8    21.6    21.3
    Compensation of employees                                                                            7.8          7.1        8.1    10.3    10.5     9.0     7.6     7.1       6.7     6.4     6.1
     Other primary current expenditure                                                                  13.2         12.3       10.9    22.5     15.4    15.3    15.5    14.2      12.2    11.9    12.0
      Of which: cash transfer programs                                                                                                            1.4     1.9     1.9     1.9       1.9     1.9     1.9
    Net acquisition of nonfinancial assets                                                                3.6            4.6      4.1     6.6     2.2     1.1     1.8     2.8       2.8     3.3     3.3
  Interest                                                                                                2.5            3.2      3.1     2.9     3.7     6.7     5.8     3.3       3.1     2.5     2.3
""
 Overall balance (net lending/borrowing) 1/                                                             -9.3         -7.1        -5.2   -21.9   -13.4    -7.9    -4.1     0.2       1.5     1.6     1.3
  Of which: primary balance                                                                             -6.8         -4.6        -2.5   -19.0    -9.7    -1.3     1.7     3.5       4.5     4.0     3.5
""
 Net financial transactions                                                                            -14.0        -11.6        -6.1   -18.4   -18.1    -7.9    -4.1     0.2       1.5     1.6     1.3
 Net acquisition of financial assets 2/                                                                  2.3          0.3        -3.0    -2.8     2.3     0.0     0.0     0.0       0.0     0.0     0.0
 Net incurrence of liabilities                                                                          16.3         11.8         3.0    15.6    20.4     7.9     4.1    -0.2      -1.5    -1.6    -1.3
  Domestic (Net)                                                                                        -1.5          5.2         1.9     6.2    15.6     4.7    -6.3    -5.2      -6.1    -1.2     1.3
   Amortizations                                                                                        -4.2         -1.2        -1.6    -4.0    -2.8    -5.9    -3.5    -5.8      -6.6    -2.2    -1.5
      Central bank                                                                                      -1.6         -0.3         0.0     0.0     0.0     0.0     0.0    -4.3      -1.3     0.0     0.0
      Commercial banks                                                                                  -1.4         -0.3        -1.2    -3.8     0.0    -4.3    -2.8    -1.3      -5.1    -1.1    -1.3
      Suppliers credit                                                                                  -0.5         -0.5        -0.4     0.0     0.0     0.0     0.0     0.0       0.0     0.0     0.0
      Other domestic 3/                                                                                 -0.7         -0.1         0.0    -0.2    -2.8    -1.6    -0.6    -0.2      -0.2    -1.2    -0.1
   Disbursements                                                                                         2.8          6.4         3.5    10.2    18.5    10.6    -2.9     0.6       0.5     1.0     2.8
      Central bank                                                                                      -3.8          1.9        -0.5     4.6    13.0     4.3    -3.7     0.0       0.0     0.0     0.0
        Claims on government                                                                            -0.3         -0.3         0.0     4.4    16.2     0.4     0.0     0.0       0.0     0.0     0.0
        Liabilities to government                                                                        3.4         -2.2         0.5    -0.2     3.3    -3.8     3.7     0.0       0.0     0.0     0.0
      Commercial banks                                                                                   4.5          3.2         3.2     4.0     2.3     6.3     0.9     0.6       0.5     1.0     2.8
      Suppliers credit                                                                                   0.8          0.8         0.8     1.4     0.4     0.0     0.0     0.0       0.0     0.0     0.0
      Other domestic 3/                                                                                  1.2          0.5         0.0     0.2     2.8     0.0     0.0     0.0       0.0     0.0     0.0
  Domestic arrears                                                                                       0.0          0.0         0.0     4.5     2.8    -0.8    -0.6    -0.8      -0.7    -0.6    -0.6
   Accumulation of arrears                                                                               0.0          0.0         0.0     4.5     2.8     0.0     0.0     0.0       0.0     0.0     0.0
   Payment of arrears                                                                                    0.0          0.0         0.0     0.0     0.0    -0.8    -0.6    -0.8      -0.7    -0.6    -0.6
  Foreign (Net)                                                                                         17.8          6.6         1.2     5.0     0.3    -2.6     5.0     7.1       5.3     0.3    -2.0
   Amortizations                                                                                        -5.4         -1.5        -3.5    -2.3    -1.1    -5.5    -4.8    -1.6      -1.5    -1.5    -4.5
