V1
                                                                                                                              REPUBLIC OF SAN MARINO
""
""
""
"Table 2a. San Marino: Statement of Operations for Budgetary Central Government, 2019–27"
                                    (Millions of euros)
                                                                                             Est.                               Proj.
                                                                       2019        2020        2021      2022      2023      2024         2025      2026      2027
""
Revenue                                                                322.5       291.9      324.3     340.6     336.8     348.7        359.9     371.7     383.9
   Taxes                                                               232.8       195.8      251.2     272.6     265.1     272.9        281.8     291.1     300.8
        Income Taxes                                                   131.8       119.4      141.8     149.3     139.9     143.7        148.1     152.8     157.7
        Non-income taxes                                               100.9        76.4      109.4     123.2     125.1     129.3        133.7     138.3     143.1
            Taxes on international trade and transactions               61.9        40.8       68.7      78.2      82.1      85.1         88.1      91.3      94.6
            Other taxes                                                 39.1        35.5       40.7      45.1      43.1      44.2         45.6      47.0      48.5
   Non-tax revenue                                                      89.8        96.2       73.1      68.0      71.7      75.8         78.1      80.6      83.2
Expenditure                                                            324.1       800.3      581.8     392.3     388.9     407.4        410.8     420.4     431.8
   Current Expenditure                                                 304.0       795.9      580.2     379.2     387.9     406.3        409.6     419.1     430.4
       Compensation of employees                                        91.5        85.6       90.4      92.1      94.9      97.7         99.2      99.9     100.8
       Use of goods and services                                        23.2        21.3       23.6      26.2      33.8      27.5         28.3      29.2      30.1
         Interest                                                        5.0        12.9       29.9      23.7      25.6      47.3         44.0      45.3      47.0
       Transfers                                                       181.0       672.9      432.3     230.5     226.7     226.7        230.8     237.1     244.6
            To other general government units                          127.7       164.9      205.9     190.7     188.3     188.3        191.2     197.2     203.5
            Bank Support                                                33.5       484.5      193.7       9.5      15.6      15.4         15.3      15.0      14.8
            To other private sector entities                            19.8        23.5       32.6      30.2      22.8      23.0         24.3      24.8      26.3
       Other expenses (including subsidies)                              3.3         3.2        3.9       6.7       6.9       7.1          7.3       7.5       7.8
   Net acquisition of non-financial assets                              20.1         4.4        1.7      13.1       1.0       1.1          1.2       1.3       1.5
Overall Balance                                                         -1.6      -508.4     -257.6     -51.7     -52.1     -58.7        -50.9     -48.7     -47.9
Memorandum items
Primary Balance                                                          3.4      -495.5      -227.6     -28.0     -26.5     -11.4         -6.9      -3.4      -0.9
Primary Balance net of bank support                                     36.9       -11.0       -33.9     -18.4     -11.0       4.0          8.4      11.6      14.0
Primary Balance net of transfer to the Pension Fund [a]                 42.1      -445.3      -172.7      21.3      29.2      45.5         50.8      54.8      58.1
Pension Fund Balance net of government transfers [b]                   -49.4       -69.9       -69.1     -65.0     -55.5     -51.7        -48.9     -51.2     -56.5
Consolidated Primary Balance 1/                                         -7.3      -515.2      -241.8     -43.7     -26.3      -6.2          1.9       3.6       1.6
Consolidated Primary Balance net of Bank Support 2/                     36.9       -40.4       -57.8     -43.7     -26.3      -6.2          1.9       3.6       1.6
"Public debt (official) 3/                                              373.9       969.0       987.7   1,092.7   1,300.4   1,174.5      1,209.9   1,242.5   1,273.8"
"Public debt 3/ 4/                                                      828.9       969.0     1,275.7   1,325.7   1,533.4   1,407.5      1,442.9   1,475.5   1,506.8"
"Nominal GDP                                                          1,443.7     1,352.4     1,477.4   1,583.2   1,621.5   1,664.7      1,716.2   1,770.7   1,826.9"
Sources: Sammarinese authorities; and IMF staff.
1/ Consolidated primary balance of the central government and the Pension Funds ([a]+[b]);
2/ Bank support from 2022 are transfers to the Pension Fund related to BCIS bailout.
3/ Debt statistics have been corrected backwards for 2014-21 by about 6 percent of GDP.
4/ Central government (official) debt plus Social Security Fund and BNS debt.
""
""
""
""
                                                                                                             INTERNATIONAL MONETARY FUND                        27
