V1
                                                                                                                                                                            BURKINA FASO
""
""
"              Table 5a. Burkina Faso: Consolidated Operations of the Central Government, 2017–23"
                                                 (CFAF billions)
                                                 2017                               2018                                             2019                        2020       2021          2022         2023
                                                                                                                                  Initial Budg.
                                                 Prel.        Budget        EBS/18/11 Suppl. Budg.   Rev. Prog.       EBS/18/11                   Rev. Budg.   Rev. Prog.    Proj.        Proj.        Proj.
                                                                                                                                      Prop.
""
""
"Total revenue and grants                           1,584         2,012          1,822       1,766         1,795           2,043          2,231         1,937       2,117      2,317        2,533        2,741"
" Total revenue                                     1,389         1,757          1,553       1,473         1,473           1,730          1,978         1,697       1,873      2,067        2,268        2,461"
"    Tax revenue                                    1,238         1,608          1,404       1,314         1,314           1,561          1,792         1,511       1,679      1,856        2,040        2,240"
    Of which: Gold Mining CIT                            39         45             45                        45              51                           51          59             68           72           69
    Nontax revenue                                  151            149            149         159           159             169            186           186         193        211          229          221
      Of which: Royalties from gold                      51         46             46                        46              46                           46          52             54           52           50
 Grants                                             194            255            269         292           322             314            253           240         244        250          265          280
   Project                                          120            172            172         174           174             240            159           159         167        167          176          184
   Program                                               74         83             97         118           147              74             93            80          77             82           89           96
""
""
"Expenditure and net lending 1/                     2,146         2,435          2,217       2,163         2,166           2,303          2,497         2,196       2,396      2,619        2,860        3,095"
" Current expenditure                               1,319         1,328          1,372       1,366         1,365           1,378          1,545         1,597       1,618      1,672        1,825        1,930"
   Wages and salaries                               618            631            669         700           700             710            836           836         878        915          945          970
   Goods and services                               174            152            167         152           152             145            155           155         164        161          195          214
   Interest payments                                     70        100            100         100           100             106            108           110         124        139          156          173
     Domestic                                            49         67             67          75            67              82             81            90         101        115          130          144
     External                                            20         34             34          25            33              24             27            20          22             24           26           29
   Current transfers                                457            445            436         414           414             417            446           496        452         457          529          572
" Investment expenditure                             831          1,111            848         801           804             925            959           598        778         947        1,035        1,166"
   Domestically financed                            587            805            542         492           495             540            669           308        487         656          718          822
   Externally financed                              244            306            306         309           309             384            290           290        292         292          317          344
 Net lending                                             -4            -3          -3          -3             -3              0             -6             0            0             0            0            0
""
""
Overall balance 1/                                 -563           -423           -395        -397          -371            -260          -266           -259        -280       -303         -327         -354
 Cash basis adjustment                                   75            0            0           0             0               0              0             0            0             0            0            0
""
""
Overall balance (cash basis)                       -488           -423           -395        -397          -371            -260          -266           -259        -280       -303         -327         -354
""
""
Financing                                           440            423            395         396           371             260           266            259        280         303          327          354
 Foreign financing                                       74        104            133         108           120              96             98           100          82             87      126          141
   Drawings                                         124            162            190         165           171             150           179            171        140         152          193          215
     Project loans                                  124            134            134         134           134             144           131            131        125         125          141          160
     Program loans                                       0          27             56          31            36               6             48            40          16             27           52           56
   Amortization (excl. IMF)                          -50           -57            -57         -57           -50             -54            -80           -71         -59         -64          -67          -74
 Domestic financing                                 366            319            263         288           250             163           167            159         198        215          201          213
   Bank financing                                        95        321            258         135           250             120            170           159         198        215          201          213
     Central bank                                        88            3           16         -18                 0           4             -7            10          13         -17          -14          -11
      of which: IMF net financing                    -11               3           10         -13            20              10               0            9          13         -17          -15          -11
             Disbursements                                4         29             29           8            28              29             29            28          28              0            0            0
             Repayments                              -14           -26            -19         -21             -9            -19            -29           -19         -15         -17          -15          -11
     Commercial banks                                     8        318            242         153           250             117            178           149         185        232          215          224
   Nonbank financing                                270                -2           4         153                 0          43             -3             0            0             0            0            0
Errors and Omissions                                     48
""
""
Financing gap                                             0            0            0           1                 0           0               0            0            0             0            0            0
""
Sources: Burkinabè authorities; and IMF staff estimates and projections.
"1/ Commitment (""engagement"") basis."
""
""
""
""
                                                                                                                              INTERNATIONAL MONETARY FUND                                          39
