V1
  JORDAN
""
""
""
"          Table 2c. Jordan: General Government: Summary of Fiscal Operations, 2020–27   "
"                       (In millions of Jordanian dinars, unless otherwise indicated)"
""
                                                                            2020      2021         2022                 2023              2024      2025      2026      2027
                                                                                       Prel. 4th Rev        Proj. 4th Rev        Proj.     Proj.     Proj.     Proj.     Proj.
""
"A. Total general government revenues:                                      10,664    11,998    13,237     13,442    13,790     14,315    15,079    15,910    16,962    17,850"
   (in percent of GDP)                                                       34.4      37.3      38.8       38.8      38.3       38.8      38.7      38.6      39.0      38.9
"   Central government revenues, excl. grants                                6,238     7,325     8,034      8,234     8,473      8,744     9,391    10,100    10,852    11,436"
   A*. Central government grants                                              791       803       873        815       738        780       696       540       529       503
"   NEPCO                                                                    1,326     1,286     1,479      1,328     1,519      1,420     1,515     1,573     1,623     1,674"
   WAJ                                                                         62        42        69         76        65         72        73        74        75        76
       WAJ Revenues - excluding grants (million JD)                            45        31        34         41        35         42        43        44        45        46
      WAJ grants A**                                                           17        11        35         35        30         30        30        30        30        30
   Water distribution companies                                               234       234       256        256       269        269       283       297       302       307
"   SSC (excluding interest revenues on gov debt holding)                    2,013     2,308     2,524      2,732     2,725      3,030     3,122     3,327     3,581     3,854"
""
"B. Total general government expenditure, inc. use of cash:                 12,415    13,471    14,097     14,427    14,929     15,292    15,944    16,640    17,445    18,196"
   (in percent of GDP)                                                       40.0      41.9      41.2       41.7      41.5       41.4      40.9      40.4      40.1      39.7
"     Central government (excl. interest paid to SSC)                        8,985     9,794    10,156     10,566    10,541     11,027    11,436    11,909    12,484    12,938"
"     NEPCO                                                                  1,415     1,464     1,571      1,549     1,784      1,758     1,810     1,835     1,844     1,850"
   WAJ                                                                       302       291       325        308       377        317       306       294       288       287
   WAJ Total Expenditures (including interest payments)                       143       130       142        136       142        134       136       136       138       139
   Water distribution companies                                               314       348       307        266       317        279       293       307       312       317
"   SSC                                                                      1,399     1,575     1,738      1,739     1,909      1,911     2,099     2,296     2,518     2,803"
    Wages and salaries                                                         17        18        19         20        20         21        22        24        25        27
