V1
                                                                                                                                                                   BURKINA FASO
""
""
""
""
"     Table 5b. Burkina Faso: Consolidated Operations of the Central Government, 2018–25"
                                      (In percent of GDP)
                                              2018                       2019                                 2020                 2021        2022        2023        2024        2025
                                                                       3rd Rev. /                           3rd Rev. /
                                              Act.         3rd Rev.     rebased     Prel.       3rd Rev.     rebased     Proj.     Proj.       Proj.       Proj.       Proj.       Proj.
                                                                          GDP                                  GDP
""
Total revenue and grants                         19.4          24.2         22.3       20.9         24.2         22.9       19.5      20.9        21.2        21.4        21.5        21.7
 Total revenue                                   17.0          21.1         19.3       19.5         20.6         19.5       17.4      18.5        18.8        19.0        19.3        19.5
    Tax revenue                                  15.1          17.5         16.1       16.0         18.0         17.1       15.2      16.5        16.8        17.1        17.4        17.7
      Of which: Gold Mining CIT                      0.5         0.6          0.6       0.6          0.7           0.7       0.6       0.7         0.8         0.8         0.9         0.8
    Nontax revenue                                   2.0        3.6           3.3       3.5          2.6           2.4       2.2       2.0         2.0         1.9         1.9         1.8
      Of which: Royalties from gold                  0.7        0.5           0.5       0.4          0.8           0.8       0.7       0.7         0.7         0.7         0.6         0.6
 Grants                                              2.4        3.2           2.9       1.5          3.6           3.4       2.1       2.4         2.4         2.3         2.3         2.2
   Project                                           1.4        2.0           1.9       0.5          2.8           2.6       1.3       1.6         1.6         1.5         1.5         1.4
   Program                                           1.0        1.2           1.1       1.0          0.8           0.8       0.8       0.8         0.8         0.8         0.8         0.8
""
Expenditure and net lending 1/                   23.6          27.3         25.1       23.7         27.3         25.8       24.5      24.4        24.2        24.4        24.6        24.8
 Current expenditure                             15.4          19.2         17.7       17.9         18.3         17.3       19.0      18.2        17.6        17.1        17.0        17.0
   Wages and salaries                                7.8       10.0           9.2       9.2          9.8           9.3       9.3       9.1         8.8         8.4         8.4         8.4
   Goods and services                                2.2        2.2           2.0       2.2          2.2           2.0       2.5       2.4         2.3         2.2         2.1         2.1
   Interest payments                                 1.1        1.4           1.3       1.3          1.4           1.3       1.3       1.4         1.5         1.5         1.5         1.5
     Domestic                                        0.8        0.9           0.8       1.0          1.1           1.0       1.0       1.1         1.2         1.2         1.2         1.2
     External                                        0.3        0.5           0.5       0.2          0.3           0.3       0.3       0.3         0.3         0.3         0.3         0.4
   Current transfers                                 4.3        5.7           5.2       5.3          4.9           4.7       5.9       5.3         5.0         5.0         4.9         4.9
 Investment expenditure                              8.4        8.1           7.5       6.0          9.0           8.5       5.6       6.2         6.7         7.3         7.5         7.8
