V1
MALI
"Table 2a. Mali: Consolidated Fiscal Transactions of the Government, 2017-25"
(Billions of CFAF)
2017 Ss 2018                      2019                                            2020                                            2021                       2022           2023          2024           2025
"1st                        1st              ""             '          1st              .                            —"
"_ , ~~ Est.           .,  RCF          Proj.          4 Proj.                       Projections"
Review                  Review                                 Review
"Revenue and grants                                             1,790 1,476        2,235       2,173        2,501        2,182        2,025       2,660       2,314       2,450 2665 2,824       3,027"
"Total revenue                                        1646 1,359      1,994     1,982      2,234      1,869      1,884     2,424      2,112     2,260 2447 2,625     2,823"
"Budgetary revenue                                      1480 1,182       1,598      1,571       1,837       1,472       1,488      1,997       1,692      1806 1,961      2,104      2,266"
"Tax revenue®                                               1,354 1,126       1,494      1,496       1,694       1,389        1,427       1,840       1,559       1,714 1,861      1,997       2,150"
Direct taxes                                                           419          340           454          472            525           444            495           581            523           561           617          666           719
"Indirect taxes                                                        934          786         1,040        1,024         1,169           945            932        1,259         1,036        1,152 1,244 1,331         1,431"
VAT                                                                                     524            415              605             551               663              488               616             718              676             754            817            877             946
Excises on petroleum products                   85         88          74         53          65         43          37         66         49         52         55         58         61
Import duties                                              180         150          164         190          205          180          197         220          220         245         264         282          303
Other indirect taxes                                          235          198            269          300            314           311            210           339           226           247          265          282           300
Tax refund                                            -89        -65         -72        -68         -78         -78        -128         -83        -135       -146       -156       -167       -179
Nontax revenue                                          126         56         103          75         143          83           60        157         134          92        100        107        115
Special funds and annexed budgets                  166        177         397        411         397        397         397        426        420        454       486        521         558
Grants                                                                                                    144             117               241              191                267               314                140              236               202              190             218             199              203
Projects grants                                                          81             68            147            79            156            163              s&           120            156           101           109          118           131
Budgetary support                                                           63              49               94            112              111              150                54            116               46              89            109              81               73
Of which: General                                                 49            43              83           104            103            139              37           107             42             79            97            72             62
Of which: Sectoral                       14       6       11       8        9      11       17       9       4      10      11       9      11
"Total expenditure and net lending*                      2,045       1,926        2,531       2,344        2,883        2,829        2,582       3,041        2,903       2,971       3,099 3,222       3,453"
"Budgetary expenditure                                            1,890 1,755         2,144        1,939         2,492         2,438         2,192        2,615         2,483        2,517 2,613 2,701         2,895"
"Current expenditure                                          1,105       1,141         1,318       1,281         1,479        1,629         1,573        1,586        1,680        1,802       1,939 2,075        2,223"
"Wages and salaries                                    433        471          576        517         636         641          615        684         758        820        878        940      1,007"
Debt service (percent of revenues)                   298         272          300         293           361           394           321          388          406          439         470         503          539
Transfers and subsidies                               300        313         342        366         361         473         517         388         375         367        393        421         451
Interest                                                                          74             84             101            104             120            120             121             126             141             176           198           211            226
"Capital expenditure                                       785        615         826        658       1,013         809          618       1,029         803         715        673        626         673"
Externally financed                                           253          147           247          192           359           369           187          338           348          341          367         390          424
Domestically financed                                       531          468           579          466           655           440           431           691           455          374         307         236          249
Special funds and annexed budgets                  166        177         397        411         397        397         397        426        420        454       486       521         558
Net lending                                                     -10          -7          -10          -6            -6           -6            -6            0            0            0           0           0            0
Overall balance (accrual basis)                         -255      -450       -296      -171       -382      -646       -558      -381       -589      -521      -434      -398      -427
Adjustment to cash basis                                        23          81          -71         -90          -14           12           43          10           18          13          12          13          14
Overall balance (cash basis)                               -232      -368       -367      -261        -396       -634       -515       =372       -571       -508      -422      -385       -413
Financing                                                                                           232             368              367             261               396              634               515              372              571              508            422             385             413
External financing (net)                                      155         44         283        304         135         139          59        169          63        232        250       267        338
Loans                                                                                                 206                97               364              377               248               252                157              259               192              393             420             450              482
Project loans                                                       157            74             89          105            194           194             95          209           189          230          246          264          282
Budgetary loans                                                                 50               23              275             271                 54                58                 62                50                   3             163            174            187             200
Amortization                                                   -70         -72          -99         -91         -122        -122        -107         -99        -137        -169       -179       -191        -144
Debt relief                                                     18         19           18          18            9            9            9           9            9           9           9           8           0
Variation of External Arrears (Principal)                  0           0             0            0             0            0             0            0            0            0           0           0            0
Domestic financing (net)                                                      78          324              84           -43            261             198            456           203            508           276           172           118             75
Banking system                                             161        184         140      -189         137        162         479        179        372        189         86         21         -18
Central bank                                          57        42        -25      -218         70       120        189        20         52          2       -21       -28       -49
Of which: IMF (net)                                               9           58           -14             5             20             25           120            20            52             2          -21          -28          -49
Commercial banks                                               29        211          172          30            67           42          290         159          320         187         107          50           30
Adjustment?                                                    -60          69             7            0             0            0             0            0            0            0           0           0            0
Privatization receipts                                    -10         -8        -20       -14         30         30          -4          0         65          0          0          0          0
Other financing                                                         -73          149           -36          160             95              6           -19            24            71            87           86           97            93
Financing gap                                                         0           0             0            0             0        -298             0            0            0            0           0           0            0
Memorandum items:
"Nominal GDP                                                              8922 9482 10214 10140 10895 10427 10,138 11,732 10,704 11,573 12,394 13,274 14217"
"Overall balance (accrual, excl. grants)                  -399       -567        -537       -362        -649        -960        -698       -618        -790       -711       -652       -597       -630"
Sources: Ministry of Economy and Finance; and IMF staff estimates and projections.
"' IMF Country Report No. 20/8, Mali: First Review Under the Extended Credit Facility Arrangement."
"? IMF Country Report No. 20/153, Mali: Requests for Disbursement Under the RCF and Rephasing of Access Under the ECF."
? The baseline scenario does not yet assume the tax reform measures that will be finalized ahead of the 2022 budget.
* Accrual basis.
> Adjustment to account for the difference between the definitions of the government in the fiscal table and the monetary situation.
32 INTERNATIONAL MONETARY FUND
