V1
                                                                                                                                                HONDURAS
""
""
""
       Table 3. Honduras: Statement of Operations of the Nonfinancial Public Sector
                                   (In percent of GDP)
                                                      Actual                 2019                   2020                       Projections
                                                    2017     2018       Revised   Prelim.   Program        Proj.   2021    2022    2023      2024    2025
Revenue                                             31.9       31.5        31.7     31.2         31.9      29.5    30.6    31.6     31.8     32.1    32.3
 Taxes                                               18.7      18.9        18.2      18.3         18.5      16.5    17.6    18.4    18.5      18.6    18.7
       Taxes on income                                6.2       6.3         5.7       5.7          5.6       4.9     4.9     5.7     5.7       5.7     5.7
       Taxes on property                              0.1       0.1         0.1       0.1          0.1       0.1     0.1     0.1     0.1       0.1     0.1
       Taxes on goods and services                   10.8      10.8        10.7      10.6         11.2       9.6    10.6    10.6    10.6      10.7    10.8
       Taxes on foreign trade                         0.8       0.8         0.7       0.7          0.7       0.6     0.8     0.8     0.8       0.8     0.8
       Other taxes                                    0.9       0.9         0.9       1.3          0.9       1.3     1.3     1.3     1.3       1.3     1.3
 Social contributions                                 3.3       3.4         3.6       3.4          3.6       3.7     3.7     3.7     3.7       3.7     3.7
 Grants                                               0.6       0.7         0.7       0.7          0.6       0.6     0.7     0.6     0.5       0.5     0.6
 Other revenue                                        9.3       8.5         9.3       8.8          9.2       8.7     8.6     8.9     9.1       9.4     9.4
Expenditure                                         32.7       32.4        32.7     32.0         32.9      33.5    33.6    32.5     32.8     33.1    33.1
 Expense                                            28.2       28.1        28.8     28.3         28.7      29.6    29.2    28.1     28.0     28.2    28.4
   Compensation of employees                         11.2      11.3        11.2      11.3         11.4      11.8    11.5    11.8    11.4      11.3    11.3
   Purchases of goods and services                    8.3       8.2         8.5       8.7          8.2       8.7     8.4     7.7     8.0       8.2     8.2
   Interest                                           2.4       2.4         2.6       2.3          2.6       2.8     3.1     3.0     2.9       2.9     3.0
     Domestic                                         1.4       1.3         1.4       1.2          1.5       1.6     2.0     2.0     2.0       2.1     2.2
     Foreign                                          1.0       1.2         1.2       1.1          1.1       1.2     1.1     1.0     0.9       0.8     0.8
   Subsidies                                          0.0       0.1         0.1       0.1          0.0       0.0     0.0     0.0     0.0       0.0     0.0
   Social benefits                                    4.1       3.7         4.2       3.8          4.4       4.3     4.0     3.9     4.0       4.2     4.2
   Other expense                                      2.2       2.3         2.3       2.2          2.2       2.1     2.2     1.8     1.7       1.7     1.8
     Current                                          0.3       0.3         0.2       0.4          0.2       0.3     0.2     0.2     0.2       0.2     0.2
     Capital                                          1.8       2.0         2.1       1.7          1.9       1.8     2.0     1.6     1.5       1.5     1.5
  Net acquisition of nonfinancial assets              4.4       4.4         3.9       3.8          4.2       3.9     4.4     4.4     4.8       4.8     4.8
Gross Operating Balance                               3.6       3.4         2.9       2.9          3.2      -0.1     1.4     3.4     3.8       3.9     3.9
Net lending (+)/borrowing (-)                        -0.8      -0.9        -1.0      -0.9         -1.0      -4.0    -3.0    -1.0    -1.0      -0.9    -0.9
Net financial transactions                           -0.8      -0.9        -1.0      -0.9         -1.0      -4.0    -3.0    -1.0    -1.0      -0.9    -0.9
 Net acquisition of financial assets                  0.4       1.9         1.0       1.6          0.4       1.2     1.0     1.5     1.1       1.0     1.0
   Foreign                                            0.0       0.1         0.0       0.2          0.0       0.0     0.0     0.0     0.0       0.0     0.0
     Currency and deposits                            0.0       0.1         0.0       0.2          0.0       0.0     0.0     0.0     0.0       0.0     0.0
     Loans                                            0.0       0.0         0.0       0.0          0.0       0.0     0.0     0.0     0.0       0.0     0.0
     Other accounts receivable                        0.0       0.0         0.0       0.0          0.0       0.0     0.0     0.0     0.0       0.0     0.0
