V1
                                                                                                                                                                                    ANGOLA
""
""
""
"                      Table 2b. Angola: Statement of Central Government Operations, 2019–23"
"                                                        (Percent of GDP, unless otherwise indicated)"
                                                                                        2019                      2020                     2021                      2022             2023
                                                                                 2nd Rev.        Prel.    2nd Rev.         Proj.    2nd Rev.        Proj.    2nd Rev.       Proj.       Proj.
Revenue                                                                              19.8        20.0          20.9       17.9          21.5        19.7          21.7      20.2       20.1
 Taxes                                                                               18.5        18.6          19.8       16.8          20.5        18.6          20.6      19.1       19.0
   Oil                                                                               12.4        12.1          13.4       10.2          12.9        11.4          12.6      11.4       11.1
   Non-oil                                                                            6.1         6.5           6.4        6.6           7.5         7.1           8.0       7.7        7.9
 Social contributions                                                                 0.7         1.0           0.7        0.7           0.7         0.7           0.7       0.7        0.7
 Grants                                                                               0.0         0.0           0.0        0.0           0.0         0.0           0.0       0.0        0.0
 Other revenue                                                                        0.6         0.5           0.3        0.5           0.3         0.5           0.3       0.5        0.5
""
Expenditure                                                                          18.8        19.2          20.0       20.7          19.9        19.8          19.8      19.3       18.5
  Expense                                                                            15.9        15.8          17.0       17.9          16.7        16.8          16.6      16.0       15.1
    Compensation of employees                                                         6.0         6.1           5.4        6.2           5.4         5.8           5.5       5.5        5.2
    Use of goods and services                                                         2.3         2.6           2.9        2.8           2.9         2.9           2.9       2.9        2.9
    Interest                                                                          5.4         5.2           6.6        6.8           6.2         6.2           5.9       5.7        5.0
      Domestic                                                                        2.4         2.4           3.0        2.9           2.9         2.4           2.6       2.0        1.5
      Foreign                                                                         2.9         2.8           3.6        3.8           3.4         3.8           3.3       3.7        3.5
    Subsidies                                                                         0.5         0.2           0.6        0.7           0.4         0.4           0.4       0.4        0.4
    Other expense                                                                     1.9         1.6           1.5        1.4           1.8         1.4           1.8       1.5        1.5
  Net investment in nonfinancial assets                                               2.8         3.5           3.1        2.8           3.2         3.0           3.3       3.3        3.4
""
Net lending (+) / Net borrowing (-)                                                    1.0        0.8           0.8        -2.8           1.6       -0.1           1.9       1.0         1.7
""
Statistical discrepancy                                                                0.0         0.4           0.0        0.0           0.0         0.0           0.0      0.0         0.0
""
Net acquisition of financial assets (+: increase)                                      0.1       -2.2          -2.9        -6.9          -0.1       -2.5          -1.0      -0.6         0.6
