V1
                                                                                                                       MALTA
""
""
"                    Table 2. Malta: Fiscal Developments and Projections, 2020–2026"
"                               (Percent of GDP, unless otherwise indicated)"
""
                                                                                          Projections
                                                            2020      2021      2022      2023       2024     2025      2026
Revenue                                                      36.8      36.6      36.2      35.9      35.7      35.6      35.6
  Taxes                                                      24.3      24.0      24.2      24.4      24.6      24.6      24.6
    Indirect taxes                                           10.8      10.7      10.8      10.9      11.0      11.0      11.0
    Direct taxes                                             13.3      13.1      13.3      13.3      13.4      13.4      13.4
    Other taxes (capital taxes)                               0.2       0.2       0.2       0.2       0.2       0.2       0.2
  Social contributions                                        6.6       6.4       6.3       6.2       6.1       6.1       6.1
  Grants and Capital revenue                                  1.4       1.8       1.5       1.4       1.4       1.4       1.4
  Other revenue                                               4.5       4.4       4.2       3.9       3.6       3.5       3.5
Expenditure                                                  47.0      48.4      42.7      40.7      39.2      38.7      38.3
  Expense                                                    42.4      43.3      38.1      36.3      35.2      34.8      34.4
    Compensation of Employees                                12.3      12.5      12.1      11.8      11.6      11.6      11.5
    Use of goods and services                                 9.6       9.9       8.8       8.5       8.1       7.9       7.8
    Interest                                                  1.3       1.4       1.2       1.2       1.2       1.2       1.2
    Subsidies                                                 5.1       4.3       1.6       1.5       1.4       1.3       1.3
    Social benefits                                          10.6      10.4       9.9       9.7       9.5       9.4       9.3
    Other expense                                             3.5       4.9       4.5       3.6       3.4       3.3       3.2
  Net acquisition of nonfinancial assets                      4.6       5.0       4.6       4.4       4.0       4.0       4.0
Gross Operating Balance                                      -5.6      -6.8      -1.9      -0.4       0.6       0.8       1.2
Net lending/borrowing (overall balance)                     -10.2     -11.8      -6.5      -4.8      -3.5      -3.2      -2.8
Memorandum items:
  Overall balance excl. one-offs                            -10.2     -11.8      -6.5      -4.9      -3.5      -3.2      -2.8
  Overall balance excl. CBI proceeds                        -11.1     -12.5       -7.1      -5.4      -4.1      -3.6      -3.2
  Cyclically adjusted overall balance                         -7.3      -9.4      -5.2      -4.2      -3.2      -3.1      -2.8
  Structural balance 1/                                       -7.3      -9.4      -5.3      -4.2      -3.3      -3.1      -2.8
  Structural balance excl. CBI proceeds 1/                    -8.1    -10.1       -5.9      -4.9      -3.9      -3.6      -3.2
  Cyclically adjusted primary balance                         -6.0      -8.0      -4.0      -3.0      -2.0      -1.9      -1.5
  Structural primary balance 1/                               -6.0      -8.1      -4.1      -3.0      -2.1      -1.9      -1.5
  Structural primary balance excl. CBI proceeds 1/            -6.8      -8.8      -4.7      -3.7      -2.7      -2.3      -1.9
  Primary balance                                             -8.9    -10.4       -5.2      -3.6      -2.3      -1.9      -1.5
  One-offs                                                     0.0       0.0       0.1       0.1       0.1       0.0       0.0
  Public debt                                                54.8      64.6      66.9      68.1      67.9      67.3      66.7
  Government guaranteed debt                                   9.2       9.7       8.5       7.3       6.0       5.7       5.4
"  Nominal GDP (millions of euros)                          12,701    13,605    14,672    15,650    16,660    17,635    18,594"
Sources: Maltese authorities; and IMF staff projections.
1/ As a percentage of Nominal Potential GDP.
""
""
""
""
                                                                                INTERNATIONAL MONETARY FUND 31
