V1
      SENEGAL
""
""
""
"              Table 5. Senegal: Central Government Operations, GFSM 2001 Classification, 1 2019–26"
                                                (percent of GDP)
                                                                                 2019               2020                   2021                    2022        2023      2024         2025       2026
                                                                                            EBS/20/191       Proj. EBS/20/191           Proj.                        Projections
Revenue and Grants                                                                  20.4         21.1        20.0        20.6           20.2          21.0        22.0     23.0          23.9       23.9
    Taxes                                                                            17.6         16.8       16.7           17.1         17.1          18.1       19.3      20.4         21.5       21.5
      Hydrocarbon Taxes                                                                …            …           …             …            …            0.0        0.3         0.5         1.0       0.6
      Non-Hydrocarbon Taxes                                                          17.6         16.8        16.7          17.1         17.1          18.1       19.0        19.9        20.5      21.0
       Direct Taxes                                                                   5.6          5.1         5.4           4.6          5.2           5.8         6.9        7.5         8.4           8.3
       Taxes on goods and services                                                    9.1          9.2         8.7           9.7          9.2           9.6         9.7        9.9        10.0      10.0
       Taxes on international trade and transactions                                  2.7          2.2         2.4           2.6          2.4           2.5         2.5        2.7         2.9       3.0
       Other taxes                                                                    0.3          0.3         0.2           0.3          0.3           0.2         0.2        0.2         0.2           0.2
    Grants                                                                            1.6          3.2         2.3           2.2          1.9           2.1         1.9        1.7         1.5           1.5
     Budget                                                                           0.1          1.4         1.4           0.4          0.4           0.5         0.4        0.3         0.1           0.1
      Projects                                                                        1.5          1.9         0.9           1.8          1.5           1.5         1.5        1.4         1.4           1.4
 Other revenue                                                                       1.1          1.1         1.1           1.3          1.2           0.8         0.8        0.8         0.8        0.8
Expenditure                                                                         24.3         27.6        26.4          25.5         25.7          25.2        24.9       26.0        26.9       26.9
    Expense                                                                          15.8         17.5        17.1          14.9         15.6          15.4       15.0        14.5        14.6      14.6
      Compensation of employees                                                       5.4          5.8         5.7           6.0          6.2           6.2         6.3         6.3        6.3           6.3
       of which: youth employment program                                               …           …           …              …          0.1           0.2         0.2          …           …            …
      Use of goods and services                                                       2.1          2.2         2.0           2.1          2.2           2.2         2.1        2.1         2.1           2.1
      Interest                                                                        1.9          2.2         2.0           2.2          2.2           2.1         2.1        2.0         2.1           2.2
       Foreign                                                                        1.5          1.7         1.8           1.6          1.5           1.2         1.5        1.5         1.5           1.5
       Domestic                                                                       0.4          0.5         0.3           0.6          0.7           1.0         0.5        0.6         0.6           0.7
      Subsidies                                                                       2.2          3.4         3.3           1.8          2.3           1.9         1.5        1.0         1.0           0.9
      Grants (current excl. FSE)                                                      2.7          2.7         2.7           1.7          1.7           1.7         1.7        1.7         1.7           1.7
      Social benefits                                                                 0.1          0.2         0.2           0.1          0.1           0.2         0.3        0.3         0.4           0.4
      Other expense                                                                   1.5          1.0         1.3           1.0          1.0           1.1         1.1        1.1         1.1           1.1
                                               2
    Net acquisition of nonfinancial assets                                            8.5         10.2         9.3          10.6         10.1           9.7       10.0        11.5        12.2      12.3
     Domestically financed                                                            4.1          4.9         5.3           4.9          4.9           4.8        5.3         7.0         7.8       8.0
      Externally financed                                                             4.4          5.3         3.9           5.6          5.2           5.0         4.6        4.5         4.4           4.3
Net lending/borrowing (Overall balance)                                              -3.9         -6.5        -6.4          -4.9         -5.4          -4.2        -3.0       -3.0        -3.0       -3.0
      DSSI - Interest                                                                   …           …          0.0           0.1          0.1             …           …          …           …            …
      Vaccination campaign                                                              …           …           …              …          0.3           0.2           …          …           …            …
                                                                           3
Net lending/borrowing (excl. exceptional one-off operations)                         -3.1        -6.4        -6.3           -4.8         -5.1          -4.0       -3.0        -3.0        -3.0      -3.0
Transactions in financial assets and liabilities (Financing)                         -3.9        -6.5        -6.4           -4.9         -5.4          -4.2       -3.0        -3.0        -3.0      -3.0
    Net acquisition of financial assets                                              -2.1         -0.2         1.2           0.0          0.0           0.0         0.0        0.0         0.0           0.0
      Domestic                                                                       -2.1         -0.2         1.2           0.0          0.0           0.0         0.0        0.0         0.0           0.0
       Currency and deposits                                                         -2.1         -0.7         0.8           0.0          0.0           0.0         0.0        0.0         0.0           0.0
       Other accounts receivable                                                      0.0          0.5         0.3           0.0          0.0           0.0         0.0        0.0         0.0           0.0
      Foreign                                                                         0.0          0.0         0.0           0.0          0.0           0.0         0.0        0.0         0.0           0.0
    Net incurrence of liabilities                                                     1.8          6.3         7.3           4.9          3.5           3.3         3.0        3.0         3.0           3.0
     Domestic                                                                        -1.2          1.9         3.9           0.6          0.5           0.9         0.8        0.5         1.1           0.3
       IMF and SDRs                                                                  -0.1          1.9         1.9           0.0          0.0           0.0        -0.2       -0.5        -0.7       -0.6
       Debt securities (net)                                                          0.0          1.1         2.3           0.9          0.9           1.1         1.3        1.3         2.0        1.2
       BOAD                                                                           0.0          0.0         0.1          -0.1         -0.1          -0.1        -0.1       -0.1        -0.1       -0.1
       Loans                                                                          0.0         -0.3        -0.5          -0.2         -0.3          -0.2        -0.1       -0.1        -0.1       -0.1
       Other accounts payable 4                                                      -0.7         -0.9         0.2           0.0          0.0           0.0         0.0        0.0         0.0           0.0
      Foreign                                                                         3.0          4.4         3.4           4.3          3.0           2.4         2.2        2.5         1.9           2.7
       Debt securities (net)                                                         -1.4          2.4         1.2           2.0          1.2           0.3         0.0        1.7        -0.3           1.4
         T-bills and bonds issued in WAEMU                                           -1.4          2.4         1.2           2.0          1.2           0.3         0.0        0.0        -0.3           0.1
        Eurobond                                                                      0.0          0.0         0.0           0.0          0.0           0.0         0.0        1.7         0.0        1.3
       Loans                                                                          4.5          1.7         2.2           2.0          1.8           2.1         2.2        0.8         2.3        1.3
        Program loans                                                                 1.9          1.3         1.4           0.6          0.6           0.6         0.6        0.5         0.5        0.5
        Project loans                                                                 2.9          3.4         3.0           3.8          3.7           3.4         3.2        3.1         3.0        2.9
        Nonconcessional loans                                                         0.9          0.0         0.0           0.0          0.0           0.4         0.5        0.5         0.6        0.6
