V1
THE GAMBIA
""
""
""
"                             Table 3. Statement of Central Government Operations, 2018–25"
                                                                        (Percent of GDP)
                                                             2018             2019                       2020            2021   2022    2023     2024   2025
""
                                                                Act. EBS/19/26         Prel.    Budget           Proj.             Projections
""
""
 Revenue                                                        15.4      20.8         22.2       24.4          22.9     22.5   22.0    21.6     21.3   21.3
 Domestic revenues                                              12.1      13.1         14.4       13.6          13.7     14.0   14.3    14.6     15.0   15.2
  Taxes                                                         10.4      11.2         11.3       11.6          11.6     11.9   12.2    12.5     12.9   13.1
"    Taxes on income, profits, and capital gains                  2.6       2.8          3.0        2.9           2.9      3.0    3.1     3.2      3.4    3.5"
    Domestic taxes on goods and services                         5.1       5.5          5.5        5.5           5.7      5.8    5.9     6.0      6.1    6.2
    Taxes on international trade and transactions                2.7       2.9          2.8        3.1           3.0      3.1    3.2     3.3      3.3    3.4
    Other taxes                                                  0.0       0.0          0.0        0.0           0.0      0.0    0.0     0.0      0.0    0.0
  Non-tax                                                        1.7       1.9          3.1        2.0           2.1      2.1    2.1     2.1      2.1    2.1
  Grants                                                         3.3       7.7          7.8       10.8           9.3      8.5    7.7     7.0      6.3    6.1
    Budget support                                               1.0       3.5          3.1        2.7           3.2      2.5    2.2     1.9      1.6    1.5
    Project support                                              2.3       4.2          4.7        8.1           6.0      6.0    5.5     5.1      4.8    4.5
""
 Expenditures                                                   21.6      23.9         24.8       28.3          24.6     24.2   23.4    22.7     22.0   21.7
  Expenses                                                      14.0      15.1         15.0       14.8          14.3     14.1   13.9    13.9     13.9   13.5
    Compensation of employees                                    3.9       4.8          4.5        4.5           4.5      4.5    4.5     4.5      4.5    4.5
    Use of goods and services                                    3.9       3.8          3.6        3.1           3.0      3.1    3.2     3.4      3.7    3.9
    Interest                                                     3.2       3.2          3.2        2.9           2.7      2.5    2.2     2.2      2.0    1.9
      External                                                   0.5       0.5          0.4        0.7           0.5      0.5    0.5     0.4      0.4    0.5
      Domestic                                                   2.6       2.7          2.8        2.2           2.2      2.1    1.7     1.7      1.5    1.4
    Subsidies and transfers                                      3.1       3.3          3.7        4.3           4.1      4.0    4.0     3.9      3.8    3.2
      Of which : Subsidies to SOEs                               0.5       1.0          0.6        0.6           0.6       …      …       …        ….     ….
         NAWEC                                                   0.3       0.6          0.1        0.5           0.3       …      …       …        ….     ….
         NFSPMC                                                  0.2       0.4          0.5        0.1           0.3       …      …       …        ….     ….
  Net acquisition of nonfinancial assets                         7.6       8.9          9.8       13.5          10.3     10.2    9.5     8.8      8.1    8.2
    Acquisitions of nonfinancial assets                          7.6       8.9          9.8       13.5          10.3     10.2    9.5     8.8      8.1    8.2
        Foreign financed1                                        7.0        7.9         9.1       12.2           9.0      8.6    7.9     7.4      6.8    7.0
        Gambia local fund                                        0.6        1.0         0.8        1.3           1.3      1.5    1.6     1.4      1.3    1.1
""
 Net lending (+)/borrowing (–)                                  -6.2       -3.2        -2.6       -3.9          -1.7     -1.8   -1.4     -1.1    -0.7   -0.4
""
 Financing                                                       5.7        3.2         2.9        3.9           1.7      1.8    1.4     1.1      0.7    0.4
""
     Net acquisition of financial assets                         0.1        0.0        -0.4        0.0          -0.3      0.0    0.0     0.0      0.0    0.0
""
     Net incurrence of liabilities                               5.6        3.2         3.2        3.9           2.0      1.8    1.4      1.1     0.7    0.4
      Domestic                                                   3.0        1.6         0.5       -0.2           0.0      0.0    0.0      0.0     0.0    0.0
          Net borrowing                                          3.3        2.0         1.2        0.0           0.5      0.0    0.0      0.0     0.0    0.0
           Bank                                                  2.5        1.5         1.3         …            0.5      0.0    0.0      0.0     0.0    0.0
           Nonbank                                               0.8        0.5        -0.1         …            0.0      0.0    0.0      0.0     0.0    0.0
          Domestic Amortization                                   …          …           …        -0.5            …        …      …        …       …      …
          Change in arrears                                     -0.3       -0.4        -0.7       -0.3          -0.5      0.0    0.0      0.0     0.0    0.0
          Capital revenues                                        …          …           …         0.6            …        …      …        …       …      …
      Foreign                                                    2.6        1.6         2.7        4.1           2.0      1.8    1.4      1.1     0.7    0.4
       Loans                                                     2.6        1.6         2.7        2.1           2.0      1.8    1.4      1.1     0.7    0.4
          Borrowing                                              4.7        3.7         4.4        4.0           3.0      2.6    2.4      2.3     2.1    2.5
           Budget support                                        0.0        0.0         0.0        0.0           0.0      0.0    0.0      0.0     0.0    0.0
           Project support                                       4.7        3.7         4.4        4.0           3.0      2.6    2.4      2.3     2.1    2.5
          Amortization                                          -2.1       -2.1        -1.7       -2.0          -1.0     -0.9   -1.0     -1.2    -1.3   -2.1
          Exceptional Financing                                   …          …           …         2.0            …        …      …        …       …      …
""
 Statistical discrepancy                                         0.5        0.0        -0.3        0.1           0.0       …      …        …       …      …
""
 Memorandum items:
  Primary balance                                               -3.0       0.0          0.6       -1.0           1.0      0.8    0.8     1.1      1.3    1.5
  Domestic Primary balance                                       0.6       0.1          1.8        1.0           0.8      0.9    1.0     1.5      1.8    2.5
  Primary balance (ex. budget support grants)                   -4.1      -3.5         -2.5       -3.7          -2.2     -1.7   -1.4    -0.8     -0.3    0.0
  Total debt                                                    86.6      81.8         81.4       72.0          75.8     70.8   66.6    62.7     58.5   54.4
   of which: Domestic public debt                               39.2      37.2         36.6       32.4          32.9     29.5   26.6    24.2     22.1   20.1
     Interest payments as a percent of govt. revenue            26.1      24.3         22.3       21.6          19.9     18.1   15.3    14.9     13.2   12.6
""
 Sources: The Gambian authorities; and IMF staff estimates and projections.
 1
"     Calculated as the sum of project grants, external project loans, and changes in project accounts."
""
""
""
""
28       INTERNATIONAL MONETARY FUND
