V1
THE GAMBIA
""
""
""
""
"                     Table 3. The Gambia: Statement of Central Government Operations, 2018–25"
                                                                                       (Percent of GDP)
                                                                 2018          2019                  2020                        2021                   2022       2023      2024      2025
""
                                                                  Act.         Prel.     EBS/20/43           Proj.   EBS/20/43    Proj.    Budget                 Projections
""
""
Revenue                                                           15.1          21.0          22.5          23.6        22.0       21.5       23.9       21.6       21.5        21.0   20.9
Domestic revenues                                                 11.8          13.9          13.1          13.3        13.8       14.1       13.4       13.8       14.3        14.6   14.9
 Taxes                                                            10.1          10.9          11.1          10.4        11.8       11.2       10.5       11.6       12.0        12.4   12.7
"   Taxes on income, profits, and capital gains                     2.5           2.9           2.9           2.7         3.0        2.8        2.6        3.0        3.2         3.4    3.5"
   Domestic taxes on goods and services                            4.9           5.3           5.4           5.0         5.7        5.3        5.2        5.3        5.4         5.6    5.8
   Taxes on international trade and transactions                   2.6           2.7           2.8           2.7         3.1        3.1        2.7        3.3        3.3         3.4    3.5
 Non-tax                                                           1.7           3.0           2.0           2.9         2.1        2.9        2.9        2.3        2.3         2.2    2.2
 Grants                                                            3.3           7.1           9.3          10.3         8.2        7.4       10.2        7.8        7.2         6.4    6.0
   Budget support                                                  1.0           3.1           3.3           4.9         2.6        2.4        2.3        2.4        1.9         1.6    1.6
        Of which : CCRT1                                            …             …             …            0.2          …         0.3        0.3        0.0        …          …       …
     Project support                                               2.3           4.0           6.0           5.4         5.6        5.1        8.1        5.4         5.3       4.8     4.4
        Of which : COVID-19 assistance                              …             …            0.5           0.5          …          …          …          …         …          …       …
        Of which : Social assistance                                …             …             …            0.7          …         0.4         …         0.2       0.1         …       …
""
Expenditures                                                      21.1          23.6          25.1          25.2        23.9       25.4       29.5       23.6       22.7        21.8   21.2
 Expenses                                                         13.7          14.5          15.9          17.4        14.2       15.4       15.1       13.8       13.1        13.1   12.8
   Compensation of employees                                       3.8           4.3           4.7           4.3         4.5        4.6        4.6        4.1        4.1         4.1    4.1
