V1
THE GAMBIA
""
""
""
"                  Table 3. The Gambia: Statement of Central Government Operations, 2019–26"
                                                                                    (Percent of GDP)
                                                                    2019                  2020                         2021                   2022       2023       2024     2025      2026
""
                                                                      Act.    EBS/20/197          Prel.   EBS/20/197     Proj.   Budget                        Projections
""
""
 Revenue                                                             21.0          23.6          21.9         21.5        21.5       24.1     21.9       21.7       21.0        20.7   20.7
 Domestic revenues                                                   13.9          13.3          13.8         14.1        13.8       13.6     14.0       14.4       14.5        14.7   14.9
  Taxes                                                              10.9          10.4          10.5         11.2        10.9       10.6     11.6       12.0       12.2        12.4   12.7
"    Taxes on income, profits, and capital gains                       2.9           2.7           2.9          2.8         2.6        2.6      3.0        3.2        3.4         3.5    3.6"
    Domestic taxes on goods and services                              5.3           5.0           5.0          5.3         5.2        5.2      5.3        5.5        5.5         5.6    5.7
    Taxes on international trade and transactions                     2.7           2.7           2.6          3.1         3.1        2.8      3.3        3.4        3.3         3.3    3.3
  Non-tax                                                             3.0           2.9           3.3          2.9         2.9        3.0      2.3        2.3        2.3         2.3    2.3
  Grants                                                              7.1          10.3           8.1          7.4         7.7       10.3      8.0        7.3        6.5         6.0    5.7
    Budget support                                                    3.1           4.9           4.7          2.4         2.3        2.3      2.4        2.0        1.6         1.6    1.5
          Of which : CCRT1                                             …            0.2           0.2          0.3         0.2        0.2       0.1       …          …          …
       Project support                                                4.0           5.4           3.4          5.1         5.4        8.2       5.6        5.4       4.9        4.5     4.2
          Of which : COVID-19 assistance                               …            0.5           0.5           …           …          …         …        …          …          …       …
          Of which : Social assistance                                 …            0.7           0.7          0.4         0.4         …        0.2      0.1         …          …       …
""
 Expenditures                                                        23.6          25.2          24.0         25.4        25.5       29.9     24.0       22.9       21.6        21.0   20.8
  Expenses                                                           14.5          17.4          17.2         15.4        15.3       15.3     14.1       13.3       12.9        12.7   12.5
    Compensation of employees                                         4.3           4.3           4.1          4.6         4.6        4.6      4.1        4.1        4.1         4.1    4.1
    Use of goods and services                                         3.5           4.3           3.9          3.9         3.8        3.5      3.6        3.6        3.7         3.7    3.8
