V1
INDIA
""
""
""
""
"                       Table 5. India: General Government Operations, 2017/18-2022/23   "
                                                                   2017/18       2018/19       2019/20       2020/21        2021/22      2022/23
                                                                                                                          Projections
                                                                                                     (In percent of GDP)
Revenue                                                                 20.0          20.0          19.7          18.3          19.2         19.5
 Taxes                                                                   17.6          17.4          16.7          16.1          16.6         16.7
 Grants                                                                   0.0           0.0           0.0           0.0           0.0          0.0
 Other revenue                                                            2.3           2.5           2.9           2.2           2.6          2.7
Expenditure                                                             26.2          26.3          27.1          31.1          30.4         29.2
 Expense                                                                 22.4          22.4          23.1          26.9          26.1         25.0
     of which: interest                                                   4.8           4.8           4.7           5.5           5.6          5.6
 Net acquisition of nonfinancial assets                                   3.8           4.0           3.9           4.2           4.4          4.2
Gross Operating Balance                                                  -2.4          -2.4          -3.5          -8.6          -6.9         -5.5
Net lending (+)/borrowing (–) (fiscal balance)                          -6.2           -6.4          -7.4        -12.8         -11.3          -9.7
"Net financial worth, transactions                                        -6.2          -6.4          -7.4         -12.8         -11.3         -9.7"
Net acquisition of financial assets                                      -1.3          -1.1          -1.9          -1.2          -1.7         -1.8
 Domestic                                                                -1.3          -1.1          -1.9          -1.2          -1.7         -1.8
     Currency and deposits                                               -0.7          -0.8          -1.6          -1.8          -1.6         -1.3
     Loans                                                                0.0           0.1          -0.1           0.8           0.4          0.1
     Equity and investment fund shares                                   -0.6          -0.5          -0.2          -0.2          -0.5         -0.5
Net incurrence of liabilities                                             4.9           5.3           5.5          11.6           9.6          8.0
 Domestic                                                                 4.9           5.3           5.4          11.3           9.6          7.9
     Debt securities                                                      4.7           4.6           3.7           9.9           8.1          6.5
     Other accounts payable                                               0.2           0.7           1.7           1.4           1.5          1.4
 Foreign                                                                  0.0           0.0           0.0           0.4           0.0          0.0
     Loans                                                                0.0           0.0           0.0           0.4           0.0          0.0
Memorandum items:
Primary balance                                                          -1.4          -1.6          -2.7          -7.3          -5.6         -4.2
Nondefence capital expenditure                                            4.3           4.5           3.3           3.5           3.7          3.6
State and union territory governments' balance 2/                        -2.4          -2.5          -2.6          -4.2          -3.9         -3.5
General government debt 3/                                               69.7          70.4          74.1          89.6          90.7         88.9
Sources: Data provided by the Indian authorities; state level data from the RBI Study on State Finances; and Fund staff estimates and
projections.
1/ The consolidated general government comprises the central government (CG) and state governments. It does not include lower tiers of
"government (districts, municipalities), contrary to GFSM 2014 standards. Data for April-March fiscal years."
"2/ The authorities treat states' divestment proceeds, including land sales, above-the-line as miscellaneous capital receipts. IMF Staff definition"
treats divestment receipts as a below-the-line financing item.
"3/ Includes combined domestic liabilities of CG and states governments, inclusive of MSS bonds, and sovereign external debt at year-end"
exchange rates. For FY2021/22 reflects the additional SDR allocation of about 0.6 percent of GDP.
""
""
""
""
38      INTERNATIONAL MONETARY FUND
