V1
BRUNEI] DARUSSALAM
"Table 2. Brunei Darussalam: Budgetary Central Government Developments, 2016/17-"
2016917   18   19   20   21   22   25   24   25   26   27
Pray.            Proj.           Proj.            Proy.           Proj.            Proj.
(In mollions of Brunei dollars)
"Revenue                                                                               3,616          3872          6,027          4346          2,031           3,970          4051           3,738          3,848          3,804          3,813"
"Tax                                                                                               1,934            1,559           3,352           2209              ao4            1869            1,932            1,703            1,825            1,780            1,783"
"Oiland gas                                                               1,595         1253         3,004         1,858            546          1490         1,541          1,305          1,418          1,354         1,315"
Other                                                                              339            307            348            351             338            379            390            398            406            426            468
"Nontax revenue                                                     1,682        2,313        2.675        2,636        1,147        2,102        2,119        2035        2.024        2,024        2,030"
"Oil and gas                                                                     $29          1,723          1,869          1,787            697          1,330          1,338          1247          122?          1,219          1,219"
Other                                                                                   693              590             806             49             450             Ti2             Tal              789             796             805             811
"Expenditure                                                                          6,250          6,077          5,997          5,873          5,223          5,694          6,006          5,866          5,971           6014          6,081"
"Current                                                                            4 964          5,190          5, 301           5,432          5,016          5,3 94          5,464          5,469          5, WF          5,348          5, 5 1"
"Wages and salaries                                                    1,977         1,859          1,957         1,966         1,954          1,988         2,006         2019         2,033          2,046         2,057"
"Other                                                                           2,987          3,331          3,544          3466          3,052          3407          3,458          3,449          3,474          3,502          3,525"
Of which: Royalty payment                                     350           419           509           5016           292           351           364           326           322           321           321
"Capital                                                                             1,286            887            496            44)             207             500             543            397            465            466             500"
Of which: Development expenditure                                6o4              837              496              44)              207              500              543              397              465              466              500
"Overall balance 2/                                                             -2,634        -2,205             30        -1,027        -3,192        -1,924        -1,955        -2,128        -2,123        -2,210        -2,268"
"Non-oil and gas overall balance                                         4868        -4,761         4334        -4.167        4142        -4.393        -4471        -4.352        -4.447        -4 463        -4,481"
(in percent of GDP)
Revenue                                                                            227           22.7           327           264           12.5           19.1            194           18.5           19.1            188           187
Tax                                                                               122             9.1            182           12.0             5.9             90             93             $4             9.)             as             a7
Oiland gas                                                                 10.0             73           163           10.1              34             a2             7A             65             TO             67             64
Other                                                                      2.1             1.8            19            1.9            2.1             18            19            20            20            2.)             23
Nontax revenue                                      10.6       13.6       145       143        Fl       10.1       102       10.1       10.0       10.0        99
Oil and gas                                                                  62           10.1            10.1             a7             43             64             64             62             6.1             60             6.0
Other                                                                               44              3.5              4A              4.6              28              37              37              39              40              4D              4)
Expenditure                                                               393          35.6          32.5          315          322          284          288          29.0          29.6          207          298
Current                                                                                   312             30.4            29.8             295            305             26.0            262             271             273             27 A            273
Wages and salaries                                                              124             10.9             10.6             10.7             12.1                9.5               95             10.0             10.1              10.1              10.1
Other                                             188       19.5       192       189       188       164       16.6       17.1       172       173       172
Of which: Royalty payment                     a2       2.5       28       2.8       14       17       17       1       16       1.6       16
Capital                                                                           8.1              5.2             aa             24             13             24             25             20             23             23             24
Of which: Development expenditure                                 43               5.2)               a0               24               13               24               25               20               23               23               24
Overall balance 2/                                                              -16.6          -125             02           -5.6          -19.7           -93            9.4          -105          -10.5          -105          -11.
Mon-oil and gas overall balance                                             -30.6          -279          -23.5          -227          25.5          -212          -21A4          215          -22.1           -22.1           -219
in percent of non-oil and gas GDP                                   -65.1           -63.2           -56.9           540           -53.0           24           -52.1           498           -499           49.1           -47 1
Memorandum terns:
"Nominal GDP (in millions of Brunei dollars)                        15,906         17,048         18,453         18,385         16,213         20,741         20,874         20213         20,154         20,233         20,435"
"NMeon-oil and gas GDP (in millions of Brunei dollars)            7476          7,529          7,612          7,710          7,815           8387          8,589           8746          $913           $093          $509"
"Sources: Data prowded by the Brunei authorities, and Fund staff estimates and projections."
1/ GFSM 1986 Presentation (cash-based} fiscal year ends March 31.
"2/ Inabsense of government debt and interest payments, the ts also primary balance."
28 INTERNATIONAL MONETARY FUND
