V1
TOGO
""
""
""
"                                Table 2b. Togo: Central Government Financial Operations, 2018–24"
                                                         (percent of GDP)
                                                                  2018                     2019                               2020             2021       2022       2023       2024
                                                                  Dec.      June                December                      Dec.             Dec.       Dec.       Dec.       Dec.
                                                                  Out.      Est.      Budget    Rev. prog.   Proj.     4th Rev.      Proj.                 Projections
""
 Revenue and grants                                                  23.9       9.9      25.0         24.0     23.0        24.4         23.7     23.9       24.2         24.4     24.6
     Total revenue                                                   20.3       9.5      20.9         19.9     19.9        20.3         20.0     20.3       20.5         20.8     21.0
      Tax revenue                                                   16.5        8.3      18.3         17.6     17.6        17.7         17.8     18.0       18.2         18.4     18.6
        Tax administration (CI)                                       8.7       4.5      10.7          9.8       9.6         9.9         9.8     10.0       10.2         10.4     10.6
        Customs administration (CDII)                                 7.8       3.9       7.6          7.8       8.0        7.7          8.0      8.0        8.0          8.0      8.0
      Nontax revenue                                                  3.8       1.1       2.6          2.3       2.3         2.6         2.2      2.2        2.3          2.3      2.4
     Grants                                                           3.6       0.5       4.1          4.1       3.1         4.1         3.6      3.6        3.6          3.6      3.6
        Budget support                                                1.1       0.0       0.6          0.6       0.6        0.6          0.5      0.5        0.5          0.5      0.5
        Project                                                       2.4       0.5       3.5          3.5       2.4         3.5         3.2      3.2        3.2          3.2      3.2
 Expenditures and net lending                                        24.7     10.1       25.4         26.6     25.8        26.5         25.6     25.5       25.6         25.7     25.7
     Current expenditures                                            17.9       8.3      16.6         16.6     16.8        17.0         16.3     16.2       16.1         15.9     15.8
     Primary current spending                                        15.5       7.1      14.1         14.1     14.3        14.2         13.4     13.7       13.7         13.7     13.7
        Wages and salaries                                            6.7       3.1       6.7          6.7       6.7        6.7          6.8      6.8        6.8          6.8      6.8
        Goods and services                                            4.9       2.1       3.5          3.5       3.7         3.6         2.9      3.1        3.1          3.1      3.1
        Transfers and subsidies                                       3.9       1.9       3.9          3.9       3.9        3.9          3.7      3.7        3.7          3.7      3.7
      Interest                                                        2.4       1.1       2.4          2.4       2.4        2.8          2.9      2.5        2.5          2.2      2.1
        Domestic debt                                                 2.1       1.0       2.1          2.1       2.1        2.5          2.6      2.3        2.2          1.9      1.8
        External debt                                                 0.3       0.1       0.4          0.4       0.4        0.2          0.3      0.3        0.3          0.3      0.3
     Public investment                                                6.8       1.9       8.9         10.1       9.1         9.5         9.3      9.3        9.5          9.8      9.9
      Domestically financed                                           2.4       0.9       3.0          4.2       4.2        3.6          4.0      3.7        4.0          4.2      4.4
      Foreign financed                                                4.4       1.0       5.9          5.9       4.9        5.9          5.3      5.5        5.5          5.5      5.5
""
 Domestic primary balance                                             2.4       1.5       3.8          1.6       1.4        2.5          2.6      2.9        2.9          2.9      2.9
" Overall primary balance (commitment basis, incl. grants)             1.6       0.9       2.0         -0.2      -0.4        0.7          1.0      1.0        1.0          1.0      1.0"
" Overall balance (commitment basis, incl. grants)                    -0.8      -0.2      -0.4         -2.7      -2.9        -2.1        -1.9      -1.5       -1.5        -1.2      -1.1"
" Overall balance (commitment basis, excl. grants)                    -4.3      -0.7      -4.5         -6.8      -6.0        -6.2        -5.5      -5.2       -5.1        -4.9      -4.7"
""
 Change in arrears and accounts payable and receivable               -3.4       0.6      -1.1          0.0       0.0        0.0          0.0      0.0        0.0          0.0      0.0
  Change in arrears and accounts payable                             -2.2      -0.6      -1.1         -1.1      -1.1        0.0          0.0      0.0        0.0          0.0      0.0
  Change in accounts receivable                                       1.2      -1.1       0.0         -1.1      -1.1        0.0          0.0      0.0        0.0          0.0      0.0
""
" Overall primary balance (cash basis, incl. grants)                  -1.8       1.5       0.9         -0.2      -0.4        0.7          1.0      1.0        1.0          1.0      1.0"
" Overall balance (cash basis, incl. grants)                          -4.2       0.4      -1.5         -2.6      -2.9        -2.1        -1.9      -1.5       -1.5        -1.2      -1.1"
" Overall balance (cash basis, excl. grants)                          -7.7      -0.1      -5.6         -6.7      -5.9        -6.2        -5.5      -5.2       -5.1        -4.9      -4.7"
""
 Financing                                                            6.4       0.1       3.8          4.8       4.7         6.2         4.9      5.2        5.1          4.9      4.7
     Domestic financing (net)                                         2.0      -0.4      -1.8         -0.7       0.2         0.6         0.2      0.0        0.1          0.0      0.0
     External financing (net)                                         4.4       0.5       5.5          5.5       4.5         5.6         4.7      5.1        5.1          4.9      4.7
      Grants                                                          3.6       0.5       4.1          4.1       3.1         4.1         3.6      3.6        3.6          3.6      3.6
      Budget support loans                                            0.0       0.0       0.0          0.0       0.0        0.0          0.0      0.0        0.0          0.0      0.0
      Project loans                                                   2.0       0.5       2.4          2.4       2.4         2.4         2.1      2.4        2.4          2.4      2.4
      Amortization (incl. IMF repayments)                            -1.1      -0.5      -1.0         -1.0      -1.0        -1.0        -1.0      -0.9       -0.9        -1.1      -1.3
 Financing gap/unidentified financing                                 1.3       0.0       1.9          1.9       1.3        0.0          0.6      0.0        0.0          0.0      0.0
      IMF-ECF                                                         1.3       0.0       1.9          1.9       1.3          …          0.6          …          …          …          …
 Memorandum Item:
"  Nominal GDP (CFAF billions)                                     2,975.0   3,198.6   3,198.6      3,198.6   3,198.6    3,469.2      3,469.2    3,767      4,089      4,440      4,821"
 Sources: Togolese authorities and IMF staff estimates and projections.
""
""
""
""
24        INTERNATIONAL MONETARY FUND
