V1
REPUBLIC OF MADAGASCAR
"Table 4. Madagascar: Fiscal Operations of the Central Government, 2016-25"
(Percent of GDP)
2016       2017         2018                2019             2020    2021     2022    2023    2024    2025
Dec             Dec                Dec                       December                  Dec        Dec        Dec        Dec        Dec        Dec
Actuals — Prel. Est. EBS 19/73° Prel. Est. EBS 19/73°        Proj.                                     Projections
Total revenue and grants                                                                                      12.4                      12.8                      14.8              12.9                      16.4               13.0                   13.8              13.0              13.2              13.1               13.3              13.6
Total revenue                                                                                                          9.5                    10.3                    12.0             10.5                    12.5              10.6                  11.2             11.7             12.0             12.5             13.0             13.3
Tax revenue '                                                                                    9.2                 10.0                 11.7           10.2                 12.3            10.4               10.9           11.3           11.7           12.2           12.7           13.0
Domestic taxes                                                                                 48                    5.1                    5.7              5.0                   6.5              5.2                  5.7             6.2             6.7             7.1              7.6             7.9
Taxes on international trade and transactions                44              49              5.9          5.2              5.7          5.2             5.1          5.1          5.0         5.0         5.1          5.1
Non-tax revenue                                                        0.3             0.3             0.3         0.3             0.2          0.2            0.3         0.3         0.3         0.3         0.3         0.3
Grants                                                                                                                                 2.9                        25                        2.8                2.5                        3.9                 24                     25                14                1.2                0.6                0.4                0.3
Current grants                                                               0.6              0.7              1.0          0.9              17          0.8             0.7          0.0          0.0          0.0          0.0          0.0
Capital grants                                                                                                           2.3                        18                        18                 1.6                        2.2                  1.6                      18                14                1.2                0.6                04                0.3
Total expenditure and lending minus repayments              13.5            14.9            16.3        14.3            18.7        14.4          16.4       17.3       17.7       17.9       17.5       17.2
of which: Social priority spending                 0.7      0.9      0.9    08      1.2    08      1.0    1.2    1.5    1.6    1.7    1.7
Current expenditure                                                       9.1             10.2             10.7          9.3             10.4          9.3             8.9          8.9          9.2          94          9.6          9.6
Wages and salaries                                                  48             5.1              5.8         5.0             5.7          4.6            5.0         5.0         48         48         48         48
Interest payments                                                    0.7             0.7             0.9         0.8              1.0          0.8            0.8         0.7         0.7         0.7         0.8         0.8
Foreign                                                                   0.2              0.2              0.3          0.2              0.3          0.3             0.2          0.2          0.3          0.3          0.3          04
Domestic                                                                 0.6              0.5              0.6          0.5              0.6          0.6             0.6          0.5          0.5          0.4          0.4          0.4
Other                                                                         3.1               43              3.5          3.0              3.5          3.6             2.8          3.1          3.5          3.8          3.9          3.9
Goods and services                                               0.5             0.7             0.9         0.8             0.9          0.6            0.7         0.9         1.2         1.5         1.6         17
Transfers and subsidies                                           2.6              3.6              2.6         2.3              2.6          3.0            2.0         2.2         2.3         2.2         2.3         2.3
of which: Air Madagascar                                                    0.0                  0.7                   0.0             0.0                  0.0             0.0                 0.0            0.0            0.0            0.0            0.0            0.0
of which: JIRAMA (operating subsidies)                            0.7                  1.1                  0.8            0.7                  0.6             0.5                0.3            0.2            0.1             0.0            0.0            0.0
of which: JIRAMA (arrears repayment)                                                                                                                                      1.0
Treasury operations (net) ‘                                           0.5              0.2              0.5          0.5              0.3          0.2             0.3          0.2          0.1          0.1          0.1          0.1
Capital expenditure                                                 44            47             5.7         5.0            8.3         5.0           7.6        8.3         8.5        8.4        8.0        7.6
