V1
                                                                                                                                                        CAMBODIA
""
""
""
"            Table 4. Cambodia: General Government Operations, 2019 – 2027 (GFSM 2014)"
                                                         2019          2020         2021            2022                 2023      2024      2025      2026      2027
                                                                                     Est.       Budget   Est.                               Proj.
""
""
""
"Revenue                                                   29,461        25,335       23,842     24,785       26,552     28,645    32,458    36,157    39,728    43,442"
"Of which: Nongrant                                        27,251        23,291       22,112     23,769       25,729     27,575    31,173    35,001    38,688    42,401"
"Tax                                                       23,822        20,882       19,875     21,493       23,293     24,931    28,298    31,863    35,256    38,649"
"Income, profits, and capital gains                         5,467         6,110        6,219      5,763        7,836      8,498     9,240    10,386    11,360    12,296"
"Good and services                                         15,280        12,399       11,343     13,173       12,931     14,023    16,467    18,650    20,806    22,976"
"International trade and transactions                       2,897         2,198        2,131      2,394        2,344      2,389     2,572     2,807     3,070     3,356"
"Grants                                                     2,210         2,044        1,730      1,016          823      1,070     1,284     1,156     1,040     1,040"
"Other revenues                                             3,430         2,409        2,237      2,276        2,436      2,644     2,875     3,138     3,432     3,752"
""
"Total expenditure                                         26,202        28,935       31,649     31,515       31,459     35,128    37,326    40,977    44,588    48,506"
"Expense                                                   18,040        19,659       21,680     19,882       20,756     23,335    25,212    28,015    30,857    33,814"
"Compensation of employees                                  8,355         8,992        8,967      9,957        9,957     11,252    12,234    13,351    14,748    16,125"
"Purchase of goods and services                             4,984         4,199        6,266      4,207        4,207      5,019     5,894     6,432     7,035     7,692"
Interest                                                     367           381          403        646          321        363       467       588       713       856
"Expense not elsewhere classified                           4,335         6,087        6,044      5,071        6,271      6,701     6,617     7,644     8,360     9,141"
"Net acquisition of nonfinancial assets                     8,161         9,277        9,969     11,633       10,703     11,793    12,114    12,962    13,731    14,692"
"Of which: Externally financed                              4,667         5,857        5,250      …            4,099      4,422     5,243     5,184     5,454     5,724"
""
"Net lending (+)/borrowing(-)                               3,260        -3,601        -7,807    -6,730       -4,907     -6,483    -4,868    -4,820    -4,860    -5,064"
"Net acquisition of financial assets                        9,638           672        -4,461      -212       -1,331     -2,218       225       447       908     1,101"
"Net incurrence of liabilities                              6,378         4,273         3,345     5,947        3,576      4,265     5,093     5,267     5,768     6,165"
"Of which: External                                         4,667         5,857         3,520     4,728        3,276      3,352     3,958     4,028     4,413     4,684"
""
""
Revenue                                                      26.8         23.9          21.6      20.6         22.1       22.0      22.9      23.4      23.5      23.5
Nongrant                                                     24.8         22.0          20.0      19.8         21.4       21.1      22.0      22.6      22.8      22.9
Tax                                                          21.7         19.7          18.0      17.9         19.4       19.1      19.9      20.6      20.8      20.9
"Income, profits, and capital gains tax                        5.0          5.8           5.6       4.8          6.5        6.5       6.5       6.7       6.7       6.6"
Good and services tax                                        13.9         11.7          10.3      10.9         10.7       10.7      11.6      12.0      12.3      12.4
International trade and transactions tax                      2.6          2.1           1.9       2.0          1.9        1.8       1.8       1.8       1.8       1.8
Grants                                                        2.0          1.9           1.6       0.8          0.7        0.8       0.9       0.7       0.6       0.6
Other revenues                                                3.1          2.3           2.0       1.9          2.0        2.0       2.0       2.0       2.0       2.0
""
Total expenditure                                            23.8         27.3          28.6      26.2         26.1       26.9      26.3      26.5      26.3      26.2
Expense                                                      16.4         18.6          19.6      16.5         17.3       17.9      17.8      18.1      18.2      18.3
Compensation of employees                                     7.6          8.5           8.1       8.3          8.3        8.6       8.6       8.6       8.7       8.7
Purchase of goods and services                                4.5          4.0           5.7       3.5          3.5        3.8       4.2       4.2       4.2       4.2
Interest                                                      0.3          0.4           0.4       0.5          0.3        0.3       0.3       0.4       0.4       0.5
Expense not elsewhere classified                              3.9          5.7           5.5       4.2          5.2        5.1       4.7       4.9       4.9       4.9
Net acquisition of nonfinancial assets                        7.4          8.8           9.0       9.7          8.9        9.0       8.5       8.4       8.1       7.9
Of which: Externally-financed                                 4.2          5.5           4.8     …              3.4        3.4       3.7       3.3       3.2       3.1
""
Net lending (+)/borrowing(-)                                  3.0          -3.4         -7.1         -5.6       -4.1      -5.0      -3.4      -3.1      -2.9      -2.7
Net acquisition of financial assets                           8.8           0.6         -4.0         -0.2       -1.1      -1.7       0.2       0.3       0.5       0.6
Net incurrence of liabilities                                 5.8           4.0          3.0          4.9        3.0       3.3       3.6       3.4       3.4       3.3
Of which: External                                            4.2           5.5          3.2          3.9        2.7       2.6       2.8       2.6       2.6       2.5
""
Memorandum items:
Net lending (+)/borrowing(-) excluding grant                  1.0         -5.3          -8.6         -6.4       -4.8      -5.8      -4.3      -3.9      -3.5      -3.3
Government deposits                                         22.2         23.7          17.7      …             15.1       12.3      11.4      10.8      10.4      10.1
"GDP (in billions of riels)                               110,014      105,892       110,506      …          120,315    130,477   141,863   154,819   169,331   185,140"
""
Sources: Data provided by the Cambodian authorities; and IMF staff estimates and projections.
""
""
""
""
                                                                                                                 INTERNATIONAL MONETARY FUND                     33
