V1
REPUBLIC OF KOSOVO
""
""
""
""
"                                 Table 2. Kosovo: Consolidated Government Budget, 2015–23 1/"
"                                       (Millions of euros, excluding donor designated grants)"
                                                                                                   2015       2016      2017            2018                     2019                   2020       2021        2022        2023
                                                                                                                                   Budget                      Draft
                                                                                                                                          Proj. 5/                   Proj. 5/                      Projections
                                                                                                                                       4/                    budget
""
"     Revenue and grants                                                                           1,456      1,595      1,682        1,817     1,763           1,949      1,910        1,970       2,070      2,170        2,281"
       Of which: debt collection/compliance gains for the central administration                                                                                  41         41
       Of which: improved collection at the local level                                                                                                           15          0
       Of which: base effects                                                                                                                                     22          0
"      Revenue                                                                                     1,455      1,595      1,682        1,810     1,763           1,939      1,900        1,970       2,070      2,170        2,281"
"       Taxes                                                                                      1,269      1,424      1,496        1,607     1,571           1,731      1,702        1,760       1,847      1,935        2,032"
         Direct taxes                                                                               196        234        238          267       259             289        281          290         307        326          346
              Personal income tax                                                                   101        124        137          146       148             163        161          166         176        187          198
              Corporate income tax                                                                   66         81         75           84        84              91         93           94         100        106          112
              Property tax                                                                           20         25         22           33        23              30         24           25          27         29           30
"              Interest, dividend (profit) tax                                                         8          0          0            0         0               0          0            0           0          0            0"
              Other                                                                                   2          4          3            4         4               4          4            4           4          5            5
"         Indirect taxes                                                                           1,107      1,229      1,315        1,386     1,362           1,492      1,476        1,528       1,601      1,675        1,756"
"              VAT                                                                                   611        694        756          819       810             905        896          933         990      1,045        1,104"
              Excise                                                                                361        403        432          446       429             465        459          477         496        516          536
              Customs                                                                               135        130        126          111       120             120        119          114         111        110          111
              Other                                                                                   0          2          1           10         3               2          3            3           4          4            4
         Tax refunds                                                                                -34        -39        -58          -46       -50             -50        -56          -58         -62        -65          -69
        Nontax revenues                                                                             187        171        186          202       192             208        198          210         223         235        248
      Grants                                                                                         0.3          0          0           7          0             11         11             0          0           0          0
""
"     Expenditure                                                                                  1,568      1,678      1,766        2,104     1,957           2,364      2,273        2,268       2,317      2,435        2,527"
"      Current expenditure                                                                         1,172      1,249      1,307        1,410     1,428           1,595      1,611        1,670       1,761      1,857        1,958"
          of which: PAK-related current expenditures                                                  6          6          6           11         7               2          7            8           9          9            9
        Wages and salaries                                                                          525        544        550          590       590             616        616          649         682        721          764
        Goods and services                                                                          204        202        226          265       251             337        337          335         355        376          399
        Subsidies and transfers                                                                     427        485        512          526       563             609        626          647         675        705          737
            Pension and social assistance                                                           292        354        383            …       440               …        484          497         516        537          558
            Other transfers and subsidies                                                           135        131        129            …       123               …        142          150         159        168          179
        Current reserves                                                                              0          0          0            5         0               5          5            5           5          5            5
        Interest payment                                                                             16         19         19           24        24              28         27           35          44         49           53
""
      Capital expenditure and net lending                                                           395        429        459          695       529             770        662          598         556         579        568
        Budget-financed capital expenditure and net lending                                         395        426        459          546       443             509        442          451         469         483        501
         Capital expenditure (budget financed)                                                      395        434        468          546       443             509        442          451         469         483        501
         Net lending                                                                                  0         -7         -9            0         0               0          0            0           0           0          0
        PAK-financed capital expenditure                                                               0          0          0          86         86            140        140           60           0           0          0
        IFI-financed capital expenditure                                                               0          2          0          62          0            121         81           87          87          96         67
""
      Primary balance                                                                               -96         -63       -66         -268      -174            -391       -340         -267        -208       -220        -197
      Overall balance                                                                              -112         -82       -85         -288      -194            -415       -363         -298        -247       -265        -246
         Ex-PAK ex-IFI capital projects (Fiscal rule) 2/                                           -106         -74       -78         -122      -101            -144       -135         -143        -151       -160        -170
         Ex-PAK-related current expenditures                                                       -106         -76       -78         -277      -187            -413       -356         -290        -238       -256        -237
      Statistical discrepancy                                                                        0.9       13.6      11.5            …         …               …          …            …           …          …           …
""
     Financing                                                                                      106          63        67          281       187             414        356          290         238         256        237
       Foreign financing                                                                             14         -22        47           68        -4             125         66           14          11          53         34
"        Drawings/ Borrowings, incl. official financing                                                7           7         8           30        18              54         36           15           4           0          0"
        Donor financing for new projects                                                              0           2         0           62         0             121         81           87          87          96         67
        IMF financing                                                                                35          35        97            0         0               0          0            0           0           0          0
        Amortization/ Repayments                                                                    -29         -66       -58          -24       -22             -50        -51          -88         -80         -43        -33
""
      Domestic financing                                                                            193          94        99          240       204             294        306          294         247         224        226
       Domestic borrowing (net)                                                                     121          99        95          105        99             135        158          226         240         216        218
       Privatization revenues                                                                        61           0         0           86        86             140        140           60           0           0          0
        Own-source revenue (- = increase)                                                            11          -5         -6           0          0               8         0             0          0           0          0
        Other financing                                                                                                      9                     19             11          8             8          8           8          8
""
      Accumulation of Assets (- = increase)                                                        -101         -10       -79          -28        -12              -5       -16          -18         -20         -21        -23
""
     Memorandum items
     Bank balance of the general government                                                         202        212        292          319       304             324        320          338         358        380          403
       Of which: ELA                                                                                 46         46         46            …        46               …         46           46          46         46           46
"     Total public debt 3/                                                                           758        871      1,046        1,189     1,149           1,468      1,397        1,669       1,929      2,199        2,452"
         External debt                                                                              370        372        428          509       426             659        505          551         572        626          660
"         Domestic debt                                                                              388        499        618          680       723             810        892        1,118       1,357      1,574        1,792"
            Of which: guarantees                                                                     10         20         44            …        50               …         60           60          60         60           60
     Contingent liabilities: debt of the former Yugoslavia                                          333        311        287            …       198               …        181          162         141        117           97
      Sources: Kosovo authorities; and IMF staff estimates and projections.
      1/ Does not yet reflect the GFSM 2014 methodology.
"      2/ For fiscal rule purposes, IFI and PAK-financed projects post-July 2015 are excluded from the fiscal deficit. In the authorities' presentation, the fiscal rule deficit also excludes expenditures from carried-"
"      forward own-source revenue (OSR). Following methodology agreed during the SBA, IMF staff assumes no carried-forward OSR."
"      3/ The stock of public debt no longer includes the former Yugoslavia debt, which has been reclassified as a contingent liability."
"      4/ Assumes tax compliance gains of 0.7 percent of GDP, a timely and full implementation of the war veteran pension law, and tight administration for all other budgeted social schemes."
"      5/ Based on current legislation, revenue trends, and the 2019 draft Budget. It assumes gains of EUR 41 million from debt collection and tax compliance which will require implementation of strong reforms in"
      revenue administration.
""
""
""
""
28     INTERNATIONAL MONETARY FUND
