V1
                                                                                                                                                                          REPUBLIC OF KOSOVO
""
""
""
""
"                           Table 3. Kosovo: Consolidated Government Budget, 2015–23 1/"
"                                  (Percent of GDP, excluding donor designated grants)"
                                                                                             2015       2016        2017         2018                    2019                 2020      2021       2022      2023
                                                                                                                            Budget                    Draft
                                                                                                                                   Proj. 5/                 Proj. 5/                    Projections
                                                                                                                                4/                  budget
""
Revenue and grants                                                                            25.1       26.3        26.2      26.9      26.1          27.4       26.9        26.2       26.0       25.7      25.5
  Of which: debt collection/compliance gains for the central administration                                                                             0.6        0.6
  Of which: improved collection at the local level                                                                                                      0.2        0.0
  Of which: base effects                                                                                                                                0.3        0.0
 Revenue                                                                                      25.1       26.3        26.2      26.8      26.1          27.2       26.7        26.2       26.0       25.7      25.5
  Taxes                                                                                       21.8       23.5        23.3      23.8      23.3          24.3       23.9        23.4       23.2       22.9      22.7
    Direct taxes                                                                               3.4        3.9         3.7       4.0       3.8           4.1        4.0         3.9        3.9        3.9       3.9
      Personal income tax                                                                      1.7        2.0         2.1       2.2       2.2           2.3        2.3         2.2        2.2        2.2       2.2
      Corporate income tax                                                                     1.1        1.3         1.2       1.2       1.2           1.3        1.3         1.3        1.3        1.3       1.3
"      Interest, dividend (profit) tax                                                          0.1        0.0         0.3       0.5       0.3           0.4        0.3         0.3        0.3        0.3       0.3"
      Property tax                                                                             0.3        0.4         0.0       0.0       0.0           0.0        0.0         0.0        0.0        0.0       0.0
      Other                                                                                    0.0        0.1         0.1       0.1       0.1           0.1        0.1         0.1        0.1        0.1       0.1
    Indirect taxes                                                                            19.1       20.2        20.5      20.5      20.2          20.9       20.8        20.3       20.1       19.9      19.6
      VAT                                                                                     10.5       11.4        11.8      12.1      12.0          12.7       12.6        12.4       12.4       12.4      12.3
      Excise                                                                                   6.2        6.6         6.7       6.6       6.3           6.5        6.5         6.3        6.2        6.1       6.0
      Customs                                                                                  2.3        2.1         2.0       1.6       1.8           1.7        1.7         1.5        1.4        1.3       1.2
      Other                                                                                    0.0        0.0         0.0       0.1       0.0           0.0        0.0         0.0        0.0        0.0       0.0
    Tax refunds                                                                               -0.6       -0.6        -0.9      -0.7      -0.7          -0.7       -0.8        -0.8       -0.8       -0.8      -0.8
  Nontax revenues                                                                               3.2       2.8         2.9       3.0        2.8           2.9       2.8          2.8       2.8         2.8       2.8
 Grants                                                                                         0.0       0.0         0.0       0.1        0.0           0.1       0.1          0.0       0.0         0.0       0.0
""
Expenditure                                                                                   27.0       27.6        27.5      31.1      29.0          33.2       32.0        30.2       29.1       28.9      28.2
 Current expenditure                                                                          20.2       20.6        20.4      20.9      21.1          22.4       22.7        22.2       22.1       22.0      21.9
     of which: PAK-related current expenditures                                                0.1        0.1         0.1       0.2       0.1           0.0        0.1         0.1        0.1        0.1       0.1
   Wages and salaries                                                                          9.0        9.0         8.6       8.7       8.7           8.6        8.7         8.6        8.6        8.6       8.5
   Goods and services                                                                          3.5        3.3         3.5       3.9       3.7           4.7        4.7         4.5        4.5        4.5       4.5
   Subsidies and transfers                                                                     7.4        8.0         8.0       7.8       8.3           8.5        8.8         8.6        8.5        8.4       8.2
     Pension and social assistance                                                             5.0        5.8         6.0        …        6.5            …         6.8         6.6        6.5        6.4       6.2
     Other transfers and subsidies                                                             2.3        2.2         2.0        …        1.8            …         2.0         2.0        2.0        2.0       2.0
   Current reserves                                                                            0.0        0.0         0.0       0.1       0.0           0.1        0.1         0.1        0.1        0.1       0.1
   Interest payment                                                                            0.3        0.3         0.3       0.3       0.4           0.4        0.4         0.5        0.5        0.6       0.6
""
