V1
                                                                                                                                                         JORDAN
""
""
""
"Table 2b. Jordan: Central Government—Summary of Fiscal Operations, 2019–26   "
                               (In percent of GDP)
                                                                Prel.     1st Rev    Proj.    1st Rev    Proj.   Proj.    Proj.    Proj.    Proj.    Proj.
                                                                2019                  2020               2021    2022     2023     2024     2025     2026
""
Total revenue and grants                                          24.3        23.8     22.7       24.9    24.8     24.8     24.1     23.9     23.7     23.5
 Domestic revenue                                                 21.8        20.4     20.1       22.5    22.2     22.5     22.7     22.8     22.7     22.6
"   Tax revenue, of which :                                        15.3        16.0     16.0       17.0    16.7     17.0     17.1     17.2     17.2     17.0"
    Taxes on income and profits                                    3.2         3.6      3.6        3.6     3.3      3.4      3.6      3.7      3.7      3.7
    Sales taxes 2/                                                10.5        11.3     11.4       12.2    12.1     12.3     12.3     12.2     12.1     12.0
    Taxes on foreign trade                                         0.9         0.9      0.9        1.0     1.0      1.0      1.0      1.0      0.9      0.9
   Nontax revenue 2/                                               6.5         4.4      4.1        5.4     5.5      5.5      5.5      5.6      5.6      5.6
 Grants                                                            2.5         3.5      2.5        2.5     2.6      2.3      1.4      1.2      0.9      0.9
""
"Total expenditures, inc. other use of cash                        29.2        30.5     30.0       30.4    30.6     30.0     29.7     29.5     29.1     28.8"
 Current expenditure                                              25.0        27.2     27.2       27.3    27.5     26.5     26.3     25.9     25.6     24.9
    Wages and salaries                                             4.9         4.8      5.4        5.2     5.5      5.4      5.2      5.0      4.7      4.5
    Interest payments                                              3.6         4.2      4.2        4.3     4.1      4.0      4.0      3.9      3.9      3.8
      Domestic                                                     2.3         2.8      2.9        2.7     2.7      2.7      2.7      2.7      2.7      2.7
      External                                                     1.3         1.3      1.3        1.6     1.4      1.3      1.3      1.2      1.2      1.1
"    Military and public security expenditure, of which:            8.1         8.8      8.5        8.6     8.5      8.4      8.4      8.4      8.4      8.2"
      Military expenditure                                         4.2         4.7      4.5        4.5     4.5      4.4      4.4      4.4      4.4      4.3
    Subsidies                                                      0.1         0.1      0.1        0.0     0.1      0.1      0.1      0.1      0.1      0.0
"    Transfers, of which :                                          7.4         8.3      7.7        8.1     8.2      7.4      7.3      7.2      7.2      7.1"
       Pensions                                                    4.5         5.2      5.1        5.1     5.0      5.0      5.0      5.0      5.0      5.0
"       Cash transfers, NAF social assistance                       0.4         0.6      0.8        0.5     0.8      0.6      0.6      0.5      0.5      0.5"
"        Transfers to health fund, of which:                        0.9         0.6      0.8        0.4     0.4      0.4      0.4      0.3      0.3      0.3"
           Health arrears clearance                                0.3         0.2      0.4        0.1     0.2      0.1      0.1      0.0      0.0      0.0
        Energy arrears clearance                                   0.2         0.0      0.0        0.4     0.0      0.0      0.0      0.0      0.1      0.0
        Transfers to public sector institutions                    0.6         1.0      0.7        0.6     0.6      0.6      0.6      0.6      0.6      0.6
        Other transfers                                            0.7         0.9      0.4        1.0     1.3      0.7      0.7      0.7      0.7      0.7
   Purchases of goods & services                                   1.0         1.1      1.3        1.0     1.2      1.3      1.3      1.3      1.3      1.3
 Capital expenditure                                               3.1         3.1      2.7        3.2     3.1      3.5      3.5      3.6      3.6      3.9
 Adjustment on receivables and payables (use of cash)              1.0         0.2      0.1        0.0     0.0      0.0      0.0      0.0      0.0      0.0
""
Overall central government balance at current policies            -4.9        -6.7     -7.3       -5.5    -5.8     -5.2     -5.6     -5.5     -5.4     -5.3
 Unallocated discretionary fiscal measures (cumulative) 3/         0.0         0.0      0.0        0.0     0.0      1.1      2.2      3.2      3.7      3.6
Overall central government balance after fiscal measures          -4.9        -6.7     -7.3       -5.5    -5.8     -4.1     -3.5     -2.3     -1.8     -1.7
"Advances to water sector, of which:                                1.6         1.4      1.2        1.3     1.3      1.1      0.7      0.8      0.8      0.7"
 Distribution companies                                            0.0         0.5      0.4        0.2     0.2      0.2      0.2      0.1      0.1      0.1
""
Financing                                                          6.5         8.1      8.5        6.8     7.1      5.3      4.2      3.1      2.5      2.4
 Foreign financing (net) 4/                                        0.6         3.4      3.1        3.4     4.5      1.6      1.1      0.8     -0.1     -0.2
 Domestic financing (net)                                          5.9         4.6      5.3        3.3     2.6      3.6      3.1      2.3      2.6      2.6
    CBJ on-lending of net IMF financing                           -0.9         1.1      1.1        0.9     1.2      0.8      0.2     -0.2     -0.3     -0.3
    Other domestic bank financing                                  3.5         0.5      1.9       -0.4    -1.1      0.3      0.5      0.2      0.6      0.6
    Domestic nonbank financing                                     2.8         2.6      2.4        2.8     2.7      2.5      2.4      2.4      2.4      2.3
    Use of deposits                                                0.4         0.5      0.0        0.0    -0.2     -0.1     -0.1     -0.1     -0.1      0.0
    Sale of non-financial assets                                   0.2         0.0      0.0        0.0     0.0      0.0      0.0      0.0      0.0      0.0
Memorandum items:
NEPCO operating balance                                            0.0        -0.2     -0.3       -0.9    -0.9     -0.9     -0.9     -0.7     -0.7     -0.6
"WAJ overall balance, excluding project grants                     -0.9        -1.1     -1.0       -0.9    -0.9     -0.9     -0.8     -0.8     -0.7     -0.7"
Water distribution companies overall balance                      -0.3        -0.5     -0.4       -0.2    -0.2     -0.2     -0.2     -0.1     -0.1     -0.1
"Primary government balance, excluding grants and transfers to"
NEPCO and WAJ (PC)                                                -3.7       -6.0     -5.7       -3.7     -4.3    -2.4     -0.8      0.5      1.2       1.2
Combined public balance (PC) 5/                                   -4.9       -7.7     -7.4       -5.8     -6.3    -4.4     -2.7     -1.2     -0.3      -0.1
"Overall public balance, including grants                          -6.0       -8.3     -8.9       -7.4     -7.7    -5.9     -5.2     -3.8     -3.1      -2.9"
"Consolidated general government overall balance, excl. grants     -5.1      -10.1     -8.6       -6.8     -7.7    -5.8     -4.3     -2.8     -2.0      -2.0"
"Consolidated general government primary balance, excl. grants     -1.0       -6.4     -3.9       -3.1     -3.0    -1.2      0.3      1.8      2.5       2.4"
Social Security Corporation balance                                3.4        1.8      3.0        3.2      2.7     2.6      2.4      2.3      2.2       2.0
Government and guaranteed gross debt                              97.4      110.3    109.0      114.0    113.6   114.7    113.6    110.4    106.9     103.4
"Government and guaranteed gross debt, net of SSC's holdings       78.0       89.2     88.0       90.9     90.9    90.6     88.4     84.3     79.8      75.9"
   Of which: External                                             35.0       41.3     40.2       45.0     45.3    46.5     46.0     44.5     42.1      39.5
Programmed stock of health and energy arrears                      0.9        1.5      1.4        1.2      0.8     0.6      0.5      0.4      0.2       0.2
 Stock of health arrears                                           0.3         0.9      0.9        0.7     0.6      0.5      0.3      0.3      0.2      0.2
 Stock of energy arrears (fuel and electricity) 6/                  0.6        0.6    0.5          0.5    0.1    0.1    0.1    0.1    0.0                0.0
"GDP at market prices (JD millions)                              31,597     30,654 31,025       31,814 32,149 33,677 35,589 37,683 39,899             42,246"
""
Sources: Jordanian authorities; and IMF staff estimates and projections.
"1/ Starting 2019, the fiscal accounts consolidate the operations of 29 government units, with a neutral impact on the overall balance."
2/ In 2019 non-tax revenues on oil derivatives were reclassified as sales taxes.
3/ Unidentified fiscal measures that will need to be implemented to eliminate primary deficit (excluding grants) by the end of the program.
4/ Includes net issuance of domestic FX bonds.
"5/ Primary government balance excluding grants and transfers to NEPCO and WAJ, plus NEPCO operating balance, WAJ overall balance, and"
"starting in 2019, water distribution companies overall balance."
"6/ In 2021, JD100 million in arrears will be resolved through securitization."
""
""
""
""
                                                                                                        INTERNATIONAL MONETARY FUND                            29
