V1
                                                                                                                                                                        ANGOLA
""
""
""
"                    Table 2b. Angola: Statement of Central Government Operations, 2010–19"
                                                (Percent of GDP)
                                                                         2010      2011      2012      2013      2014         2015        2016        2017      2018         2019
                                                                                                                              Prel.        Est.                 Proj.
""
Revenue                                                                    43.4      48.8       46.5      40.2      35.3        27.3         18.6        15.8      18.2       18.1
  Taxes                                                                    40.8      46.3       44.4      38.2      32.9        24.7         16.7        14.2      17.3       17.2
      Oil1                                                                 33.0      39.0       37.7      30.1      23.8        15.4          8.8         8.4      11.7       10.8
      Non-oil                                                               7.8       7.3        6.6       8.1       9.1         9.3          7.9         5.8       5.6        6.4
    Social contributions                                                    1.0       0.9        1.0       1.0       0.7         1.2          1.0         0.8       0.6        0.6
    Grants                                                                  0.0       0.0        0.0       0.0       0.0         0.0          0.0         0.0       0.0        0.0
    Other revenue                                                           1.6       1.6        1.1       1.0       1.7         1.4          0.9         0.8       0.3        0.3
""
Expenditure                                                                40.0      40.2       41.8      40.5      41.9        30.6         23.4        21.8      20.2       20.5
  Expense                                                                  28.6      30.0       29.4      28.5      29.4        24.7         19.2        16.2      16.2       15.6
    Compensation of employees                                               9.4       9.0        9.5       9.6      10.6        11.3          9.0         7.3       5.8        5.5
    Use of goods and services                                               8.2      10.6       12.0      10.2      10.0         6.4          4.0         3.7       3.4        3.3
    Interest                                                                1.2       1.0        1.0       0.8       1.2         2.0          3.0         3.3       4.5        4.5
       Domestic                                                             0.4       0.6        0.6       0.5       0.7         1.2          1.6         1.9       2.6        2.7
       Foreign                                                              0.8       0.4        0.3       0.3       0.5         0.9          1.5         1.4       2.0        1.9
    Subsidies                                                               6.7       7.8        5.0       5.9       5.4         2.3          1.0         0.4       0.8        0.5
    Other expense                                                           3.1       1.6        1.9       2.0       2.3         2.7          2.2         1.5       1.7        1.7
  Net acquisition of nonfinancial assets                                   11.4      10.2       12.5      12.0      12.5         6.0          4.1         5.5       4.0        5.0
""
Net incurrence of liabilities                                                3.4       8.7       4.6      -0.3      -6.6         -3.3        -4.8        -6.0      -2.0        -2.4
""
Statistical Discrepancy                                                     -1.4       1.0      -0.9       0.3       0.1         0.7          0.9        -0.2          0.0     0.0
""
Net acquisition of financial assets (+: increase)                            1.0       7.6       5.4       0.8       2.5        11.8         12.3         2.4      -1.4        -0.7
 Domestic                                                                    0.9       6.1       2.1       0.8       2.5        11.6         11.5         2.1      -1.4        -0.7
      Cash and deposits 2                                                    4.8       7.3       4.4      -0.2      -1.4         6.3          2.7        -3.4      -2.2        -0.7
      Equity and investment fund shares                                      0.0       0.0       0.1       0.0       4.1         2.6          6.9         5.7       0.8          …
      Other accounts receivable                                             -3.9      -1.2      -2.3       1.0      -0.2         2.8          1.9        -0.2        …           …
    Foreign                                                                  0.2       1.5       3.3       0.0       0.0         0.2          0.8         0.3        …           …
      Currency and deposits                                                  0.2       1.5       3.3       0.0       0.0         0.2          0.8         0.3        …           …
""
Net incurrence of liabilities (+: increase)                                 -3.8      -0.1      -0.1       1.4       9.2        15.8         18.0         8.2       0.7        1.7
 Domestic                                                                   -4.0      -0.7      -2.1      -0.1       5.7         9.0          9.4         5.1      -1.9        0.6
   Debt securities                                                          -1.0      -1.9      -3.8      -4.5      -0.1         5.9          9.5         4.5       2.7        0.6
   Loans                                                                    -0.9      -0.6      -0.6       0.1       1.9        -0.8          0.0         0.0        …          …
   Other accounts payable                                                   -2.1       1.9       2.4       4.2       4.0         3.9         -0.1         0.6      -4.6        0.0
 Foreign                                                                     0.2       0.5       2.0       1.5       3.5         6.8          8.6         3.1       2.6        1.1
   Debt securities                                                           0.2       0.5       2.0       1.5       3.5         6.8          8.6         3.1       2.6        1.1
   Other accounts payable                                                    0.0       0.0       0.0       0.0       0.0         0.0          0.0         0.0       0.0        0.0
""
Memorandum items:
Non-oil primary fiscal balance                                            -26.2      -26.9     -29.5     -28.2     -28.1       -15.9        -10.2       -10.8      -8.8        -8.3
Non-oil revenue                                                            10.5        9.8       8.7      10.1      11.5        11.9          9.8         7.4       6.5         7.4
Social expenditures 3                                                      14.2      16.5       14.3      16.4      17.6        11.3          7.0         9.3       6.8         …
"Public sector debt (gross), face value                                     44.3      33.8       29.9      32.9      40.7        64.6         79.8        64.1      72.9       69.9"
Sources: Angolan authorities and IMF staff estimates and projections.
1
    The year 2017 it is assumed to include one-off fiscal revenue of 1 percent of GDP from the agreement to settle tax liabilities under dispute with oil companies.
2
    Historical figures may include valuation effects related to foreign-currency denominated deposits.
3
    The figures for 2017 and 2018 are not actuals but rather based on the approved budget.
""
""
""
""
                                                                                                                    INTERNATIONAL MONETARY FUND                                 33
