V1
ANGOLA
""
""
""
"                     Table 2c. Angola: Statement of Central Government Operations, 2010–19"
                                             (Percent of non-oil GDP)
                                                                          2010      2011      2012      2013      2014         2015        2016        2017      2018         2019
                                                                                                                               Prel.        Est.                 Proj.
""
 Revenue                                                                    78.8      92.9       85.7      67.0      54.0        35.7         23.3        19.7      24.4       23.7
   Taxes                                                                    74.0      88.1       81.9      63.6      50.3        32.2         20.9        17.7      23.2       22.5
       Oil1                                                                 59.8      74.3       69.6      50.1      36.4        20.1         11.0        10.5      15.7       14.1
       Non-oil                                                              14.2      13.8       12.3      13.4      13.8        12.1          9.9         7.2       7.5        8.4
     Social contributions                                                    1.8       1.7        1.8       1.7       1.1         1.6          1.3         1.0       0.8        0.8
     Grants                                                                  0.0       0.0        0.0       0.0       0.0         0.0          0.0         0.0       0.0        0.0
     Other revenue                                                           3.0       3.0        2.0       1.7       2.7         1.8          1.1         1.0       0.4        0.4
""
 Expenditure                                                                72.5      76.4       77.2      67.5      64.0        40.0         29.3        27.1      27.1       26.8
   Expense                                                                  51.8      57.1       54.2      47.5      45.0        32.2         24.1        20.2      21.8       20.4
     Compensation of employees                                              17.1      17.1       17.5      16.0      16.2        14.7         11.2         9.1       7.8        7.2
     Use of goods and services                                              14.9      20.2       22.1      17.0      15.3         8.3          5.0         4.7       4.6        4.4
     Interest                                                                2.1       1.8        1.8       1.4       1.8         2.6          3.8         4.1       6.1        5.9
        Domestic                                                             0.6       1.1        1.2       0.8       1.1         1.5          1.9         2.3       3.4        3.5
        Foreign                                                              1.5       0.7        0.6       0.6       0.8         1.1          1.8         1.8       2.7        2.4
     Subsidies                                                              12.1      14.9        9.3       9.8       8.2         3.0          1.3         0.5       1.0        0.7
     Other expense                                                           5.5       3.1        3.4       3.4       3.5         3.5          2.8         1.9       2.2        2.2
   Net acquisition of nonfinancial assets                                   20.7      19.3       23.0      20.0      19.1         7.8          5.2         6.9       5.4        6.5
""
 Net incurrence of liabilities                                                6.2     16.5        8.6      -0.6     -10.0         -4.3        -6.0        -7.4      -2.7        -3.1
""
 Statistical Discrepancy                                                     -2.5       1.9      -1.6       0.5       0.2         0.9          1.1        -0.2          0.0      0.0
""
 Net acquisition of financial assets (+: increase)                            1.9     14.4       10.0       1.3       3.9        15.5         15.5         3.0      -1.8        -1.0
  Domestic                                                                    1.6     11.6        3.9       1.3       3.9        15.2         14.4         2.7      -1.8        -1.0
       Cash and deposits 2                                                    8.7     13.9        8.1      -0.3      -2.1         8.2          3.4        -4.2      -2.9        -1.0
       Equity and investment fund shares                                      0.0      0.0        0.1       0.0       6.3         3.4          8.6         7.1       1.1          …
       Other accounts receivable                                             -7.1     -2.3       -4.3       1.6      -0.3         3.7          2.4        -0.3        …           …
     Foreign                                                                  0.3      2.8        6.1       0.0       0.0         0.2          1.1         0.4        …           …
       Currency and deposits                                                  0.3      2.8        6.1       0.0       0.0         0.2          1.1         0.4        …           …
""
 Net incurrence of liabilities (+: increase)                                 -6.9      -0.3      -0.1       2.4      14.1        20.6         22.6        10.2       0.9         2.2
  Domestic                                                                   -7.3      -1.3      -3.8      -0.2       8.7        11.8         11.8         6.4      -2.5         0.8
    Debt securities                                                          -1.9      -3.6      -7.0      -7.4      -0.2         7.7         11.9         5.6       3.6         0.8
    Loans                                                                    -1.6      -1.2      -1.1       0.2       2.9        -1.0          0.0         0.0        …           …
    Other accounts payable                                                   -3.8       3.6       4.3       7.1       6.1         5.1         -0.1         0.8      -6.2         0.0
  Foreign                                                                     0.4       1.0       3.7       2.5       5.4         8.8         10.8         3.9       3.4         1.4
    Debt securities                                                           0.4       1.0       3.7       2.5       5.4         8.8         10.8         3.9       3.4         1.4
    Other accounts payable                                                    0.0       0.0       0.0       0.0       0.0         0.0          0.0         0.0       0.0         0.0
""
 Memorandum items:
 Non-oil primary fiscal balance                                            -47.4      -51.1     -54.5     -47.0     -42.9       -20.8        -12.8       -13.4     -11.8       -10.8
 Non-oil revenue                                                            19.0       18.6      16.1      16.8      17.6        15.6         12.3         9.2       8.7         9.6
 Social expenditures 3                                                      25.8      31.3       26.3      27.4      26.9        14.7         8.8         11.5       9.1         …
" Public sector debt (gross), face value                                     80.2      64.3       55.1      54.8      62.1        84.4       100.1         79.7      97.8       91.4"
 Sources: Angolan authorities and IMF staff estimates and projections.
 1
     The year 2017 it is assumed to include one-off fiscal revenue of 1 percent of GDP from the agreement to settle tax liabilities under dispute with oil companies.
 2
     Historical figures may include valuation effects related to foreign-currency denominated deposits.
 3
     The figures for 2017 and 2018 are not actuals but rather based on the approved budget.
""
""
""
""
34       INTERNATIONAL MONETARY FUND
