V1
OMAN
"Table 2b. Oman: Government Finances, 2019-27   "
(Percent of GDP)
Proj.
2019            2020                 2021             2022             2023             2024             2025                 2026            2027
"Revenue and Grants                                                                                   339         29.6            33.9         369         33.6         34,1         33.4         32.4         318"
Taxes                                                                                                      35           33             3.9           37           3.7           44           4.6          4.9           5.0
Grants                                                                                                    02           0.3             0.1           00           0.0          0.0           0.0           0.0           00
Property income and others                                                                      303         26.1            29.9         332         299         29.6         28.7         27.4         26.7
Oil                                                                                                                                                    19.6             15.3                 18.7             220             200             19.4             18.5             17.5             165
LNG and natural gas 2/                                                                       63          7.0            8.0          85          71          7.4          7.3          6.9          73
Public services and utilities                                                                         02           0.1              0.0           0.0           0.0           0.0           0.0           0.0           0.0
Investment income                                                                                  18          0.4             0.9           0.7           06           0.6           0.6           0.6           06
Others                                                                                                  25           3.4             2.3           2.1           2.1           2.2           2.3           2.3           23
"Expenditure                                                                                              388         45.7            37.1         31,7         32.0         31.6         31.8         313         308"
Expense                                                                                                 30.9         37.2            33.6         29.0         294         29.0         29.2         28.7         282
Compensation of employees                                                        99       12.8           9.9         84         85         8.8         9.0         9.1         9.1
Use of goods and services                                                                          39           $3              6.1           6.1            64           6.2           6.2           6.3           63
Interest payments                                                                          20         3.1            3.2          28          29         2.9          3.0         2.7         25
Subsidies and social benefits                                                                     39          4.6             3.5           48           47           4.1           3.7           3.5           33
Grants to other countries                                                                                 0.1            0.0               0.0            00            00            0.0            0.0            0.0            00
Other expense                                                                                      11.1          11.5            10.8           69           70           (AL           a2           AL           70
PDO operations                                                                                   12           tS             24           0.0           0.0          0.0           0.0           0.0           0.0
Others                                                                                                99         10.0             8.4           69           70           ya           7.2           hat           70
Net Acquisition of Nonfinancial Assets                                                         74          6.8             35          27           26          2.6          2.6          2.6          25
Acquisitions of nonfinan dal assets                                                                739           8.5              3.5           2.7           26           2.6           2.6           2.6           25
PDO operations                                                                                   26           3.2             0.0           00           00          0.0           0.0           0.0           0.0
Upstream gas project                                                                            13           1.5             0.0           00           00          0.0           0.0           0.0           00
Civil                                                                                                   39           3.8             3.5           27           26           2.6           2.6           2.6           PAS
Disposals (sales) of nonfinancial assets                                                         05           5 PS                 -              -              -              -              -              -              -
Gross Operating Balance                                                                               3.0         -7.6             0.3           8.0           43           5.1           4.2           3.7           35
Net Lending (+)/B orrowing (-) (Overall Balance) 3/                                           -48        -16.1             “3.2           53           16           2.5           1.6           1.1           1.0
Net Acquisition of Finandal Assets 4/                                                                       12           -8.9              -0.3           -0.7             13            1.5            0.4            0.1             0.1
Net Incurrence of Liabilities                                                                           6.0           7.2             2.9          -59         -04          -1.0         -1.2          -1.0         -09
Domestic debt                                                                                          12           ve             0.2           00           0.1          -0.3          -0.4          -0.2           0.1
External debt                                                                                            45           4.9             2.7         -59          -05          ar         -0.9          -0.8          -10
Memorandum Items:
"Total government debt, of which                                                            fe        69.7           62.9        43.7        425        41.7        40.2         38.5         368"
External debt                                                                     393       51.7         47.2       313       303       29.7       28.6       27.4       258
Non-hydrocarbon revenue (percent of nonhydrocarbon GDP)                     12.1        10.1          11.3        12.1        12.0       12.7       12.5        12.6       123
"Break-even oil price (fiscal, U.S. dollars)                                                    64.7        86.4           76.7        752         785        70.7        68.4        66.7        669"
Sources: Ministry of Finance; and IMF staff estimates and projections.
1/ Table covers central govemment operations.
2/ Includes the dividend from Oman Liquefied Natural Gas Company (OLNG).
3/ Excludes ‘net lending and equity’ .
4/ Includes ‘net lending and equity’.
32 INTERNATIONAL MONETARY FUND
