V1
                                                                                                                                                                               PANAMA
""
""
""
"                 Table 3. Panama: Summary Operations of the Central Government, 2016–26"
                                           (In percent of GDP)
                                                                                                               Est.                                 Projections
                                                             2016      2017          2018       2019         2020          2021        2022         2023          2024     2025      2026
Revenues and grants                                           13.3      14.0         13.9           12.7     12.5          13.3         13.9        14.2          14.5      14.7      14.7
 Current revenue                                              13.3      13.9         13.9           12.7     12.5          12.9         13.9        14.2          14.5      14.7      14.7
   Taxes                                                       9.7       9.2          9.2            8.2      7.5           8.2          8.9         9.2           9.5       9.7       9.8
     Direct taxes                                              5.1       4.9          5.1            4.4      4.3           4.5          4.8         4.9           5.1       5.1       5.2
        Income tax                                             4.6       4.4          4.6            4.0      3.9           4.1          4.3         4.4           4.6       4.6       4.7
        Tax on wealth                                          0.5       0.5          0.5            0.4      0.4           0.4          0.5         0.5           0.5       0.5       0.5
     Indirect taxes                                            4.6       4.3          4.1            3.8      3.2           3.7          4.1         4.3           4.5       4.6       4.6
        Import tax                                             0.6       0.6          0.5            0.5      0.4           0.5          0.5         0.5           0.5       0.5       0.5
        ITBMS                                                  2.6       2.5          2.3            2.2      1.8           2.1          2.3         2.5           2.7       2.7       2.7
        Petroleum products                                     0.5       0.4          0.4            0.4      0.4           0.4          0.5         0.5           0.5       0.5       0.5
        Other tax on domestic transactions                     0.9       0.8          0.8            0.8      0.7           0.7          0.8         0.8           0.8       0.8       0.9
   Nontax revenue                                              3.6       4.7          4.6            4.5      5.0           4.7          4.9         5.0           5.0       5.0       5.0
     Dividends                                                 1.5       2.3          2.4            2.2      2.8           2.5          2.7         2.7           2.7       2.7       2.7
        Of which : Panama Canal Authority                      1.2       1.9          1.8            1.8      2.4           2.1          2.3         2.3           2.3       2.3       2.3
     Panama Canal Authority: fees per ton 1/                   0.7       0.7          0.8            0.8      1.0           0.8          0.8         0.9           0.9       0.9       0.9
     Transfers from decentralized agencies                     0.5       0.5          0.5            0.4      0.3           0.3          0.3         0.3           0.3       0.3       0.3
     Other                                                     0.9       1.2          1.0            1.0      0.8           1.1          1.1         1.1           1.1       1.1       1.1
 Capital revenue                                               0.1       0.1          0.0            0.0      0.0           0.4          0.0         0.0           0.0       0.0       0.0
 Grants                                                        0.0       0.0          0.0            0.0      0.0           0.0          0.0         0.0           0.0       0.0       0.0
Total expenditure                                             17.5      17.5         17.5           17.5     22.4          19.9         18.1        17.3          16.6      16.2      16.2
   o/w COVID-19 related expenditure                                                                           3.0           2.2          0.0         0.0           0.0       0.0       0.0
 Current                                                      10.7      10.9         11.0           11.3     17.2          16.3         13.8        13.0          12.4      11.9      11.7
   Wages and salaries                                          4.3       4.6          4.7            4.8      6.3           5.7          5.6         5.4           5.2       5.0       5.0
   Goods and services                                          1.3       1.4          1.2            1.2      1.7           1.4          1.2         1.2           1.2       1.1       1.1
   Current expenditure of CSS                                  0.5       0.6          0.6            0.7      0.6           0.9          1.1         1.0           0.9       0.7       0.7
   Transfers to public and private entities                    2.8       2.7          2.7            2.8      6.0           5.2          3.2         2.9           2.8       2.7       2.7
   Interest                                                    1.7       1.7          1.8            1.9      2.7           3.1          2.6         2.5           2.4       2.3       2.1
     Domestic                                                  0.3       0.4          0.3            0.4      0.5           0.6          0.5         0.5           0.4       0.4       0.4
     External                                                  1.4       1.4          1.4            1.5      2.1           2.5          2.1         2.0           2.0       1.8       1.8
 Capital                                                       6.5       6.1          5.8            5.5      5.2           3.7          4.3         4.3           4.2       4.3       4.6
 Accrued spending 2/                                           0.3       0.4          0.8            0.7      0.0           0.0          0.0         0.0           0.0       0.0       0.0
""
Savings 3/                                                     2.6        3.0         2.9            1.4      -4.7          -3.4          0.1         1.2          2.1       2.8       3.1
""
Overall balance 4/                                            -4.1      -3.6         -3.7           -4.8      -9.9          -6.7        -4.2         -3.1         -2.1      -1.5      -1.5
Financing (net) 5/                                             2.6        3.3         4.4            3.4       7.0           6.7          4.2         3.1          2.1       1.5       1.5
  External                                                     2.1        2.4         3.3            5.5      10.5           4.3          3.4         3.6          2.7       2.1       2.0
         Of which : Multilateral lenders                       1.2        1.5         1.4            1.2       4.7           2.8          1.3         1.2          1.1       1.0       1.0
         Of which : Private creditors                          1.7        2.4         2.7            4.9       9.0           4.1          2.9         3.7          4.5       3.9       3.3
         Of which : Other lenders                             -0.8       -1.5        -0.7           -0.7      -3.2          -2.7         -0.8        -1.3         -2.9      -2.8      -2.2
 Domestic                                                      0.5        0.9         1.0           -2.1      -3.4           2.4          0.9        -0.4         -0.6      -0.6      -0.5
      Of which: Net credit from banks                         -0.4       -0.3         0.5           -2.2      -3.4           1.3          1.0         0.3          0.1       0.0       0.0
      Of which: Net credit from non-banks                      0.6        0.8        -0.3            1.6      -0.1           1.0         -0.1        -0.2         -0.2      -0.1       0.0
      Of which: Other lenders                                  0.3        0.4         0.8           -1.5       0.0           0.0          0.0        -0.5         -0.5      -0.5
                                                                                                                                                                             0.0      -0.5
                                                                                                                                                                                       0.0
Memorandum items:
 Primary balance                                               -2.4      -1.8        -1.9        -2.9         -7.2          -3.5        -1.6         -0.6          0.2        0.7       0.6
" GDP (in millions of US$)                                   57,908    62,203      64,928      66,788       52,938        59,447      63,084       67,563       72,360     77,498    83,000"
""
 Sources: Comptroller General; Ministry of Economy and Finance; and IMF staff calculations.
 1/ Includes public service fees.
