V1
                                                                                                                                                                                PANAMA
""
""
""
""
"                Table 3. Panama: Summary Operations of the Central Government, 2015–25 1"
                                         (In percent of GDP)

                                                             2015      2016          2017       2018            2019      2020        2021         2022          2023       2024         2025
Revenues and grants                                           13.4      13.3         14.0           13.9         12.6      10.3        12.6        13.7          14.3       14.5         14.7
 Current revenue                                              13.2      13.3         13.9           13.9         12.6      10.2        11.7        13.1          13.7       14.0         14.1
   Taxes                                                       9.3       9.7          9.2            9.2          8.2       5.9         7.4         8.5           9.0        9.3          9.5
     Direct taxes                                              4.8       5.1          4.9            5.1          4.4       3.5         4.2         4.7           5.0        5.1          5.1
        Income tax                                             4.3       4.6          4.4            4.6          4.0       3.3         4.0         4.5           4.7        4.8          4.8
        Tax on wealth                                          0.5       0.5          0.5            0.5          0.4       0.2         0.2         0.3           0.3        0.3          0.3
     Indirect taxes                                            4.5       4.6          4.3            4.1          3.8       2.5         3.2         3.8           4.0        4.2          4.3
        Import tax                                             0.7       0.6          0.6            0.5          0.5       0.3         0.4         0.5           0.5        0.5          0.5
        ITBMS                                                  2.4       2.6          2.5            2.3          2.2       1.4         1.8         2.2           2.3        2.5          2.6
        Petroleum products                                     0.4       0.5          0.4            0.4          0.4       0.3         0.3         0.4           0.4        0.4          0.4
        Other tax on domestic transactions                     0.9       0.9          0.8            0.8          0.8       0.5         0.6         0.7           0.8        0.8          0.8
   Nontax revenue                                              3.9       3.6          4.7            4.6          4.4       4.3         4.3         4.6           4.7        4.7          4.7
     Dividends                                                 1.6       1.5          2.3            2.4          2.2       2.1         2.0         2.3           2.2        2.2          2.2
        Of which : Panama Canal Authority                      1.1       1.2          1.9            1.8          1.8       2.1         2.0         2.1           2.0        2.0          2.0
    Panama Canal Authority: fees per ton 1/                    0.7       0.7          0.7            0.8          0.8       0.9          0.9         0.9          0.9         0.9             0.8
    Transfers from decentralized agencies                      0.5       0.5          0.5            0.5          0.4       0.5          0.5         0.5          0.5         0.5             0.5
    Other                                                      1.1       0.9          1.2            1.0          0.9       0.8          0.9         0.9          1.1         1.1             1.1
 Capital revenue                                               0.1       0.1          0.1            0.0          0.0       0.0          0.8         0.6          0.6         0.5             0.5
 Grants                                                        0.0       0.0          0.0            0.0          0.0       0.0          0.0         0.0          0.0         0.0             0.0
Total expenditure                                             17.4      17.5         17.5           17.5         16.7      19.1        20.0        17.7          17.2       16.5         16.1
 Current                                                      11.1      10.7         10.9           11.0         11.5      15.3        15.5        14.1          13.5       12.9         12.5
   Wages and salaries                                          4.0       4.3          4.6            4.7          4.8       6.0         6.0         5.6           5.6        5.3          5.3
   Goods and services                                          1.4       1.3          1.4            1.2          1.2       1.2         1.2         1.1           1.1        1.0          1.0
   Current expenditure of CSS                                  0.7       0.5          0.6            0.6          0.7       1.6         1.8         1.3           1.1        0.9          0.7
   Transfers to public and private entities                    3.2       2.8          2.7            2.7          3.0       4.3         3.7         3.2           3.0        2.8          2.7
   Interest                                                    1.7       1.7          1.7            1.8          1.9       2.3         2.8         2.9           2.8        2.8          2.8
     Domestic                                                  0.3       0.3          0.4            0.3          0.4       0.5         0.5         0.4           0.3        0.3          0.3
     External                                                  1.4       1.4          1.4            1.4          1.5       1.8         2.3         2.5           2.5        2.5          2.5
 Capital                                                       6.0       6.5          6.1            5.8          5.2       3.8         4.5         3.6           3.7        3.7          3.7
 Accrued spending 2/                                           0.3       0.3          0.4            0.8          0.0       0.0          0.0         0.0          0.0         0.0             0.0
Savings 3/                                                     2.2       2.6          3.0            2.9          1.1      -5.1         -3.7        -1.0          0.1         1.1             1.7
""
Overall balance 4/                                            -4.1      -4.1         -3.6           -3.7         -4.1      -8.9        -7.4         -4.0         -3.0        -2.0        -1.5
Financing (net) 5/                                             4.4       2.6          3.3            4.4          2.6       8.9          7.4         4.0          3.0         2.0          1.5
  External                                                     2.4       2.1          2.4            3.3          5.5       8.4          7.0         4.0          3.3         2.4          1.9
         Of which : Multilateral lenders                       1.5       1.2          1.5            1.4          1.2       3.1          2.4         1.1          0.6         0.5          0.5
         Of which : Private creditors                          2.3       1.7          2.4            2.7          4.9       7.9          5.9         3.6          4.0         4.8          4.1
         Of which : Other lenders                             -1.4      -0.8         -1.5           -0.7         -0.7      -2.6         -1.3        -0.7         -1.2        -2.9         -2.7
 Domestic                                                      2.0       0.5          0.9            1.0         -2.8       0.4          0.5         0.0         -0.4        -0.4         -0.4
      Of which: Net credit from banks                          0.2      -0.4         -0.3            0.5         -2.2       1.6         -0.5         0.0          0.0         0.0          0.0
      Of which: Net credit from non-banks                      1.6       0.6          0.8           -0.3          1.6      -1.2          0.9         0.1          0.0         0.0          0.0
      Of which: Other lenders                                  0.2       0.3          0.4            0.8         -2.3       0.1          0.0         0.0         -0.4        -0.4         -0.4
                                                                                                                                                                                           0.0
Memorandum items:
 Primary balance                                               -2.4      -2.4        -1.8        -1.9             -2.2      -6.6        -4.6        -1.1          -0.1        0.8          1.3
" GDP (in millions of US$)                                   54,092    57,908      62,203      64,928           66,788    60,315      62,832      66,709        71,445     76,518       81,951"
""
 Sources: Comptroller General; Ministry of Economy and Finance; and IMF staff calculations.
 1/ Includes public service fees.
 2/ Staff adjustment to account for the accrual of previously unrecorded expenditure for 2015-18.
 3/ Current revenues and grants less current expenditure.
" 4/ For 2015 - 2017, includes spending allowed under Article 34 of Law 38 of 2012."
" 5/ Includes staff adjustment for net financing through the change in obligations related to unrecorded expenditure for 2015-2019. For 2019, also accounts for deposits accumulated in pre-"
 financing operations.
""
""
""
""
                                                                                                                            INTERNATIONAL MONETARY FUND                                       47
