V1
                                                                                                                                                 PORTUGAL
""
""
""
                                                          Table 2a. Portugal: General Government Accounts 1/
                                                                            (Billions of euros)
""
                                                                                                                           Projections
                                                                          2014    2015    2016    2017      2018   2019         2020     2021      2022        2023
""
Revenue                                                                    77.2    78.8    79.7    83.3     86.4    88.9         91.5     94.1     96.6        99.1
 Taxes                                                                     43.6    45.6    46.4    48.5     50.0    51.4         52.9     54.4     55.8        57.2
   Taxes on production and imports                                         24.6    26.1    27.3    28.7     30.2    31.1         32.0     32.9     33.7        34.5
"   Current taxes on income, wealth, etc. and capital taxes                 19.0    19.5    19.1    19.8     19.8    20.4         21.0     21.5     22.1        22.7"
 Social contributions                                                      20.5    20.8    21.6    22.6     23.3    24.0         24.7     25.4     26.1        26.7
 Grants and other revenue                                                  13.2    12.4    11.7    12.1     13.0    13.5         13.9     14.3     14.7        15.2
   Property income                                                          1.7     1.3     1.2     1.4      1.4     1.4          1.5      1.5      1.6         1.6
   Sales of goods and services                                              6.3     6.4     6.6     6.7      7.2     7.5          7.7      7.9      8.2         8.4
   Other current revenue                                                    3.4     3.3     3.0     3.2      3.4     3.6          3.7      3.8      3.9         4.0
   Capital transfers and investment grants                                  1.7     1.4     0.8     0.9      1.0     1.0          1.0      1.1      1.1         1.1
""
Expenditure                                                                89.6    86.7    83.4    85.6     88.5    90.8         93.2     95.6     98.2    100.4
  Expense                                                                  91.2    87.7    85.8    88.1     90.3    92.7         95.1     97.5    100.1    102.4
    Compensation of employees                                              20.5    20.3    20.9    21.5     21.7    22.2         22.7     23.3     23.9     24.5
    Use of goods and services                                               9.8    10.0    10.4    10.5     11.0    11.4         11.7     12.1     12.4     12.8
    Consumption of fixed capital                                            5.1     5.2     5.3     5.7      5.9     6.1          6.3      6.5      6.6      6.8
    Interest                                                                8.5     8.2     7.8     7.5      7.3     7.3          7.3      7.3      7.4      7.2
    Subsidies                                                               1.2     1.1     1.0     0.9      1.0     1.1          1.1      1.1      1.2      1.2
    Social benefits                                                        34.1    34.7    35.1    36.0     37.2    38.2         39.3     40.3     41.4     42.5
    Grants and other expense                                               11.9     8.1     5.4     6.0      6.2     6.5          6.7      7.0      7.2      7.4
      Other current expense                                                 4.7     4.6     4.7     4.9      5.3     5.5          5.6      5.9      6.1      6.2
      Capital transfers                                                     7.2     3.4     0.8     1.0      1.0     1.0          1.0      1.1      1.1      1.1
  Net acquisition of nonfinancial assets                                   -1.6    -1.0    -2.5    -2.5     -1.8    -1.9         -1.8     -1.9     -2.0     -2.0
    Gross fixed capital formation                                           3.4     4.0     2.8     3.1      4.1     4.2          4.4      4.6      4.7      4.8
    (-) Consumption of fixed capital                                       -5.1    -5.2    -5.3    -5.7     -5.9    -6.1         -6.3     -6.5     -6.6     -6.8
    Acquisitions less disposals of other nonfinancial assets                0.1     0.2     0.0     0.0      0.0     0.0          0.0      0.0      0.0      0.0
""
Gross Operating Balance                                                    -8.9    -3.7    -0.9     0.9      1.9     2.3          2.7      3.0      3.2         3.6
Net lending (+)/borrowing (–)                                             -12.4    -7.9    -3.7    -2.3     -2.1    -1.9         -1.7     -1.5     -1.5        -1.3
""
Net acquisition of financial assets                                        -6.5    -4.0     5.6      …        …       …            …        …        …           …
   Monetary gold and SDRs                                                   0.0     0.0     0.0      …        …       …            …        …        …           …
   Currency and deposits                                                    0.0    -3.1     4.5      …        …       …            …        …        …           …
   Debt securities                                                         -4.7    -1.0     0.0      …        …       …            …        …        …           …
   Loans                                                                   -0.1     0.1     0.0      …        …       …            …        …        …           …
   Equity and investment fund shares                                       -2.1    -0.1    -0.1      …        …       …            …        …        …           …
"   Insurance, pensions, and standardized guarantee schemes                  0.0     0.0     0.0      …        …       …            …        …        …           …"
   Financial derivatives and employee stock options                         0.1    -0.3    -0.5      …        …       …            …        …        …           …
   Other accounts receivable                                                0.3     0.3     1.8      …        …       …            …        …        …           …
""
Net incurrence of liabilities                                               5.9     3.9     9.3      …        …       …            …        …        …           …
   SDRs                                                                     0.0     0.0     0.0      …        …       …            …        …        …           …
   Currency and deposits                                                    4.9     4.0     4.0      …        …       …            …        …        …           …
   Debt securities                                                         -1.9    11.2    11.3      …        …       …            …        …        …           …
   Loans                                                                    3.6    -9.4    -6.0      …        …       …            …        …        …           …
   Equity and investment fund shares                                        0.0    -0.1     0.0      …        …       …            …        …        …           …
"   Insurance, pensions, and standardized guarantee schemes                  0.0     0.0     0.0      …        …       …            …        …        …           …"
   Financial derivatives and employee stock options                         0.0     0.0     0.0      …        …       …            …        …        …           …
   Other accounts payable                                                  -0.8    -1.7     0.1      …        …       …            …        …        …           …
""
Memorandum items:
  Primary balance                                                          -3.9     0.3     4.1     5.3      5.2     5.4          5.6      5.8      5.8      5.9
  Debt at face value (EDP notification)                                   226.0   231.5   241.0   242.6    243.6   244.9        246.3    247.5    249.5    251.3
  Nominal GDP                                                             173.1   179.8   185.2   193.0    200.2   206.8        213.4    219.6    226.1    232.6
""
    Sources: INE; Bank of Portugal; and IMF staff projections.
1
    GFSM 2001 presentation.
""
""
""
""
                                                                                                          INTERNATIONAL MONETARY FUND                     19
