V1
EL SALVADOR
""
""
""
                 Table 5b. El Salvador: Statement of Operations of the Central Government1
                                               (Percent of GDP)
""
                                                                                                                                                Proj.
                                                                  2016       2017       2018    2019        2020       2021       2022       2023     2024         2025       2026
 Revenue                                                          18.1       19.1       19.3      19.0      19.9       21.3       21.9       22.3     22.3         22.3       22.3
   Taxes                                                           17.2       17.6       18.0     17.7       18.5       20.4       20.9       21.3     21.3         21.3       21.3
      Taxes on income                                               6.9        6.9        7.0      7.0        7.6        7.6        7.6        8.1      8.1          8.1        8.1
      Taxes on property                                             0.1        0.1        0.1      0.1        0.1        0.1        0.1        0.1      0.1          0.1        0.1
      Taxes on goods and services                                   8.6        8.7        8.9      8.9        9.3       11.0       11.2       11.2     11.2         11.2       11.2
      Taxes on foreign trade                                        0.9        0.8        0.9      0.9        0.8        1.1        1.1        1.1      1.1          1.1        1.1
      Other taxes                                                   0.9        1.1        1.1      0.8        0.7        0.6        0.9        0.8      0.8          0.8        0.8
  Other revenue                                                     0.8        1.4        1.0      0.9        0.9        0.8        0.9        0.9      0.9          0.9        0.9
  Grants                                                            0.1        0.2        0.2      0.4        0.5        0.1        0.1        0.1      0.0          0.0        0.0
 Expenditure                                                      21.1       21.5       21.8      21.9      28.3       27.9       29.5       30.0     30.1         31.0       31.1
  Expense                                                          19.9       20.5       20.4     20.6       26.5       25.8       26.7       27.1     27.1         28.0       28.1
    Compensation of employees                                       6.6        6.5        6.5      6.7        7.8        7.6        8.2        8.3      8.5          8.6        8.6
    Purchases of goods and services                                 2.5        2.1        2.3      2.3        2.5        1.9        1.9        1.9      1.9          1.9        1.9
    Interest                                                        2.8        3.1        3.4      3.5        4.2        4.4        4.6        5.5      5.4          6.2        6.2
    Subsidies                                                       0.0        0.0        0.0      0.0        0.1        0.0        0.0        0.0      0.0          0.0        0.0
    Grants                                                          6.4        6.4        5.9      5.8        7.1        6.9        6.9        6.9      6.9          6.8        6.8
          Current                                                   4.9        5.0        4.5      4.4        5.9        5.7        5.7        5.7      5.7          5.6        5.6
          Capital                                                   1.5        1.4        1.4      1.4        1.2        1.2        1.2        1.2      1.2          1.2        1.2
    Social benefits                                                 1.3        1.8        2.0      2.0        4.5        4.7        4.3        4.1      4.1          4.1        4.2
    Other expense                                                   0.3        0.5        0.3      0.3        0.3        0.3        0.8        0.3      0.3          0.3        0.3
          Current                                                   0.0        0.2        0.1      0.1        0.1        0.1        0.6        0.1      0.1          0.1        0.1
          Capital                                                   0.2        0.3        0.3      0.2        0.2        0.2        0.2        0.2      0.2          0.2        0.2
   Net acquisition of nonfinancial assets                           1.2        1.0        1.4      1.4        1.8        2.1        2.7        2.9      3.0          3.0        3.0
 Net lending/borrowing                                             -3.0       -2.3       -2.5     -2.9       -8.4       -6.6       -7.6       -7.7     -7.9         -8.8       -8.8
 Net financial transactions                            -3.0    -2.3                      -2.5      -2.9      -8.4       -6.6       -7.6       -7.7       -7.9       -8.8       -8.8
   Net acquisition of financial assets                  0.5    -0.1                       0.1       0.0       2.0       -0.2        0.0        0.0        0.0        0.0        0.0
     Foreign                                            0.0     0.0                       0.0       0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0
     Domestic                                           0.5    -0.1                       0.1       0.0       2.0       -0.2        0.0        0.0        0.0        0.0        0.0
   Net incurrence of liabilities                        3.5     2.2                       2.6       2.9      10.4        6.3        7.6        7.7        7.9        8.8        8.8
     Foreign                                            0.5     0.9                       0.5       0.9       5.3        3.9        4.7        3.8        4.0        5.9        4.8
      Loans                                             0.5     0.9                       0.5       0.9       5.3        3.9        4.7        3.8        4.0        5.9        4.8
            Disbursement                                2.5     3.4                       2.3       4.7       6.5        5.0        5.8        8.3        6.5       10.1        6.1
            Amortizations                              -1.9    -2.4                      -1.8      -3.8      -1.2       -1.1       -1.0       -4.5       -2.5       -4.2       -1.3
     Domestic                                           3.0     1.3                       2.1       2.0       5.2        2.4        2.8        3.9        3.9        2.8        4.0
      Loans                                             2.7     1.5                       2.2       2.2       5.0        2.4        2.8        3.9        3.9        2.8        4.0
      Other                                             0.3    -0.2                      -0.1      -0.2       0.2        0.0        0.0        0.0        0.0        0.0        0.0
 Memorandum items (mill. of US$ unless otherwise specified):
" Revenue                                             4,388   4,783                     5,009     5,121      4,894     5,935      6,443      6,800      7,041      7,277      7,498"
"        Taxes                                        4,166   4,407                     4,680     4,760      4,549     5,674      6,144      6,493      6,730      6,959      7,173"
" Expenditure                                         5,115   5,369                     5,667     5,903      6,975     7,762      8,671      9,156      9,524     10,139     10,456"
"        Interest                                       667     768                       881       933      1,034     1,214      1,361      1,671      1,703      2,042      2,096"
" Net lending                                          -728    -587                      -658      -782     -2,080    -1,827     -2,228     -2,356     -2,483     -2,862     -2,958"
 Taxes (percent of revenue)                           95.0    92.1                      93.4      92.9       92.9      95.6       95.4       95.5       95.6       95.6       95.7
 Compensation of employees (percent of expenditure)   31.3    30.3                      30.1      30.6       27.4      27.3       27.9       27.8       28.2       27.8       27.7
 Interest (percent of expenditure)                    13.0    14.3                      15.6      15.8       14.8      15.6       15.7       18.2       17.9       20.1       20.0
" External disbursements                                595     839                       603     1,267      1,591     1,406      1,702      2,538      2,050      3,300      2,041"
 Primary balance (percent of GDP)                      -0.3     0.7                       0.9       0.6       -4.2      -2.2       -2.9       -2.2       -2.5       -2.5       -2.6
" Nominal GDP                                        24,191 24,979                     26,021    26,897     24,639    27,855     29,442     30,539     31,626     32,675     33,657"
" Sources: Department of the Treasury, Central Bank, and IMF staff estimates and projections."
" 1/ All budgetary costs incurred or committed in 2021-2021 related to the adoption of Bitcoin as a legal tender and the implementation of Chivo are included, but no further buying"
 of Bitcoin is included.
""
""
""
""
42     INTERNATIONAL MONETARY FUND
