V1
                                                                                                                                                                                                                                         GUINEA
""
""
""
"                                Table 3b. Guinea: Fiscal Operations of the Central Government,1 2015–23"
"                                                (Percent of GDP, unless otherwise indicated)"
                                                                        2015         2016                 2017                                      2018                               2019                   2020               2021     2022     2023
                                                                                                                                                                          Mar.
                                                                                                 Rev.     Prog.                                     Updated Prog. 1st               Prog.
                                                                                         Act.                       Prel.   Prog. Req.     Budg.                         Cum.                   Proj. Prog. Req.       Proj.     Proj.    Proj.    Proj.
                                                                                                Budg.     Req.                                      Outlook3 Review                  Req.
                                                                                                                                                                          Prel.
Total revenue and grants                                                14.8         15.8         17.6      17.0    15.4         18.4       18.4           14.6   15.8     3.2      18.6        16.6       19.1        17.4      17.6     17.7     17.8
 Revenue                                                                13.7         14.6         15.4      15.4    13.8         16.2       16.2           13.4   14.5     3.2      17.1        15.4       17.8        16.2      16.4     16.6     16.8
   Tax revenue                                                          13.0         14.0         14.8      14.8    13.4         15.5       15.5           12.7   13.5     2.8      16.4        14.8       17.1        15.6      15.8     15.9     16.1
    Mining sector                                                        2.4          2.1          2.9       2.9     2.3          2.9        2.9            2.5    2.5     0.6       2.9         2.5        3.0         2.8       2.8      2.8      2.8
    Non-mining sector                                                   10.7         11.9         12.0      11.9    11.0         12.6       12.6           10.2   11.0     2.2      13.5        12.2       14.1        12.8      13.0     13.1     13.3
      Direct taxes                                                       2.1          2.4          2.8       3.0     2.4          3.0        3.0            2.5    2.8     0.4       3.3         3.3        3.5         3.6       3.8      3.9      4.0
      Indirect taxes                                                     8.6          9.5          9.2       8.9     8.7          9.6        9.6            7.8    8.3     1.9      10.2         8.9       10.7         9.1       9.2      9.2      9.3
        Taxes on goods and services                                      5.8          6.9          6.6       6.2     5.8          6.4        6.4            5.6    5.7     1.2       6.7         5.9        6.9         6.1       6.2      6.2      6.3
        Taxes on international trade                                     2.8          2.6          2.6       2.7     2.8          3.2        3.2            2.2    2.6     0.7       3.5         3.0        3.7         3.0       3.0      3.0      3.0
      Non-tax revenue                                                    0.6          0.6          0.6       0.7     0.5          0.7        0.7            0.6    1.0     0.4       0.7         0.6        0.7         0.6       0.6      0.7      0.7
 Grants                                                                  1.2          1.2          2.2       1.6     1.5          2.2        2.2            1.3    1.3     0.0       1.5         1.3        1.3         1.3       1.2      1.1      1.1
   Project grants                                                        0.4          0.1          1.0       0.8     1.0          1.0        1.0            0.8    0.8     0.0       0.8         0.7        0.8         0.7       0.7      0.6      0.6
   Budget support                                                        0.1          1.0          1.2       0.8     0.5          1.2        1.2            0.5    0.5     0.0       0.7         0.5        0.5         0.5       0.5      0.5      0.5
   Other earmarked grants                                                0.6          0.1          0.0       0.0     0.0            …          …              …      …       …         …           …          …           …         …        …        …
Expenditures and net lending                                            21.7         16.0         18.1      17.4    17.5         20.8       20.8           19.7   18.0     2.2      20.9        18.8       21.1        18.9      19.1     19.3     19.4
 Current expenditures                                                   14.1         11.2         12.7      12.5    11.6         13.0       13.0           12.9   11.5     1.9      12.3        11.3       12.3        11.6      11.6     11.6     11.6
   Primary current expenditures                                         13.3         10.1         11.4      11.2    10.7         11.7       11.7           11.8   10.3     1.8      11.2        10.3       11.3        10.7      10.7     10.6     10.6
     Wages and salaries                                                  4.1          3.8          4.1       3.9     3.6          4.1        4.1            4.2    3.9     0.8       4.2         3.9        4.2         4.0       4.0      4.0      4.0
     Goods and services                                                  5.0          3.5          3.6       3.6     3.6          3.9        3.9            4.0    3.3     0.5       3.7         3.3        3.7         3.4       3.4      3.4      3.4
     Subsides and transfers                                              4.1          2.8          3.7       3.7     3.3          3.7        3.7            3.6    3.2     0.5       3.4         3.1        3.4         3.2       3.2      3.1      3.1
         of which EDG                                                    0.4          0.5            …       1.3     1.3          1.1          …            1.4    1.0     0.2       0.8         0.7        0.7         0.6       0.5      0.4      0.3
        other subsidies and transfers                                    3.7          2.3            …       2.4     2.1          2.6          …            2.2    2.2     0.3       2.6         2.4        2.8         2.6       2.6      2.7      2.8
   Interest on debt                                                      0.8          1.1          1.3       1.3     0.9          1.3        1.3            1.1    1.1     0.2       1.1         1.0        1.0         0.9       1.0      1.0      1.0
     Domestic debt                                                       0.7          0.8          0.9       0.9     0.7          0.9        0.9            0.9    0.9     0.1       0.8         0.7        0.7         0.6       0.7      0.7      0.7
     External debt                                                       0.2          0.3          0.5       0.4     0.2          0.3        0.3            0.2    0.2     0.1       0.3         0.2        0.3         0.3       0.3      0.3      0.3
   Capital expenditure                                                   7.6          4.7          5.4       4.9     5.8          7.8        7.8            6.7    6.5     0.3       8.5         7.5        8.8         7.3       7.4      7.7      7.8
     Domestically financed                                               5.1          4.4          3.0       2.7     3.5          3.0        3.0            2.7    2.4     0.3       4.1         3.3        4.7         3.8       4.0      4.3      4.5
      Investment (central budget exec.)                                  5.0          4.3          2.9       2.7     3.4          3.0        3.0            2.6    2.3     0.3       4.0         3.2        4.7         3.8       3.9      4.3      4.5
      Capital transfers                                                  0.1          0.1          0.1       0.1     0.1          0.0        0.0            0.0    0.0     0.0       0.0         0.0        0.0         0.0       0.0      0.0      0.0
     Externally financed                                                 2.5          0.4          2.4       2.2     2.3          4.8        4.8            4.1    4.1     0.0       4.4         4.2        4.1         3.5       3.5      3.3      3.3
   Net lending and restructuring expenditures                            0.0          0.1          0.0       0.0     0.1          0.0        0.0            0.1    0.1     0.0       0.0         0.0        0.0         0.0       0.0      0.0      0.0
Basic fiscal balance²                                                   -5.4             -0.7      0.2       0.6     -1.1            0.6     0.6           -2.0    0.8     1.1       0.9         1.0        1.1         1.1       1.0      1.0         1.0
""
""
Overall balance
 Excluding grants                                                        -8.0            -1.3      -2.7     -2.0     -3.6         -4.6       -4.6          -3.5   -3.5     0.9       -3.8        -3.4       -3.3        -2.7      -2.7    -2.6     -2.6
 Including grants                                                        -6.9            -0.1      -0.5     -0.4     -2.1         -2.5       -2.5          -2.2   -2.2     1.0       -2.3        -2.2       -2.0        -1.5      -1.5    -1.5     -1.5
Financing                                                                 6.8             0.1       0.5      0.4      2.1         2.5         2.5           2.2    2.2    -1.0        2.3         2.2        2.0         1.5      1.5      1.5      1.5
  Domestic financing                                                      4.6             0.4      -0.7     -0.7      1.2        -0.7        -0.7          -1.0   -1.0    -0.9       -0.8        -0.9       -0.7        -0.8     -0.8     -0.7     -0.7
   Bank financing                                                         3.9             0.6       0.4      0.3      1.4        -0.1        -0.1          -0.1   -0.1    -0.2       -0.0        -0.1       -0.0        -0.1     -0.0     -0.1     -0.1
      Net position at central bank                                        2.7             0.4      -0.3     -0.3      0.5        -0.3        -0.3          -0.3   -0.3    -0.3       -0.2        -0.3       -0.2        -0.3     -0.2     -0.2     -0.2
      Commercial banks                                                    1.2             0.3       0.8      0.7      0.9         0.2         0.2           0.2    0.2     0.1        0.2         0.2        0.2         0.2      0.2      0.1      0.1
   Nonbank financing                                                      0.2            -0.4      -1.1     -1.1     -1.2        -0.6        -0.6          -0.9   -0.5    -0.6       -0.8        -0.6       -0.7        -0.5     -0.6     -0.4     -0.4
      Privatization revenue                                               0.0             0.0       0.0      0.0      0.0         0.0         0.0           0.0    0.0     0.0        0.0         0.0        0.0         0.0      0.0      0.0      0.0
      Borrowing/Amortization of domestic debt (net)                      -0.2            -0.4      -1.0     -1.0     -1.3        -0.5        -0.5          -0.5   -0.5     0.0       -0.7        -0.6       -0.6        -0.5     -0.6     -0.4     -0.4
      Other / Exceptional revenue                                         0.4             0.0         …      0.0      0.1         0.0         0.0           0.0    0.0     0.0        0.0         0.0        0.0         0.0      0.0      0.0      0.0
   Change in arrears                                                      0.5             0.2      -0.1     -0.1      1.0        -0.1        -0.1          -0.4   -0.4    -0.6       -0.1        -0.3       -0.1        -0.2     -0.2     -0.2     -0.2
  External financing (net)                                                2.2            -0.3       1.1      1.1      0.9         3.2         3.1           3.2    3.2    -0.2        3.1         3.0        2.7         2.3      2.3      2.2      2.2
     Drawings                                                             2.5             0.3       1.6      1.6      1.3         3.9         3.9           3.9    3.9     0.0        3.7         3.6        3.4         2.9      2.8      2.8      2.7
        Project                                                           2.1             0.3       1.4      1.4      1.3         3.8         3.8           3.3    3.3     0.0        3.6         3.5        3.3         2.8      2.7      2.7      2.7
        Program                                                           0.4             0.0       0.2      0.2      0.0         0.1         0.1           0.6    0.6     0.0        0.1         0.1        0.1         0.1      0.1      0.1      0.1
     Amortization due                                                    -0.6            -0.6      -0.5     -0.5     -0.4        -0.8        -0.8          -0.7   -0.7    -0.2       -0.6        -0.5       -0.7        -0.6     -0.5     -0.5     -0.5
     Debt relief                                                            …             0.0       0.0      0.9      0.0         0.0         0.0           0.0    0.0     0.0        0.0         0.0        0.0         0.0      0.0      0.0      0.0
       Change in cap. arrears (- = reduction)                             0.1            -0.0       0.0     -0.9     -0.0         0.0         0.0           0.0    0.0    -0.0        0.0         0.0        0.0         0.0      0.0      0.0      0.0
    Change in int. arrears (- = reduction)                                0.0            -0.0       0.0      0.0      0.0            0.0      0.0           0.0    0.0     0.0        0.0         0.0        0.0         0.0      0.0      0.0         0.0
    Non Paris Clus bilateral rescheduling                                0.0             0.0       0.0       0.0     0.1             0.0     0.0            0.0    0.0     0.0       0.0         0.0        0.0         0.0       0.0      0.0         0.0
Financing gap                                                            0.0             0.0       0.0       0.0     0.0             0.0     0.0            0.0    0.0     0.0       0.0         0.0        0.0         0.0       0.0      0.0         0.0
Memorandum items:
"  Nominal GDP (GNF billion)                                           65,829        77,899       87,356 87,355     93,160      99,558      99,558    106,561 106,561 106,561      113,630     122,055   129,548      139,623   159,633 181,221 205,093"
Sources: Guinean authorities; Fund staff estimates and projections.
¹ Based on GFSM 1986 due to data availability limitations.
² Total revenue excluding grants minus expenditures excluding interest on external debt and foreign-financed capital expenditures.
3
    This reflects the outlook that would arise without additional adjustment measures.
""
""
""
""
                                                                                                                                                                   INTERNATIONAL MONETARY FUND                                                    27
