V1
                                                                                                                                                                                                                 SOLOMON ISLANDS
""
""
""
                                                  Table 2b. Solomon Islands: Summary of Fiscal Accounts
                                                                   (in percent of GDP)
                                                                                       2014            2015       2016                       2017                             2018                       2019      2020      2021      2022      2023
""
                                                                                                                                            Revised             Original     Revised
                                                                                        Act.           Act.          Act.     Budget                   Act.                                Proj.         Proj.     Proj.     Proj.     Proj.     Proj.
                                                                                                                                           Estimates            Budget      Estimates
""
""
""
                                                                                               (In percent of GDP)
Total revenue and grants                                                                  47.3           47.9         43.1          41.9        41.4    42.7         42.6        44.1          43.3        43.2      42.7      42.2      42.0      41.8
 Total revenue                                                                            32.8           35.1         31.7          31.7        31.3    32.5         31.6        33.1          32.4        32.2      32.0      31.7      31.6      31.4
   Tax revenue                                                                            28.8           28.7         26.3          26.3        25.9    27.2         26.5        27.7          27.2        27.0      26.8      26.5      26.4      26.2
     Income and profits                                                                   10.0           10.8           9.7          9.6         9.6      9.9         9.6            9.7           9.6       9.6       9.6       9.5       9.5       9.5
     Goods and services                                                                   10.5            9.4           8.5          8.6         8.4      9.0         8.7            8.9           8.9       8.9       8.8       8.8       8.8       8.8
     International trade and transactions                                                  8.3            8.5           8.1          8.1         7.9      8.4         8.1            9.1           8.7       8.5       8.4       8.2       8.2       7.9
      Of which: Tax on logging                                                             5.6            6.0           5.9          5.6         6.0      6.0         5.1            6.1           5.8       5.6       5.4       5.2       5.2       5.0
   Other revenue                                                                           4.0            6.4           5.4          5.5         5.3      5.3         5.1            5.3           5.2       5.2       5.2       5.2       5.2       5.2
""
 Grants                                                                                   14.5           12.9         11.4          10.2        10.2    10.2         11.0        11.0          10.9        11.0      10.7      10.5      10.4      10.4
   Development grants                                                                      6.0            4.7           4.3          4.5         4.5      4.5         5.2            5.2           5.2       5.4       5.1       4.9       4.9       4.8
   Recurrent budget grants                                                                 8.5            8.1           7.1          5.6         5.6      5.6         5.8            5.8           5.6       5.6       5.6       5.6       5.5       5.5
""
""
Expenditure                                                                               45.2           48.0         47.0          45.5        48.8    46.5         44.6        46.4          46.9        46.5      46.7      46.3      46.1      46.2
     Of which: excluding grant-funded expenditure                                         30.7           35.1         35.6          35.3        38.6    36.4         33.5        35.3          36.1        35.5      36.0      35.8      35.7      35.8
""
 Recurrent expenditure                                                                    32.6           33.7         32.0          30.1        32.7    31.5         32.7        33.1          32.6        31.5      31.6      31.6      31.7      31.8
     Of which: excluding grant-funded expenditure                                         24.1           25.5         24.9          24.5        27.1    25.8         26.9        27.2          27.0        25.9      26.0      26.0      26.1      26.3
   Compensation of employees                                                               9.8           11.0         10.3           9.9         9.9    10.2          9.6            9.6       10.0        10.0      10.0      10.0      10.0      10.0
   Interest payments                                                                       0.1            0.4           0.1          0.1         0.1      0.1         0.2            0.2           0.2       0.3       0.3       0.3       0.3       0.4
   Other recurrent expenditure                                                            22.7           22.2         21.6          20.1        22.7    21.1         21.4        21.8          21.1        21.2      21.4      21.3      21.4      21.4
       Government funded                                                                  14.2           14.1         14.5          14.5        17.1    15.5         15.6        15.9          15.5        15.6      15.8      15.7      15.8      15.8
       Grant funded                                                                        8.5            8.1           7.1          5.6         5.6      5.6         5.8            5.8           5.6       5.6       5.6       5.6       5.5       5.5
   Contingency Warrant Provision                                                                                                                                      0.2            0.2
   Resolution of demestic arrears                                                                                                                                     1.2            1.2           1.2
""
 Development expenditure                                                                  12.6           14.3         15.0          15.4        16.1    15.1         11.9        13.3          14.3        15.0      15.1      14.7      14.4      14.4
   Government funded                                                                       6.6            9.5         10.7          10.9        11.6    10.5          6.7            8.1           9.1       9.6       9.9       9.8       9.5       9.5
     Domestic                                                                              6.6            9.5           9.6         10.0        10.7      9.7         4.1            5.5           6.5       6.5       6.5       6.5       6.5       6.5
     External loan                                                                         0.0            0.0           1.1          0.9         0.9      0.9         2.6            2.6           2.6       3.1       3.4       3.3       3.0       3.0
   Grant funded                                                                            6.0            4.7           4.3          4.5         4.5      4.5         5.2            5.2           5.2       5.4       5.1       4.9       4.9       4.8
  Of which: CDFs                                                                           2.1            3.6           3.3          3.1         3.6      3.6         2.8            2.8           3.1       2.4       3.1       3.1       3.1       3.1
 Discrepancy 1/                                                                            0.4            0.2          -0.6          0.0         0.0     -1.6         0.0            0.0           0.0       0.0       0.0       0.0       0.0       0.0
""
Current balance 2/                                                                         8.7            9.5           6.8          7.2         4.2      6.7         4.7            5.8           5.5       6.3       6.0       5.7       5.5       5.2
Primary balance                                                                            2.2            0.4          -2.2         -3.5        -7.2     -3.7        -1.7         -2.0         -3.4         -3.1      -3.7      -3.8      -3.8      -4.0
Overall balance                                                                            2.1            0.0          -3.9         -3.6        -7.4     -3.8        -2.0         -2.2         -3.6         -3.3      -4.0      -4.1      -4.1      -4.4
""
""
